"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"건설안전기사","2004","4","산업안전관리론","1","다음중 안전점검의 종류에 해당되지 않는 것은?","","정기점검","수시점검","임시점검","특수점검","4"
"건설안전기사","2004","4","산업안전관리론","2","다음 재해대책 중 사후대책이 아닌 것은?","","국한대책","예방대책","소화대책","피난대책","2"
"건설안전기사","2004","4","산업안전관리론","3","다음은 재해손실 비용이다. 이 중 직접손실 비용에 해당하는 것은?","","각종 보상금(휴업보상비)","건물설비 등의 손실보상","근로하지 못한 부동시간 보상","연체료 지불","1"
"건설안전기사","2004","4","산업안전관리론","4","어떤 사업장에서 상해 또는 질병이 5명 발생하였는데 이때 버드(Frank e. Bird. Jr)의 재해비율 연구에 의한 경상이 일어날 수 있는 횟수는 어느 정도인가?","O","50명","100명","150명","200명","1"
"건설안전기사","2004","4","산업안전관리론","5","재해 사례의 연구순서 중 제3단계인 근본적 문제점 결정에 관한 사항을 설명한 것은?","","사례 연구의 전제조건으로서 재해상황의 주된 항목에 관해서 파악한다.","문제점에 관하여 어떤 관리적 책임의 결함이 있는지를 12가지 안전보건의 key에 대하여 분석한다.","재해 발생까지의 재해와 관계있는 사실 및 재해요인을 객관적으로 밝힌다.","파악된 사실로부터 판단해서 관계법규, 사내규정등을 적용하여 문제점을 적출한다.","2"
"건설안전기사","2004","4","산업안전관리론","6","유기용제(페인트공장 등)를 제거하기 위한 방독마스크의 흡수제로 옳은 것은?","","호프카라이트","큐프라마이트","활성탄","소다라임","3"
"건설안전기사","2004","4","산업안전관리론","7","위험예지훈련 진행방법 중 '본질추구'는 제 몇 라운드에 해당하는가?","","제1라운드","제2라운드","제3라운드","제4라운드","2"
"건설안전기사","2004","4","산업안전관리론","8","안전관리에서 직접원인을 제거하기 위한 적극적 대책이 아닌 것은?","","위험의 최소화 설계","경보장치 설치","안전장치 장착","보호구 사용","4"
"건설안전기사","2004","4","산업안전관리론","9","대상 기기를 정하여진 절차에 의해 작동시켜 보고, 결함 유무를 확인하는 검사 방법은?","","육안검사","기능검사","조작검사","시험에 의한 검사","2"
"건설안전기사","2004","4","산업안전관리론","10","사고 방지와 산업안전관리를 체계적으로 시행하기 위하여 1차적으로 취할 조치는?","","안전조직 구성","안전계획 작성","사고조사 분석","안전교육 실시","1"
"건설안전기사","2004","4","산업안전관리론","11","안전점검의 기준 작성시에 고려 사항이 아닌 것은?","","대상물의 위험도","과거의 사고 이력","대상물의 기능적 특성","대상물의 크기 및 형태","4"
"건설안전기사","2004","4","산업안전관리론","12","다음에서 작업표준의 올바른 작성순서는?\na. 작업분해\nb. 작업의 분류 및 정리\nc. 작업표준안 작성\nd. 작업표준의 제정과 교육실시\ne. 동작순서 및 급소를 정함","","a-b-c-e-d","a-e-b-c-d","b-a-e-c-d","b-a-e-d-c","3"
"건설안전기사","2004","4","산업안전관리론","13","동작분석의 목적이 아닌 것은?","","표준동작의 설정","동작 계열의 개선","동작의 유연성 확보","작업의 모션마인드(Motion mind) 체질화","3"
