Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
건설안전산업기사,2002,1,산업안전관리론,1,연간 근로 총시간수가 58만 시간이고 이 기간중에 휴업재해가 7건 발생했다. 도수율은?,,10.9,11.76,12.07,12.86,3
건설안전산업기사,2002,1,산업안전관리론,2,"Hershey A.B의 피로대책의 원칙 중 단조로움, 권태감에 의한 피로대책은?",,작업교대를 실시하는 일,용의 주도한 작업계획 수립 이행,불필요한 마찰을 배제하는 일,일의 가치를 가르치는 일,4
건설안전산업기사,2002,1,산업안전관리론,3,"연간 평균 근로자수가 1000명을 채용하고 있는 사업장에서 연간 6건의 재해가 발생한다고 할 때 빈도율은? (단, 일일 근로시간수는 4시간, 연평균근로일수는 150일)",,1000,10,100,41,3
건설안전산업기사,2002,1,산업안전관리론,4,다음 중 학습에 직접적인 영향을 미치는 요인이 아닌 것은?,,적성(Aptitude),동기유발(Motivating),준비도(Readiness),"기억과 망각(Memory, Forgetting)",1
건설안전산업기사,2002,1,산업안전관리론,5,안전관리 조직의 기본 방식이 아닌 것은?,,line system,staff system,line-staff system,safety system,4
건설안전산업기사,2002,1,산업안전관리론,6,교육과제에 정통한 전문가 4~5명이 피교육자 앞에서 자유로이 토의를 실시한 다음에 피교육자 전원이 참가하여 사회자의 사회에 따라 토의하는 방식에 해당되는 것은?,,포럼(forum),패널 디스커션(panel discussion),심포지엄(symposium),버즈 세션(buzz session),2
건설안전산업기사,2002,1,산업안전관리론,7,버드(Frank Bird)의 재해 발생 이론에서 첫번째 요인인 제어의 부족 내용에 해당되지 않는 것은?,,안전계획 및 직무계획의 책정,직무활동에 있어 시설기준 설정,불안전 행동의 징후,설정된 기준에 의한 실적 평가,3
건설안전산업기사,2002,1,산업안전관리론,8,다음 중 안전점검의 목적과 관계가 가장 적은 것은?,,결함이나 불안전 조건의 제거,합리적인 생산관리,기계설비의 본래의 성능 유지,인간 생활의 복지 향상,4
건설안전산업기사,2002,1,산업안전관리론,9,에너지 대사율(R.M.R)이 높은 작업의 경우 사고예방 대책은 어느 것인가?,,작업시간 연장,휴식시간 증가,임금의 증액,작업의 전환,2
건설안전산업기사,2002,1,산업안전관리론,10,다음중 재해 방지 기본 원칙중 해당되지 않는 것은?,,대책 선정 원칙,손실 우연 원칙,예방 가능 원칙,통계의 원칙,4
건설안전산업기사,2002,1,산업안전관리론,11,다음 중 수강자와 교재 중심의 개별학습이 아닌 것은?,,발견학습,과제학습,수용학습,프로그램 학습,3
건설안전산업기사,2002,1,산업안전관리론,12,재해코스트에서 직접비는 다음중 어느 것인가?,,회사내의 직접적인 손실비,보험에서 지급되는 비용,재해자의 재해발생시 인건비,행정손실에 따른 발생비용,2
건설안전산업기사,2002,1,산업안전관리론,13,작업태도 분석에 의한 동기 파악방법의 연구과정은?,,요인 태도→ 결과,태도→ 결과→ 요인,결과 요인 태도,태도→ 요인 결과,1
건설안전산업기사,2002,1,산업안전관리론,14,조직의 환경상태가 불확실 할 때 리더쉽의 유형이 어떤형이 될 것인가?,,권위형,방임형,민주형,독재형,3
건설안전산업기사,2002,1,산업안전관리론,15,"흰색 바탕에 빨간색 기본모형의 안전, 보건 표지판의 종류는 어느 것인가?",,지시,금지,경고,인내,2
건설안전산업기사,2002,1,산업안전관리론,16,문재해결 4단계에서 대책 수립 몇 단계는?,,1단계,2단계,3단계,4단계,3
건설안전산업기사,2002,1,산업안전관리론,17,피로측정방법 중 정신적 변화를 이용한 측정방법은?,,반사기능,감각기능,대사물의 질량변화,자세의 변화,4
건설안전산업기사,2002,1,산업안전관리론,18,안전교육 과정 중 '할 수 있다'라는 즉 피교육자가 그것을 스스로 행함으로서만 얻어지는 교육내용에 해당하는 것은?,,안전지식의 교육,안전의식의 교육,안전태도의 교육,안전기능 교육,4
건설안전산업기사,2002,1,산업안전관리론,19,안전을 위한 동기부여로 옳지 않은 것은?,,안전목표를 명확히 설정하여 주지시킨다.,상벌제도를 합리적으로 시행한다.,경쟁과 협동을 유도한다.,기능을 숙달시킨다.,4
