"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"건설안전산업기사","2005","1_추가시험","산업안전관리론","1","안전동기를 유발시킬 수 있는 방법과 거리가 먼 것은?","","경쟁과 협동심을 유발시킨다.","안전목표를 명확히 설정한다.","상벌을 준다.","동기유발의 최소수준을 유지토록 한다.","4"
"건설안전산업기사","2005","1_추가시험","산업안전관리론","2","다음 중 산소가 결핍되어 있는 장소(8% 이하)에서도 사용할 수 있는 마스크는 어느 것인가?","","방독 마스크","방진 마스크","송기 마스크","방연 마스크","3"
"건설안전산업기사","2005","1_추가시험","산업안전관리론","3","위험 예지 훈련 문제해결 4단계 중 문제점 발견 및 중요 문제를 결정하는 단계는 다음 중 어느 것인가?","","대책수립 단계","현상파악 단계","본질추구 단계","행동목표설정 단계","3"
"건설안전산업기사","2005","1_추가시험","산업안전관리론","4","안전점검의 순서로 맞는 것은?","","실태파악 결함의 발견 대책 결정 - 대책 실시","실태파악 결함의 발견 대책 실시 대책 결정","결함의 발견 실태파악 대책 결정 대책 실시","결함의 발견 실태파악 대책 실시 대책 결정","1"
"건설안전산업기사","2005","1_추가시험","산업안전관리론","5","인간 자신이 가진 잠재능력을 최고도로 발휘하고자 하는 욕구와 관계있는 것은?","","자아실현의 욕구","존경의 욕구","사회적 욕구","안전의 욕구","1"
"건설안전산업기사","2005","1_추가시험","산업안전관리론","6","안전표지의 종류 중 지시표지에 포함되지 않는 것은?","","안전모 착용","안전화 착용","방호복 착용","방독마스크 착용","3"
"건설안전산업기사","2005","1_추가시험","산업안전관리론","7","다음의 부주의 발생현상 중 주의의 일점 집중현상과 관련성이 있는 것은?","","의식의 과잉","의식의 우회","의식수준의 저하","의식의 상승작용","1"
"건설안전산업기사","2005","1_추가시험","산업안전관리론","8","다음 중 보호구의 구비요건이 아닌 것은?","","방호성능이 충분할 것","착용이 복잡할 것","재료의 품질이 양호할 것","겉모양과 보기가 좋을 것","2"
"건설안전산업기사","2005","1_추가시험","산업안전관리론","9","안전관리자가 안전교육의 효과를 높이기 위해서 안전퀴즈 대회를 열어 정답자에게 상을 주었다면 이는 어떤 학습 원리를 학습자에게 적용한 것인가?","","Thorndike의 연습의 법칙","Thorndike의 준비성의 법칙","Pavlov의 강도의 원리","Skinner의 강화의 원리","4"
"건설안전산업기사","2005","1_추가시험","산업안전관리론","10","도수율이 1.0 이라면 연천인율은 얼마인가?","","1.0","2.4","3.4","4.4","2"
