"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"건설안전산업기사","2011","1","산업안전관리론","1","다음 중 재해발생의 원인에 있어 불안전한 상태에 해당하지 않는 것은?","","설비 및 장비의 결함","부적절한 조명 및 환기","작업장소의 정리정돈 불량","보호구 착용 불량","4"
"건설안전산업기사","2011","1","산업안전관리론","2","의무안전인증 대상 보호구 중 안전모의 시험성능기준의 항목이 아닌 것은?","","충격흡수성","발수성","내전압성","턱끈풀림","2"
"건설안전산업기사","2011","1","산업안전관리론","3","다음 중 적성검사할 때 포함되어야 할 주요 요소로 적절하지 않은 것은?","","IQ 검사","형태식별 능력","운동속도 및 손작업 능력","플리커(flicker) 검사","4"
"건설안전산업기사","2011","1","산업안전관리론","4","산업안전보건법상 사업 내 안전·보건교육 중 채용시의 교육 및 작업내용 변경시의 교육 내용에 해당하는 것은?","","물질안전보건자료에 관한 사항","건강증진 및 질병 예방에 관한 사항","유해·위험 작업환경 관리에 관한 사항","표준안전작업방법 및 지도 요령에 관한 사항","1"
"건설안전산업기사","2011","1","산업안전관리론","5","객관적인 위험을 자기 나름대로 판정해서 의지결정을 하고 행동에 옮기는 인간의 심리특성을 무엇이라고 하는가?","","세이프 테이킹(safe taking)","액션 테이킹(action taking)","리스크 테이킹(risk taking)","휴먼 테이킹(human taking)","3"
"건설안전산업기사","2011","1","산업안전관리론","6","A 사업장의 도수율이 100이고 강도율이 1.7이라고 하면 이 사업장의 종합재해지수(FSI)는 약 얼마인가?","","2.74","3.74","3.87","4.12","4"
"건설안전산업기사","2011","1","산업안전관리론","7","적응기제 중 다음 설명에 해당하는 것은?\n자기의 행동 정당하며 실제의 행위나 상태보다도 훌륭하게 평가되기 위하여 사회적으로 인정되는 구실을 적용하여 증명하고자 하는 행위","","보상","합리화","동일시","승화","2"
"건설안전산업기사","2011","1","산업안전관리론","8","다음 중 Super. D. E의 역할이론에 포함되지 않는 것은?","","역할 갈등","역할 기대","역할 조성","역할 유지","4"
"건설안전산업기사","2011","1","산업안전관리론","9","다음 중 교육과제에 정통한 전문가 4~5명이 피교육자 앞에서 자유로이 실시한 다음에 피교육자 전원이 참가하여 사회자의 사회에 따라 토의하는 방식을 무엇이라 하는가?","","포럼(forum)","패널 디스커션(panel discussion)","심포지엄(symposium)","버즈 세션(buzz session)","2"
"건설안전산업기사","2011","1","산업안전관리론","10","다음 중 기능교육의 3원칙에 해당하지 않는 것은?","","준비","안전의식 고취","위험작업의 규제","안전작업 표준화","2"
