Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
방재기사,2021,2,재난관리,1,호우경보 발령 기준으로 옳은 것은?,,3시간 강우량이 60mm 이상 예상될 때,3시간 강우량이 90mm 이상 예상될 때,12시간 강우량이 110mm 이상 예상될 때,12시간 강우량이 150mm 이상 예상될 때,2
방재기사,2021,2,재난관리,2,재난 및 안전관리 기본법령상 지역통제단장이 할 수 없는 응급조치는?,,전화에 관한 응급조치,현장지휘통신체계의 확보,긴급수송 및 구조수단의 확보,"급수 수단의 확보, 긴급피난처 및 구호품의 확보",4
방재기사,2021,2,재난관리,3,자연재해대책법령상 지구단위종합복구계획수립 대상 지역에 해당하지 않는 것은?,,어촌·어항법에 따른 항로표지등 항행보조시설의 일괄복구가 필요한지역,산사태 또는 토석류로 인하여 하천유로변경등이 발생한지역으로서 근원적 복구가 필요한 지역,피해 재발방지를 위하여 기능복원보다는 피해지역 전체를 조망한 예방·정비가 필요하다고 인정되는 지역,도로·하천등의 시설물에 복합적으로 피해가 발생하여 시설물별 복구보다는 일괄 복구가 필요한 지역,1
방재기사,2021,2,재난관리,4,재난 및 안전관리 기본법령상 자연재난에 해당되지 않는 것은?,,태풍,황사,폭염,미세먼지,4
방재기사,2021,2,재난관리,5,재난관리기준상 복구계획을 수립 시 고려사항으로 명시되지 않는 것은?,,피해 시설물의 중요정도,예방조치를 위한 가용재원,재난피해가 국민에게 미치는 영향,인명피해를 유발할 수 있는 시설 여부 판단,2
방재기사,2021,2,재난관리,6,재해구호법령상 응급구호 및 재해구호 상황의 보고에 관한 사항중 ( )안에 들어갈 대상으로 옳은 것은?\n\n- 구호기관은 재해로 인하여 이재민이 발생하면 재해의 상황과 재해구호 내용을 ( )에게 보고하여야 한다.,,시·도지사,구호지원기관의 장,행정안전부장관,지역보호센터의 장,3
방재기사,2021,2,재난관리,7,"자연재해대책법령상 방재관리대책 대행자가 대행할 수 있는 방재관리대책 업무로 틀린 것은? (단, 그 밖에 대통령령으로 정하는 방재관리대책에 관한 업무는 제외한다.)",,비상대처계획 수립,우수유출저감대책의 평가,재해복구사업의 분석·평가,자연재해저감 종합계획의 수립,2
방재기사,2021,2,재난관리,8,재난 및 안전관리 기본법령상 다중이용시설등의 위기상황 매뉴얼을 작성·관리하여야 하는 대상으로 명시되지 않는 자는?,,관리자,소유자,설계자,점유자,3
방재기사,2021,2,재난관리,9,재난 및 안전관리 기본법령상 중앙안전관리위원회의 위원장은?,,대통령,경찰청장,행정안전부장관,국무총리,4
방재기사,2021,2,재난관리,10,재난 및 안전관리기본법령상 재난관리책임기관의 장의 재난예방조치에 관한 설명으로 틀린 것은?,,재난관리책임기관의 장은 재난예방조치를 효율적으로 시행하기 위하여 필요한 사업비를 확보하여야한다.,재난관리책임기관의 장은 재난관리의 실효성을 확보할수있도록 안전관리체계 및 안전관리 규정을 정비·보완하여야 한다.,재난관리책임기관의 장은 기능연속성계획을 수립·시행하여야한다.,재난관리 책임기관의 장은 기능연속성계획을 변경할 경우에는 3개월 이내에 행정안전부 장관에게 통보하여야 한다.,4
방재기사,2021,2,재난관리,11,재난 및 안전관리기본법령상 훈련주관기관의 장이 실시하는 재난대비훈련 평가항목으로 명시되지 않는 것은?,,재해구호시설물 안전점검 실시,유관기관과의 협력체제 구축실태,장비의 종류·기능 및 수량 등 동원실태,분야별 전문인력 참여도 및 훈련목표 달성정도,1
방재기사,2021,2,재난관리,12,재난 및 안전관리 기본법령상 재난분야 위기관리 매뉴얼 작성·운영에 관한 설명으로 틀린 것은?,,재난관리책임기관의 장은 재난유형에 따라 위기관리 매뉴얼을 작성·운영한다.,국무총리는 재난유형별 위기관리 매뉴얼협의회를 구성·운영한다.,"위기관리 매뉴얼 유형은 위기관리 표준매뉴얼, 위기대응 실무매뉴얼, 현장조치 행동매뉴얼이 있다.",재난관리주관기관의 장은 위기관리 표준매뉴얼 및 위기대응 실무매뉴얼을 정기적으로 점검하여야 한다.,2
방재기사,2021,2,재난관리,13,재난 및 안전관리 기본법령상 산불사고의 재난관리주관기관은?,,소방청,환경부,산림청,행정안전부,3
방재기사,2021,2,재난관리,14,재난 및 안전관리 기본법령상 안전점검의날과 방재의날을 바르게 나열한 것은?,,"매월 4일, 매년 4월 25일","매월 4일, 매년 5월 25일","매월 25일, 매년 4월 25일","매월 25일, 매년 5월 25일",2
방재기사,2021,2,재난관리,15,자연재해대책법령상 비상대처계획을 수립하여야하는 내진설계 대상시설물이 아닌것은,「공항운영법」에 따른 항공기,「항만법」에 따른 항만시설 중 방파제,「도시철도법」에 따른 도시철도 중 철도모노레일,「철도산업발전 기본법」에 따른 철도시설중 철도의 선로,1,1
방재기사,2021,2,재난관리,16,재난 및 안전관리 기본법령상 재난자원의 비축·관리에 관한 설명중 틀린 것은?,,재난관리자원공동활용시스템 구축·운영에 관한 업무는 행정안전부장관소관이다.,감염병환자등의 진료 또는 격리를 위한 시설도 재난관리자원에 해당된다.,행정안전부장관은 매년 12월31일까지 재난관리자원에 대한 비축·관리계획의 수립을 지원하기 위한 지침을 마련하여야 한다.,재난관리책임기관의 장은 매년 10월 31일까지 다음 해의 재난관리자원에 대한 비축 관리계획을 수립하고 이를 행정안전부장관에게 제출하여야한다.,3
방재기사,2021,2,재난관리,17,자연재해대책법령상 방재성능 평가 및 통합개선대책의 수립·시행해야 하는 방재시설을 모두 고른 것은?\n\nㄱ. 하수도법에 따른 하수도 중 하수관로\nㄴ. 소하천정비법에 따른 소하천 부속물 중 제방\nㄷ. 국토의 계획 및 이용에 관한 법률에 따른 방재시설 중 유수지,,"ㄱ, ㄴ","ㄱ, ㄷ","ㄴ, ㄷ","ㄱ, ㄴ, ㄷ",4
