Test Name,Year,Session,Subject,Number,Question,image,Option 1,Option 2,Option 3,Option 4,Answer
인간공학기사,2014,3,인간공학개론,1,다음 중 시스템의 평가 척도의 요건에 대한 설명으로 적절하지 않은 것은?,text_only,"실제성:현실성은 가지며, 실질적으로 이용하기 쉽다.",무오염성:측정하고자 하는 변수 이외의 외적 변수에 영향을 받는다.,신뢰성:평가를 반복할 경우 일정한 결과를 얻을 수 있다.,타당성:측정하고자 하는 평가 척도가 시스템의 목표를 반영한다.,2
인간공학기사,2014,3,인간공학개론,2,신호 검출이론에 의하면 시그널(Signal)에 대한 인간의 판정 결과는 4가지로 구분되는데 이 중 시그널을 노이즈(Noise)로 판단한 결과를 지칭하는 용어는 무엇인가?,text_only,누락(miss),긍정(hit),허위(false Alarm),부정(correct rejection),1
인간공학기사,2014,3,인간공학개론,3,다음 중 음량의 측정과 관련된 사항으로 적절하지 않은 것은?,text_only,소리의 세기에 대한 물리적 측정 단위는 데시벨(dB)이다.,물리적 소리강도의 일정 양 증가는 지각되는 음에 강도에 동일한 양의 증가를 유발한다.,"손(sone)의 값 1은 주파수가 1000Hz이고, 강도가 40dB인 음이 지각되는 소리의 크기이다.",손(sone)과 폰(phone)은 지각된 음의 강약을 측정하는 단위다.,2
인간공학기사,2014,3,인간공학개론,4,"너비가 2cm인 버튼을 누르기 위해 손가락을 8cm 이동시키려고 한다. Fitts' law에서 로그함수의 상수가 10이고, 이동을 위한 준비시간과 관련된 상수가 5이다. 이동시간(ms)은 얼마인가?",text_only,10ms,15ms,35ms,55ms,3
인간공학기사,2014,3,인간공학개론,5,다음 중 조종장치에 흔한 비선형 요소로 조종장치를 움직여도 피제어 요소에 변화가 없는 공간이 발생하는 현상을 무엇이라 하는가?,text_only,이력현상,사공간현상,반발현상,점성저항현상,2
인간공학기사,2014,3,인간공학개론,6,다음 중 인간공학이 추구하는 목표로 가장 적절한 것은?,text_only,인간의 기능 향상,설비의 생산성 증가,제품 이미지와 판매량 제고,기능적 효율과 인간 가치(human value) 향상,4
인간공학기사,2014,3,인간공학개론,7,다음 중 직렬시스템과 병렬시스템의 특성에 대한 설명으로 옳은 것은?,text_only,직렬시스템에서 요소의 개수가 증가하면 시스템의 신뢰도도 증가한다.,병렬시스템에서 요소의 개수가 증가하면 시스템의 신뢰도도 감소한다.,시스템의 높은 신뢰도를 안정적으로 유지하기 위해서는 병렬시스템으로 설계하여야 한다.,일반적으로 병렬시스템으로 구성된 시스템은 직렬시스템으로 구성된 시스템보다 비용이 감소한다.,3
인간공학기사,2014,3,인간공학개론,8,정량적 동적 표시장치 중 지침이 고정되고 눈금이 움직이는 형태를 무엇이라 하는가?,text_only,계수형,원형 눈금,동침형,동목형,4
인간공학기사,2014,3,인간공학개론,9,다음 중 인체 측정 방법의 선택 기준과 가장 거리가 먼 것은?,text_only,경제성,계측자료의 융통성,계측기기의 정밀성,조사대상자의 선정 용이성,2
인간공학기사,2014,3,인간공학개론,10,다음 중 인간공학의 정보이론에 있어 1bit에 관한 설명으로 가장 적절한 것은?,text_only,초당 최대 정보 기억 용량이다.,정보 저장 및 회송(recall)에 필요한 시간이다.,2개의 대안 중 하나가 명시되었을 때 얻어지는 정보량이다.,일시에 보낼 수 있는 정보전달 용량의 크기로서 통신 채널의 Capacity를 말한다.,3
인간공학기사,2014,3,인간공학개론,11,다음 중 암순응에 대한 설명으로 옳은 것은?,text_only,암순응 때에 원추세포는 감수성을 갖게 된다.,어두운 곳에서 밝은 곳으로 들어갈 때 발생한다.,어두운 곳에서는 주로 간상세포에 의해 보게된다.,완전 암순응에는 일반적으로 5~10분 정도 소요된다.,3
인간공학기사,2014,3,인간공학개론,12,"다음 중 실제 사용자들의 행동을 분석하기 위하여 이용자가 생활하는 자연스러운 생활환경에서 비디오, 오디오에 녹화하여 시험하는 사용성 평가 방법은?",text_only,F.G.I(Focus Group Interview),사용성 평가실험(usability lab testing),관찰 에쓰노그라피(observation ethnography)법,종이모형(paper mockup) 평가법,3
인간공학기사,2014,3,인간공학개론,13,"실체적인 체계나 장치의 설계 시 인간을 고려할 때 '보통사람'이라는 말을 흔히 쓰는데, 이와 관련된 '평균치의 모순(average person fallacy')에 대한 설명으로 가장 적절한 것은?",text_only,모든 치수가 평균 범위에 드는 평균치 인간은 존재하지 않는다.,평균은 모집단 분포의 치우침을 나타낸다.,평균치를 기준으로 한 설계는 제품설계에서 제일 먼저 적용하는 원칙이다.,신체치수는 평균 주위에 많이 분포한다.,1
인간공학기사,2014,3,인간공학개론,14,다음 중 일반적으로 부품의 위치를 정하고자 할 때 활용되는 부품배치의 원칙을 올바르게 나열한 것은?,text_only,중요성의 원칙과 사용빈도의 원칙,중요성의 원칙과 기능별 배치의 원칙,사용 빈도의 원칙과 사용 순서의 원칙,기능별 배치의 원칙과 사용 빈도의 원칙,1
인간공학기사,2014,3,인간공학개론,15,청각적 신호를 설계하는데 고려되어야 하는 원리 중 검출성(detectability)에 대한 설명으로 옳은 것은?,text_only,사용자에게 필요한 정보만을 제공한다.,동일한 신호는 항상 동일한 정보를 지정하도록 한다.,사용자가 알고 있는 친숙한 신호의 차원과 코드를 선택한다.,신호는 주어진 상황 하에서 감지장치나 사람이 감지할 수 있어야 한다.,4
인간공학기사,2014,3,인간공학개론,16,다음 중 인간의 정보처리 과정에서 중요한 역할을 하는 양립성(compatibility)에 관한 설명으로 옳은 것은?,text_only,인간이 사용할 코드와 기호가 얼마나 의미를 가진 것인가를 다루는 것을 공간적 양립성이다.,"표시장치와 제어장치의 움직임, 사용 시스템의 반응 등과 관련된 것을 개념적 양립성이라 한다.",제어장치와 표시장치의 공간적 배열에 관한 것을 운동 양립성이라 한다.,직무에 알맞은 자극과 응답 양식의 존재에 대한 것을 양식 양립성이라 한다.,4
인간공학기사,2014,3,인간공학개론,17,"인간이 기계를 조정하여 임무를 수행하여야 하는 인간-기계 체계(Man-Machine System)가 있다. 만일 이 인간-기계 통합 체계의 신뢰도($R_S$)가 0.85 이상이어야 하고, 인간의 신뢰도($R_H$)가 0.9라고 한다면 기계의 신뢰도($R_M$)는 얼마 이상이어야 하는가? (단, 인간-기계 체계는 직렬체계이다.)",text_only,$R_M \geq 0.877$,$R_M \geq 0.831$,$R_M \geq 0.944$,$R_M \geq 0.915$,3
인간공학기사,2014,3,인간공학개론,18,다음 중 반응시간이 가장 빠른 감각은?,text_only,청각,미각,통각,시각,1
인간공학기사,2014,3,인간공학개론,19,다음 중 시식별에 영향을 주는 인자와 가장 거리가 먼 것은?,text_only,조도,반사율,대비,온·습도,4
인간공학기사,2014,3,인간공학개론,20,다음 중 정보이론의 응용과 가장 거리가 먼 것은?,text_only,Hick-Hyman 법칙,Magic-number=7±2,주의 집중과 이중 과업,자극의 수에 따른 반응시간 설정,3
인간공학기사,2014,3,작업생리학,21,그림과 같은 심전도에서 나타나는 T파는 심장의 어떤 상태를 의미하는 것인가?,O,심방의 탈분극,심실의 재분극,심실의 탈분극,심방의 재분극,2
인간공학기사,2014,3,작업생리학,22,다음 중 근육의 활동에 대하여 근육에서의 전기적 신호를 기록하는 방법은?,text_only,Electromyograph(EMG),Electrooculogram(EOG),Electroencephalograph(EEG),Electrocardiograph(ECG),1
인간공학기사,2014,3,작업생리학,23,공기정화시설을 갖춘 사무실에서의 환기기준으로 옳은 것은?,text_only,환기횟수는 시간당 2회 이상으로 한다.,환기횟수는 시간당 3회 이상으로 한다.,환기횟수는 시간당 4회 이상으로 한다.,환기횟수는 시간당 6회 이상으로 한다.,3
인간공학기사,2014,3,작업생리학,24,"남성 작업자의 육체작업에 대한 에너지가를 평가한 결과 산소소모량이 1.5L/min이 나왔다. 작업자의 4시간에 대한 휴식시간은 약 몇 분 정도인가? (단, Murrell의 공식을 이용한다.)",text_only,75분,100분,125분,150분,2
인간공학기사,2014,3,작업생리학,25,다음 중 시각적 점멸융합주파수(VFF)에 영향을 주는 변수에 대한 설명으로 틀린 것은?,text_only,암조응시는 VFF가 증가한다.,연습의 효과는 아주 작다.,휘도만 같으면 색은 VFF에 영향을 주지 않는다.,VFF는 조명각도의 대수치에 선형적으로 비례한다.,1
인간공학기사,2014,3,작업생리학,26,다음 중 근육계에 관한 설명으로 옳은 것은?,text_only,수의근은 자율신경계의 지배를 받는다.,골격근은 줄무늬가 없는 민무늬근이다.,불수의근과 심장근은 중추신경계의 지배를 받는다.,"내장근은 피로 없이 지속적으로 운동을 함으로써 소화, 분비 등 신체 내부 환경의 조절에 중요한 역할을 한다.",4
인간공학기사,2014,3,작업생리학,27,다음 중 작업에 따른 에너지소비량에 영향을 미치는 주요인자로 볼 수 없는 것은?,text_only,작업 방법,작업 도구,작업 속도,최대산소섭취능력,4
인간공학기사,2014,3,작업생리학,28,인체의 척추 구조에서 경추는 몇 개로 구성되어 있는가?,text_only,5개,7개,9개,12개,2
인간공학기사,2014,3,작업생리학,29,어떤 작업자의 8시간 작업 시 평균 흡기량은 40L/min와 배기량은 30L/min로 측정되었다. 만일 배기량에 대한 산소함량이 15%로 측정되었다고 가정하면 이때의 분당 산소소비량은?,text_only,3.3L/min,3.5L/min,3.7L/min,3.9L/min,4
인간공학기사,2014,3,작업생리학,30,다음 중 윤활관절(synovial joint)인 팔굽관절(elbow joint)은 연결 형태로 구분하여 어느 관절에 해당되는가?,text_only,구상관절(Ball and socket joint),경첩관절(Hinge joint),안장관절(Saddle joint),관절구(Condyloid),2
