Test Name,Year,Session,Subject,Number,Question,Question_image,Law,Option 1,Option 2,Option 3,Option 4,Answer
소방설비기사(전기분야),2011,1,소방관련법,1,"소화기구(자동식소화기 및 자동확산소화용구, 고체 에어로졸 자동소화기를 제외한다.)는 바닥으로부터 높이 몇 m 이하의 곳에 비치하여야 하는가?",,,0.5,1,1.5,2,3
소방설비기사(전기분야),2011,1,소방관련법,2,물연성가재나 고체 등으로 연소물을 감싸 산소공급을 차단하는 소화방법은?,,,질식소화,냉각소화,연쇄반응차단소화,제거소화,1
소방설비기사(전기분야),2011,1,소방관련법,3,BLEVE 현상을 가장 올게 설명한 것은?,,,물이 뜨거운 기름표면 아래서 끓을 때 화재를 수반하지 않고 over flow 되는 현상,물이 연소를 뜨거운 표면에 들어갈 때 발생되는 over flow 현상,탱크 바닥에 물과 기름의 에멀전이 쌓여 있을 때 불의 비등으로 인하여 급격하게 증발되는 현상,탱크 주위 화재로 탱크 내 인화성 액체가 비등하고 가스 분별의 압력이 상승하여 맹크가 파괴되고 폭발을 일으키는 현상,4
소방설비기사(전기분야),2011,1,소방관련법,4,소화방법 중 제거소화에 해당되지 않는 것은?,,,산불이 발생하면 화재의 진행방향를 알헐리 벌목함,방연에서 화재가 발생하면 이불이나 담요로 덮음,가스 연소시 밸브를 잠가 가스흐름을 중단,불타고 있는 장작더미 속에서 아직 타지 않은 것을 알전한 곳으로 운반,2
소방설비기사(전기분야),2011,1,소방관련법,5,화재의 소화원리에 따른 소화방법의 적용이 잘못된 것은?,,,냉각소화 : 스프링클러설비,질식소화 : 이산화탄소소화설비,제거소화 : 포소화설비,억제소화 : 할로겐화합물소화설비,3
소방설비기사(전기분야),2011,1,소방관련법,6,이산화탄소에 대한 설명으로 틀린것은?,,,물연성 가스로서 공기보다 무겁다.,입계온도는 97.5℃ 이다.,고체의 형태로 존재할 수 있다.,"상온, 상압에서 기체 상태로 존재한다.",2
소방설비기사(전기분야),2011,1,소방관련법,7,화재에 관한 설명으로 옳은 것은?,,,PVC 지장창고에서 발생한 화재는 D급화재이다.,PVC 지장창고에서 발생한 화재는 B급화재이다.,연소의 색상과 온도와의 관계를 고려할 때 일반적으로 암적색보다는 휘적색의 온도가 높다.,연소의 색상과 온도와의 관계를 고려할 때 일반적으로 휘백색보다는 휘적색의 온도가 높다.,3
소방설비기사(전기분야),2011,1,소방관련법,8,고층건축물에서 연기의 제어 및 피단은 중요한 문제이다. 연기제어의 기본방법이 아닌 것은?,,,희석,자단,배기,복사,4
소방설비기사(전기분야),2011,1,소방관련법,9,가연물의 주된 연소형태를 틀리게 나다낸 것은?,,,목재 : 표면연소,섬유 : 분해요소,유황 : 증발연소,피크린산 : 자기연소,1
소방설비기사(전기분야),2011,1,소방관련법,10,다음 연소생성물중 인체에 가장 독성이 높은 것은?,,,이산화탄소,일산화탄소,황화수소,포스겐,4
소방설비기사(전기분야),2011,1,소방관련법,11,국재건물의 화재성상은 내화건물에 비하여 어떠한가?,,,저온장기형이다.,저온단기형이다.,고온장기형이다.,고온단기형이다.,4
소방설비기사(전기분야),2011,1,소방관련법,12,다음 중 인화점이 가장 낮은 물질은?,,,산화프로필렌,이황화탄소,메틸알코올,등유,1
소방설비기사(전기분야),2011,1,소방관련법,13,황린에 대한 설명으로 틀린 것은?,,,발화점이 매우 낮아 자연발화의 위험이 높다.,자연발화 방지를 위해 광물칼리수용액에 저장한다.,독성이 강하고 지정수량이 20kg 이다.,연소시 오산화인의 흰 연기를 낸다.,2
소방설비기사(전기분야),2011,1,소방관련법,14,재 1종 분말소화약재가 요리을 기름이나 지방질 기름의 화재(K급소화과기 녹화한 이유에 대한 설명으로 가장 옳은것은?,,,비누화 반응을 일으키기 때문이다.,오오드류 반응을 일으키기 때문이다.,브롤화 반응을 일으키기 때문이다.,환화 반응을 일으키기 때문이다.,1
소방설비기사(전기분야),2011,1,소방관련법,15,자연발화가 원인이 되는 열의 발생 형태가 다른 것은?,,,기름종이,고무분말,석탄,되비,4
소방설비기사(전기분야),2011,1,소방관련법,16,플라적 방법에 의한 소화단고 할 수 없는 것은?,,,부촉매의 연쇄반응 억제작용에 의한 방법,냉각에 의한 방법,공기와의 접촉 차단에 의한 방법,가연물 제거에 의한 방법,1
소방설비기사(전기분야),2011,1,소방관련법,17,화재의 일반적 특성이 아닌 것은?,,,확대성,정형성,우발성,불안정성,2
소방설비기사(전기분야),2011,1,소방관련법,18,화재방생시 피난기구로 적당 활용할 수 없는 것은?,,,완강기,무선통신보조설비,피난사다리,구조대,2
소방설비기사(전기분야),2011,1,소방관련법,19,건물화재시 패닉(panic)의 발생원인과 직접적인 관계가 없는 것은?,,,연기에 의한 시계 제한,유독가스에 의한 호흡 장애,외부와 단절되어 고립,건물의 불연 내장재,4
소방설비기사(전기분야),2011,1,소방관련법,20,제1종 분말소화약제의 열분해 반응식으로 옳은 것은?,,,2NaHCO$_3$→Na$_2$CO$_3$ + CO$_2$ + H$_2$O,2KHCO$_3$→K$_2$CO$_3$ + CO$_2$ + H$_2$O,2NaHCO$_3$→Na$_2$CO$_2$ + 2CO$_2$ + H$_2$O,2KHCO$_3$→K$_2$CO$_2$ + 2CO$_2$ + H$_2$O,1
소방설비기사(전기분야),2011,1,소방전기회로,21,"어떤 측정계기의 지시값을 M, 참값을 T라 할 때 보정률은 몇 [%] 인가?",O,,$\\frac{T-M}{M}×100$,$\\frac{M}{M-T}×100$,$\\frac{T-M}{T}×100$,$\\frac{T}{M-T}×100$,1
소방설비기사(전기분야),2011,1,소방전기회로,22,42.5[mH]의 코일에 60[Hz] 100[V]의 교류를 가할 때 유도리액던스 [Ω]는?,,,16,20,32,43,1
소방설비기사(전기분야),2011,1,소방전기회로,23,일정한 전류에 기해지고 있는 전압을 3배로 하면 소비전력은?,,,01월 03일,3,6,9,4
소방설비기사(전기분야),2011,1,소방전기회로,24,단상변압기 3대를 △결선으로 운전하는 도중에 1대의 변압기가 고장이나 V결선으로 운전하는 경우 고장 전에 비해 출력은 몇 %가 되는가?,,,3,$\\sqrt{3}$,1/$\\sqrt{3}$,2,3
소방설비기사(전기분야),2011,1,소방전기회로,25,"두 벡터 A$_1$=3+j2, A$_2$=2+j3 가 있다. A=A$_1$×A$_2$라고 할 때 A는?",O,,13∠0°,13∠45°,13∠90°,13∠135°,3
소방설비기사(전기분야),2011,1,소방전기회로,26,50V를 가하여 30C의 전기량을 3초 동안 이동시켰다. 이때 와트는 몇 [kW] 인가?,,,0.5,1,1.5,2,1
소방설비기사(전기분야),2011,1,소방전기회로,27,"전류 발전기의 자극수 4, 전기자 도체 수 500, 각 자극의 유효자속 수 0.01Wb, 회전수 900rpm인 경우 유기 기전력은 얼마인가? (단, 전기자 권수는 파권)",,,130[V],140[V],150[V],160[V],3
소방설비기사(전기분야),2011,1,소방전기회로,28,적류전동기 속도제어 중 전압제어아방식이 아닌 것은?,,,워드 레오나드방식,일그나방식,직병렬법,정속확계제어방식,4
소방설비기사(전기분야),2011,1,소방전기회로,29,"0.5kVA의 수신기를 변압기가 있다. 변압기의 철손이 7.5, 전부하손은이 16W 이다. 화재가 발생하여 전용 2시간은 전부하 운전되고, 다음 시간은 1/2 의 부하가 걸린다고 한다. 이 4시간에 걸친 전손실 전력량은 약 몇 [Wh] 인가?",,,70,76,82,94,1
소방설비기사(전기분야),2011,1,소방전기회로,30,"제어량이 온도, 압력, 유량 및 액면 등과 같은 일반공업현상때의 제어는?",,,공정제어,프로그램제어,시퀀스제어,추종제어,1
소방설비기사(전기분야),2011,1,소방전기회로,31,"그림과 같은 정류회로에서 부하 R에 흐르는 직류전류의 크기는 약 몇 A 인가? (단, V=200V, R=20Ω이다.)",O,,3.2,3.8,4.4,5.2,1
