Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer,,
소방설비기사(전기분야),2021,4,소방원론,1,다음 중 피난자의 집중으로 패닉현상이 일어날 우려가 가장 큰 형태는?,,T형,X형,Z형,H형,4,,
소방설비기사(전기분야),2021,4,소방원론,2,연기감지기가 작동할 정도이고 가시거리가 20~30m 에 해당하는 감광계수는 얼마인가?,,0.1m$^{-1}$,2.1.0m$^{-1}$,2.0m$^{-1}$,10m$^{-1}$,1,,
소방설비기사(전기분야),2021,4,소방원론,3,소화에 필요한 CO$_2$의 이론소화농도가 공기 중에서 37vol%일 때 실제산소농도는 약 몇 vol% 인가?,,13.2,14.5,15.5,16.5,1,,
소방설비기사(전기분야),2021,4,소방원론,4,건물화재 시 패닉(panic)의 발생원인과 직접적인 관계가 없는 것은?,,연기에 의한 시계 제한,유독가스에 의한 호흡 장애,화부와 단열되어 고립,불연내장재의 사용,4,,
소방설비기사(전기분야),2021,4,소방원론,5,소화기구 및 자동소화장치의 화재안전기준에 따르면 소화기구(자동확산소화기는 제외한다)는 기준치 등이 승의계 사용할 수 있는 장소에 비대으로부터 높이 몇 m 이하의 곳에 비치하여야 하는가?,,0.5,1,1.5,2,3,,
소방설비기사(전기분야),2021,4,소방원론,6,물리적 폭발에 해당하는 것은?,,분해 폭발,분진 폭발,증탑 폭발,수증기 폭발,4,,
소방설비기사(전기분야),2021,4,소방원론,7,소화약제로 사용되는 이산화탄소에 대한 설명으로 옳은 것은?,,산소와 반응 시 출발반응을 일으킨다.,산소와 반응하여 불연성 물질을 발생시킨다.,산화하지 않으나 산소와는 반응한다.,산소와 반응하지 않는다.,4,,
소방설비기사(전기분야),2021,4,소방원론,8,Halon 1211의 화학식에 해당하는 것은?,,CH$_3$BrCl,CF$_2$ClBr,CH$_2$BrF,CF$_2$HBr,2,,
소방설비기사(전기분야),2021,4,소방원론,9,건축물 화재에서 플래시 오버(Flash over) 현상이 일어나는 시기는?,,초기에서 성장기로 넘어가는 시기,성장기에서 최성기로 넘어가는 시기,최성기에서 감쇠기로 넘어가는 시기,감쇠기에서 종기로 넘어가는 시기,2,,
소방설비기사(전기분야),2021,4,소방원론,10,인화칼슘과 물이 반응할 때 생성되는 가스는?,,아세틸렌,황화수소,확산,포스핀,4,,
소방설비기사(전기분야),2021,4,소방원론,11,위험물안전관리법령상 자기반응성물질의 품명에 해당하지 않는 것은?,,니트로화합물,할로겐간화합물,질산에스테르류,히드록실아민염류,2,,
소방설비기사(전기분야),2021,4,소방원론,12,마그네슘의 화재에 주수하였을 때 물과 마그네슘의 반응으로 인하여 생성되는 가스는?,,산소,수소,일산화탄소,이산화탄소,2,,
소방설비기사(전기분야),2021,4,소방원론,13,제2종 분말소화약제의 주성분으로 옳은 것은?,,NaH$_2$PO$_4$,KH$_2$PO$_4$,NaHCO$_3$,KHCO$_3$,4,,
소방설비기사(전기분야),2021,4,소방원론,14,물과 반응하였을 때 가연성 가스를 발생하여 화재의 위험성이 증가하는 것은?,,과산화칼슘,메탄올,활륨,과산화수소,3,,
소방설비기사(전기분야),2021,4,소방원론,15,물리적 소화방법이 아닌 것은?,,연쇄반응의 억제에 의한 방법,냉각에 의한 방법,공기와의 접촉 차단에 의한 방법,가연물 제거에 의한 방법,1,,
소방설비기사(전기분야),2021,4,소방원론,16,다음 중 최화온도가 가장 낮은 것은?,,아세틸,휘발유,이황화탄소,벤젠,3,,
소방설비기사(전기분야),2021,4,소방원론,17,화재의 분류방법 중 유류화재를 나타낸 것은?,,A급 화재,B급 화재,C급 화재,D급 화재,2,,
소방설비기사(전기분야),2021,4,소방원론,18,소화약제로 사용되는 물에 관한 소화성능 및 물성에 대한 설명으로 틀린 것은?,,비열과 증발잠열이 커서 냉각소화 효과가 우수하다.,물(15℃)의 비를은 약 1cal/g·℃ 이다.,물(100℃)의 증발잠열은 439.6kcal/g 이다.,물의 기화에 의한 팽창된 수증기는 질식소화 작용을 할 수 있다.,3,,
소방설비기사(전기분야),2021,4,소방원론,19,다음 중 공기에서의 연소범위를 기준으로 했을 때 위험도 (H) 값이 가장 큰 것은?,,디에틸에테르,수소,에틸렌,부탄,1,,
소방설비기사(전기분야),2021,4,소방원론,20,조연성가스로만 나열되어 있는 것은?,,"질소, 불소, 수증기","산소, 불소, 염소","산소, 이산화탄소, 오존","질소, 이산화탄소, 염소",2,,
소방설비기사(전기분야),2021,4,소방전기회로,21,"단상 반파 정류회로를 통해 평균 26V의 직류 전압을 출력하는 경우, 정류 다이오드에 인가되는 역방향 최대 전압은 약 몇 V 인가? (단, 직류 측에 평활회로(필터)가 없는 정류회로이고, 다이오드의 순방향 전압은 무시한다.)",,26,37,58,82,4,,
소방설비기사(전기분야),2021,4,소방전기회로,22,서랜스화로를 논리식으로 표현하면?,O,$C = A + \overline{B} \cdot C$,$C = A \cdot \overline{B} + C$,$C = A \cdot C + \overline{B}$,$C = A \cdot C + \overline{B} \cdot C$,1,,
소방설비기사(전기분야),2021,4,소방전기회로,23,"제어함에 따른 제어방식의 분류 중 온도, 유량, 압력 등의 공압 프로세스의 상태량을 제어함으로 하는 제어계로서 외란의 약제를 추룩적으로 하는 제어방식은?",,서보기구,자동조정,추종제어,프로세스제어,4,,
소방설비기사(전기분야),2021,4,소방전기회로,24,반도체를 이용한 화재감지기 중 서미스터(thermistor)는 무엇을 측정하기 위한 반도체인가?,,온도,연기 농도,가스 농도,불꽃의 스펙트럼 강도,1,,
소방설비기사(전기분야),2021,4,소방전기회로,25,회로에서 a와 b 사이의 합성저항(ω)은?,O,5,7.5,15,30,2,,
소방설비기사(전기분야),2021,4,소방전기회로,26,"1개의 용량의 25W인 객석유도등 10개가 설치되어 있다. 이 회로에 흐르는 전류는 약 몇 A 인가? (단, 전원 전압은 220V이고, 기타 선로손실 등은 무시한다.)",,0.88,1.14,1.25,1.36,2,,
소방설비기사(전기분야),2021,4,소방전기회로,27,PD(비례 미분) 제어 동작의 특징으로 옳은 것은?,,선루편차 제거,간헐현상 제거,불연속 제어,속응성 개선,4,,
소방설비기사(전기분야),2021,4,소방전기회로,28,회로에서 저항 20Ω에 흐르는 전류(A)는?,O,0.8,1,1.8,2.8,3,,
소방설비기사(전기분야),2021,4,소방전기회로,29,1cm의 간격을 둔 평행 항복전선에 25A의 전류가 흐른다면 전선 사이에 작용하는 단위 길이당 힘(N/m)은?,,2.5×10$^{-2}$ N/m(반발력),1.25×10$^{-2}$ N/m(반발력),2.5×10$^{-2}$ N/m(흡인력),1.25×10$^{-2}$ N/m(흡인력),2,,
소방설비기사(전기분야),2021,4,소방전기회로,30,"0.5 kVA의 수신기를 변압기가 있다. 이 변압기의 철손은 7.5W이고, 전부하일때 동손이 현장히 저항 2시간을 전부하로 운전보고, 다음 2시간을 1/2의 부하로 운전되었고 한다. 시시간에 걸친 이 변압기의 전손실 전력량은 몇 Wh 인가?",,62,70,78,94,2,,
소방설비기사(전기분야),2021,4,소방전기회로,31,데브난의 정리를 이용하여 그림 (a)의 회로를 그림 (b)와 같은 등가회로로 만들고자 할 때 V$_{th}$(V)와 R$_{th}$(Ω)은?,O,"5V, 2Ω","5V, 3Ω","6V, 2Ω","6V, 3Ω",4,,
소방설비기사(전기분야),2021,4,소방전기회로,32,블록선도에서 외란 D(s)의 입력에 대한 출력 C(s)의 전달함수 $\left(\frac{C(s)}{D(s)}\right)$는?,O,$\frac{G(s)}{H(s)}$,$\frac{1}{1+G(s)H(s)}$,$\frac{H(s)}{G(s)}$,$\frac{G(s)}{1+G(s)H(s)}$,2,,
소방설비기사(전기분야),2021,4,소방전기회로,33,회로에서 전압계 ⓥ가 지시하는 전압의 크기는 몇 V 인가?,O,10,50,80,100,4,,
소방설비기사(전기분야),2021,4,소방전기회로,34,지시계기에 대한 동작원리가 아닌 것은?,,열전형 계기 : 대전된 도체 사이에 작용하는 정전척률 이용,가동 철편형 계기 : 전류에 의한 자기장에서 고정 철편과 기동 철편 사이에 작용하는 힘을 이용,전자형 계기 : 고정 전기자 사이에 흐르는 전류에 의한 자기장과 가동 코일과 흐르는 전류 사이에 작용하는 힘을 이용,유도형 계기 : 회전 자기장 또는 이동 자기장과 이것에 의한 우도 전류와의 상호작용을 이용,1,,
소방설비기사(전기분야),2021,4,소방전기회로,35,선간전압의 크기가 100√3 V인 대칭 3상 전원에 각 상의 임피던스가 Z = 30 + j40(Ω)인 Y결선이 부하가 연결되었을 때 이 부하로 흐르는 선전류(A)의 크기는?,,3,2√3,5,5√3,1,,
소방설비기사(전기분야),2021,4,소방전기회로,36,"자유공간에서 무한히 넓은 평면에 면전하밀도 σ(C/m$^2$)가 균일하게 분포되어 있을 경우 이 평면에서의 전계 E(V)는 몇 V/m 인가? (단, ε$_o$는 진공의 유전율이다.)",,$E = \frac{\sigma}{\epsilon_0}$,$E = \frac{\sigma}{2\epsilon_0}$,$E = \frac{\sigma}{2\pi\epsilon_0}$,$E = \frac{\sigma}{4\pi\epsilon_0}$,2,,
소방설비기사(전기분야),2021,4,소방전기회로,37,"50Hz의 주파수에서 유도성 리액턴스가 4ω인 인덕터와 용량성 리액턴스가 1ω인 커패시터의 4ω의 저항이 모두 직렬로 연결되어 있다. 이 회로에 100V, 50Hz의 교류전압을 인가했을 때 무효전력(var)은?",,1000,1200,1400,1600,2,,
소방설비기사(전기분야),2021,4,소방전기회로,38,다음의 단상 우도전동기 중 기동 토크가 가장 큰 것은?,,세이딩 코일형,콘덴서 기동형,분상 기동형,반발 기동형,4,,
소방설비기사(전기분야),2021,4,소방전기회로,39,무한장 솔레노이드에서 자계의 세기에 대한 설명으로 틀린 것은?,,,,,,4,,
소방설비기사(전기분야),2021,4,소방전기회로,40,다음의 논리식을 간소화하면?,,$Y = A + B$,$Y = \overline{A} + B$,$Y = A + \overline{B}$,$Y = \overline{A} + \overline{B}$,1,,
소방설비기사(전기분야),2021,4,소방관계법규,41,다음 위험물안전관리법령상 자체소방대 기준에 대한 설명으로 틀린 것은?,o,“대통령령이 정하는 제조소등”은 제4류 위험물을 취급하는 제조소를 포함한다.,“대통령령이 정하는 제조소등”은 제4류 위험물을 취급하는 일반취급소를 포함한다.,“대통령령이 정하는 수량 이상의 위험물”은 제4류 위험물의 최대수량의 합이 지정수량의 3천배 이상인 것을 포함한다,“대통령령이 정하는 제조소등”은 보일러로 위험물을 소비하는 일반취급소를 포함한다.,4,,
소방설비기사(전기분야),2021,4,소방관계법규,42,"위험물안전관리법령상 제조소등에 설치하여야 할 자동화재탐지설비의 설치기준 중 다음 ( ) 안에 알맞은 것은? (단, 팬전식분리값 감지기 설치는 제외한다.)",o,"㉠ 300, ㉡ 20","㉠ 400, ㉡ 30","㉠ 500, ㉡ 40","㉠ 600, ㉡ 50",4,,
소방설비기사(전기분야),2021,4,소방관계법규,43,소방시설공사업법령상 전문 소방시설공사업의 등록기준 및 영업범위의 기준에 대한 설명으로 틀린 것은?,,법인인 경우 자본금은 최소 1억원 이상이다.,개인인 경우 자산평가액은 최소 1억원 이상이다.,"주된 기술인력 최소 1명 이상, 보조기술인력 최소 3명 이상을 둔다.",영업범위는 특정소방대상물에 설치되는 기계분야 및 전 기분야 소방시설의 공사·개설·이전 및 정비이다.,3,,
소방설비기사(전기분야),2021,4,소방관계법규,44,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 특정소방대상물의 관계인이 특정소방대상물의 규모·용도 및 수용인원 등을 고려하여 갖추어야 하는 소방시설의 종류에 대한 기준 중 다음 ( ) 안에 알맞은 것은?",,"㉠ 33, ㉡ 1/2","㉠ 33, ㉡ 1/5","㉠ 50, ㉡ 1/2","㉠ 50, ㉡ 1/5",1,,
소방설비기사(전기분야),2021,4,소방관계법규,45,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 전체지면 및 그 밖에 대통령령으로 정하는 사유로 소방특별조사를 할 때 소방특별조사 시작 최대 며칠 전까지 면거선정서 및 종합서류를 제출해야 하는가?",,3,5,7,10,1,,
소방설비기사(전기분야),2021,4,소방관계법규,46,위험물안전관리법령상 정기점검의 대상인 제조소등의 기준으로 틀린 것은?,,지하탱크저장소,이동탱크저장소,지정수량의 10배 이상의 위험물을 취급하는 제조소,지정수량의 20배 이상의 위험물을 저장하는 옥외탱크저장소,4,,
소방설비기사(전기분야),2021,4,소방관계법규,47,위험물안전관리법령상 제4류 위험물 중 경유의 지정수량은 몇 리터인가?,,500,1000,1500,2000,2,,
소방설비기사(전기분야),2021,4,소방관계법규,48,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 1 급 소방안전관리대상물의 소방안전관리자 선임대상 기준 중 ( ) 안에 알맞은 내용은?",o,1년 이상,2년 이상,3년 이상,5년 이상,2,5년 이상,1
소방설비기사(전기분야),2021,4,소방관계법규,49,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 용어의 정의 중 ( ) 안에 알맞은 것은?",o,대통령령,국토교통부령,행정안전부령,고용노동부령,1,고용노동부령,2
소방설비기사(전기분야),2021,4,소방관계법규,50,소방기본법 제1장 총칙에서 정하는 목적의 내용으로 거리가 먼 것은?,,,,,,2,,
소방설비기사(전기분야),2021,4,소방관계법규,51,소방기본법령상 소방본부 출동상황실의 설치이 서면·팩스 또는 음향편 소방현 호용상황실에 보고하여야 하는 화재의 기준이 아닌 것은?,,이재민이 100인 이상 발생한 화재,재산피해액이 50억원 이상 발생한 화재,사망자가 3인 이상 발생하거나 사상자가 5인 이상 발생한 화재,출수가 5출 이상이거나 냉상이 30개 이상인 출합병원에 시달 출사한,3,,
소방설비기사(전기분야),2021,4,소방관계법규,52,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 관리업자가 소방시설등의 점검을 마친 후 관계인께 교부하는 기술안전관리표에 기록하고 이를 해당 특정소방대상물에 부착하여야 하나 이를 게시판하고 경우에 관계인이 대지상소방대상물의 부착하지 아니하였을 경우 벌칙 기준은?",,100만원 이하의 벌금,200만원 이하의 벌금,300만원 이하의 벌금,500만원 이하의 벌금,3,,
소방설비기사(전기분야),2021,4,소방관계법규,53,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 문화집회의 소화약제를 사용하는 소화기의 내용연수는 출은 기타이다. (단, 소방청장이 성능을 확인발아 그 사용기한을 연장하는 경우는 제외한다.)",,3년,5년,7년,10년,4,,
소방설비기사(전기분야),2021,4,소방관계법규,54,소방시설공사업법령상 소방시설공사업자가 소속 소방기술자를 소방시설공사 현장에 배치하지 않았을 경우의 과태료 기준은?,,100만원 이하,200만원 이하,300만원 이하,400만원 이하,2,,
소방설비기사(전기분야),2021,4,소방관계법규,55,소방기본법령상 위험물 또는 물건의 보관기간은 소방본부 또는 소방서의 게시판에 공고하는 기간의 종료일 다음 날부터 며칠로 하는가?,,3,4,5,7,4,,
소방설비기사(전기분야),2021,4,소방관계법규,56,소방기본법령상 소방활동장비와 설비의 구입 및 설치 시 국고보조의 대상이 아닌 것은?,,소방자동차,사무용 집기,소방헬리콥터 및 소방정,소방전동용신선비 및 전산설비,2,,
소방설비기사(전기분야),2021,4,소방관계법규,57,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 특정소방대상물의 관계인은 소방안전관리자를 기준일로부터 30일 이내에 선임하여야 한다. 다음 중 기준일로 틀린 것은?",,소방안전관리자를 해임한 경우 : 소방안전관리자를 해임한 날,특정소방대상물을 양수하여 관계인의 권리를 취득한 경 우 : 해당 권리를 취득한 날,신축으로 해당 특정소방대상물의 소방안전관리자를 신규 로 선임하여야 하는 경우 : 해당 특정소방대상물의 완공 일,증축으로 인하여 특정소방대상물이 소방안전관리대상물 로 된 경우 : 증축공사의 개시일,4,,
소방설비기사(전기분야),2021,4,소방관계법규,58,위험물안전관리법령상 위험물을 취급함에 있어서 정전기가 발생할 우려가 있는 설비에는 다음 ( ) 안에 알맞은 것은?,,,,,,3,,
소방설비기사(전기분야),2021,4,소방관계법규,59,소방기본법령상 특수가연물의 수량 기준으로 옳은 것은?,,면화류: 각납고,가연성고체류 : 500kg 이상,나무껍질 및 대팻밥 : 300kg 이상,낮비 및 종이부스러기 : 400kg 이상,1,,
소방설비기사(전기분야),2021,4,소방관계법규,60,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 소방정장, 소방본부장 또는 소방서장이 소방특별조사를 하려면 과 과계자에게 조사 개시 며칠 전까지 조사사유 등을 확인할 필요가 있는 경우와 사건에 출자하면 소사북적을 달성할 수 없다고 인정되는 경우는 제외한다.",,7,10,12,14,1,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,61,감지기의 형식승인 및 제품검사의 기술기준에 따라 단독경보형감지기를 스위치 조작에 의하여 화재경보를 정지 시킬 경우 작동 정지 후 약간 시간이 경과하면 자동적으로 정상상태로 복귀되어야 하는가?,,3,5,10,15,4,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,62,비상콘센트설비의 화재안전기준(NFSC 504)에 따라 하나의 전용회로에 설치하는 비상콘센트는 몇 개 이하로 하여야 하는가?,,2,3,10,20,3,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,63,"자동화재속보설비의 속보기의 성능인증 및 제품검사의 기술기준에 따라 속보기는 작동신호를 수신하거나 수동으로 동작시기면 경우 20초 이내에 통화장치가 대기상태로 변환되어 통화하지, 몇 회 이상 속보할 수 있어야 하는가?",,1,2,3,4,3,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,64,자동화재탐지설비 및 시각경보장치의 화재안전기준(NFSC 203)에 따라 감지기는 천장 또는 반자 아래에 설치하되 아닌 것은?,,실내의 음적이 20m³ 이하인 장소,,,,1,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,65,비상콘센트의 배치와 설치에 대한 현장 사항이 비상콘센트설비의 화재안전기준(NFSC 504)에 적합하지 않은 것은?,,비상콘센트의 외함은 내화배선으로 되어 있다.,보호함에는 쉽게 개폐할 수 있는 문을 설치하였다.,보호함 표면에 '비상콘센트'라고 표시한 표지를 붙였다.,3상 교류 200볼트 전원회로에 대해 비접지형 3극 플러그 접속기를 사용하였다.,4,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,66,자동화재탐지설비 및 시각경보장치의 화재안전기준(NFSC 203)에 따라 제2종 감지기를 부착높이가 4m 미만인 장소에 설치 시 기준 바닥면적은?,,30m²,50m²,75m²,150m²,4,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,67,"이래 그림은 자동화재탐지설비의 배선도이다. 추가로 구획된 공간이 생겨 가, 나, 다, 라 감지기를 증설했을 경우, 자동화재탐지설비 및 시각경보장치의 화재안전기준(NFSC 203)에 적합하게 설치한 것은?",O,가,나,다,라,2,,
