"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"소방설비기사(기계분야)","2010","2","소방원론","1","강화액에 대한 설명으로 옳은 것은?","","침투제가 첨가된 물을 말한다.","물에 첨가하는 계면 활성제의 총칭이다.","물이 고온에서 쉽게 증발하게 하기 위해 첨가한다.","알칼리 금속염을 사용한 것이다.","4"
"소방설비기사(기계분야)","2010","2","소방원론","2","불꽃의 색상을 저온으로부터 고온 순서로 옳게 나열한 것은?","","암적색, 휘백색, 황적색","휘백색, 암적색, 황적색","암적색, 황적색, 휘백색","휘백색, 황적색, 암적색","3"
"소방설비기사(기계분야)","2010","2","소방원론","3","소화기구의 구분에서 간이소화용구에 해당되지 않는 것은?","","이산화탄소소화기","마른모래","팽창질석","팽창진주암","1"
"소방설비기사(기계분야)","2010","2","소방원론","4","무창층이 개구부로서 갖추어야 할 조건으로 옳은 것은?","","개구부 크기가 지름 30cm의 원이 내접할 수 있는 것","해당 층의 바닥면으로부터 개구부 밑부분까지의 높이가 1.5m 인 것","내부 또는 외부에서 쉽게 파괴 또는 개방할 수 있을 것","창에 방범을 위하여 40cm 간격으로 창살을 설치한 것","3"
"소방설비기사(기계분야)","2010","2","소방원론","5","마그네슘의 화재시 이산화탄소소화약제를 사용하면 안되는 이유는?","","마그네슘과 이산화탄소가 반응하여 흡열반응을 일으키기 때문이다.","마그네슘과 이산화탄소가 반응하여 가연성의 탄소가 생성되기 때문이다.","마그네슘이 이산화탄소에 녹기 때문이다.","이산화탄소에 의한 질식의 우려가 있기 때문이다.","2"
"소방설비기사(기계분야)","2010","2","소방원론","6","이산화탄소 소화약제 고압식 저장용기의 충전비를 옳게 나타낸 것은?","","1.5 이상 1.9 이하","1.1 이상 1.9 이하","1.1 이상 1.4 이하","1.4 이상 1.5 이하","1"
"소방설비기사(기계분야)","2010","2","소방원론","7","청정소화약제 중 HCFC-22가 82%인 것은?","","HCFC BLEND A","IG-541","HFC-227ea","IG-55","1"
"소방설비기사(기계분야)","2010","2","소방원론","8","연료로 사용하는 가스에 관한 설명 중 틀린 것은?","","도시가스, LPG는 모두 공기보다 무겁다.","1m$^3$의 CH$_4$를 완전 연소시키는데 필요한 공기량은 약 9.52Nm$^3$이다.","메탄의 공기 중 폭발범위는 약 5 ~15% 정도이다.","부탄의 공기 중 폭발범위는 약 1.9 ~ 8.5% 정도이다.","1"
"소방설비기사(기계분야)","2010","2","소방원론","9","보일오버(Boil over) 현상에 대한 설명으로 옳은 것은?","","아래층에서 발생한 화재가 위층으로 급격히 옮겨 가는 현상","연소유의 표면이 급격히 증발하는 현상","탱크 저부의 물이 급격히 증발하여 기름이 탱크 밖으로 화재를 동반하여 방출하는 현상","기름이 뜨거운 물 표면 아래에서 끓는 현상","3"
"소방설비기사(기계분야)","2010","2","소방원론","10","소방시설의 구분에서 피난설비에 해당하지 않는 것은?","","무선통신보조설비","완강기","구조대","공기안전매트","1"
