Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방시설관리사,2016,1,소방안전관리론,1,표면연소(작열연소)에 관한 설명으로 옳지 않은 것은?,,"흑연, 목탄 등과 같이 휘발분이 거의 포함되지 않은 고체 연료에서 주로 발생한다.",불꽃연소에 비해 일산화탄소가 발생할 가능성이 크다.,화학적 소화만 소화 효과가 있다.,불꽃연소에 비해 연소속도가 느리고 단위시간당 방출열량이 적다.,3
소방시설관리사,2016,1,소방안전관리론,2,요오드값(아이오딘값)에 관한 설명으로 옳지 않은 것은?,,유지 100 g에 흡수된 요오드의 g 수로 표시한 값이다.,값이 클수록 불포화도가 낮고 반응성이 작다.,값이 클수록 공기 중에 노출되면 산화열 축적에 의해 자연발화하기 쉽다.,요오드값이 130 이상인 유지를 건성유라고 한다.,2
소방시설관리사,2016,1,소방안전관리론,3,"연료가스의 분출속도가 연소속도보다 클 때, 주위 공기의 움직임에 따라 불꽃이 노즐에서 정착하지 않고 떨어져 꺼지는 현상은?",,불완전연소(Incomplete combustion),리프팅(Lifting),블로우오프(Blow off),역화(Back fire),3
소방시설관리사,2016,1,소방안전관리론,4,액화가스 탱크폭발인 BLEVE(Boiling Liquid Expanding Vapor Explosion)의 방지대책으로 옳지 않은 것은?,,탱크가 화염에 의해 가열되지 않도록 고정식 살수설비를 설치한다.,입열을 위하여 탱크를 지상에 설치한다.,용기 내압강도를 유지할 수 있도록 견고하게 탱크를 제작한다.,탱크 내벽에 열전도도가 큰 알루미늄 합금박판을 설치한다.,2
소방시설관리사,2016,1,소방안전관리론,5,"40톤의 프로판이 증기운 폭발했을 때, TNT당량모델에 따른 TNT당량과 환산거리(폭발지점으로부터 100 m 지점)에 관한 설명으로 옳지 않은 것은? (단, 프로판의 연소열은 47 MJ/톤, TNT의 연소열은 4.7 MJ/톤, 폭발효율은 0.1이다.)",,TNT당량은 어떤 물질이 폭발할 때 내는 에너지와 동일 에너지를 내는 TNT중량을 말한다.,환산거리는 폭발의 영향범위 산정 및 폭풍파의 특성을 결정하는 데 사용된다.,"TNT당량값은 40,000 kg 이다.",환산거리값은 약 5.00 m/kg$^{1/3}$ 이다.,4
소방시설관리사,2016,1,소방안전관리론,6,건축물의 피난ㆍ방화구조 등의 기준에 관한 규칙상 고층건축물에 설치하는 피난용 승강기의 설치기준에 관한 설명으로 옳은 것은?,,승강로의 상부 및 승강장에는 배연설비를 설치할 것,승강장에는 상용전원에 의한 조명설비만을 설치할 것,예비전원은 전용으로 하고 30분 동안 작동할 수 있는 용량의 것으로 할 것,승강장의 바닥면적은 피난용승강기 1대에 대하여 4제곱미터로 할 것,1
소방시설관리사,2016,1,소방안전관리론,7,초고층 및 지하연계 복합건축물 재난관리에 관한 특별법령상 종합방재실의 설치 기준에 관한 설명으로 옳지 않은 것은?,,종합방재실과 방화구획된 부속실을 설치할 것,재난 및 안전관리에 필요한 인력은 2명을 상주하도록 할 것,면적은 20제곱미터 이상으로 할 것,종합방재실을 피난층이 아닌 2층에 설치하는 경우 특별피난계단 출입구로부터 5미터이내에 위치할 것,2
소방시설관리사,2016,1,소방안전관리론,8,다중이용업소의 안전관리에 관한 특별법령상 다중이용업이 아닌 것은?,,수용인원이 400명인 학원,지상 3층에 설치된 영업장으로 사용하는 바닥면적의 합계가 66제곱미터인 일반음식점 영업,구획된 실(室) 안에 학습자가 공부할 수 있는 시설을 갖추고 숙박 또는 숙식을 제공하는 고시원업,노래연습장업,2
소방시설관리사,2016,1,소방안전관리론,9,열에너지원의 종류 중 화학열이 아닌 것은?,,분해열,압축열,용해열,생성열,2
소방시설관리사,2016,1,소방안전관리론,10,소방시설 등의 성능위주설계 방법 및 기준상 화재 및 피난 시뮬레이션의 시나리오 작성 시 국내 업무용도 건축물의 수용인원 산정기준은 1인당 몇 m$^2$인가?,,4.6,9.3,18.6,22.3,2
소방시설관리사,2016,1,소방안전관리론,11,1기압 상온에서 가연성 가스의 연소범위(vol %)로 옳지 않은 것은?,,수소 : 4 ~ 75,메탄 : 5 ~ 15,암모니아 : 15 ~ 28,일산화탄소 : 3 ~ 11.5,4
소방시설관리사,2016,1,소방안전관리론,12,화재조사 용어 중 강소흔에 관한 설명으로 옳은 것은?,,목재 등의 표면이 타 들어가 구갑상(龜甲狀)을 이루면서 탄화된 부분의 총 깊이,통전 상태에 있던 전선이 화재시의 열기로 인해 전선 피복이 타버리는 과정에서 전선의 심선이 서로 접촉될 때의 방전으로 생기는 용흔,목재표면이 불의 영향을 강하게 받아 심하게 탄 흔적으로 약 900℃ 수준의 불에 탄목재 표면층에서 나타나는 균열흔,가연물이 탈 때 발생하는 그을음 등의 입자가 공간 속을 흘러가며 물체 또는 공간 내 표면에 연기가 접촉해서 남겨 놓은 흔적,3
소방시설관리사,2016,1,소방안전관리론,13,1기압 상온에서 발화점(ignition point)이 가장 낮은 것은?,,황린,이황화탄소,셀룰로이드,아세트알데히드,1
소방시설관리사,2016,1,소방안전관리론,14,"다음에서 설명하는 것은?\n\n미분탄, 소맥분, 플라스틱의 분말 같은 가연성 고체가 미분말로 되어 공기 중에 부유한 상태로 폭발등도 미상으로 있을 때 착화원이 존재함으로써 발생하는 폭발현상",,산화폭발,분무폭발,분진폭발,분해폭발,3
소방시설관리사,2016,1,소방안전관리론,15,화재성장속도 분류에서 약 1MW의 열량에 도달하는 시간이 600초인 것은?,,Slow 화재,Medium 화재,Fast 화재,Ultra Fast 화재,1
