"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"화재감식평가기사","2015","4","화재조사론","1","철의 열적 변형에 대한 설명으로 옳지 않은 것은?","","녹는점은 660℃이다.","적열상태가 되면 연성이 증가한다.","수열이 있는 반대방향으로 휜다.","산화반응이 일어나 변색된다.","1"
"화재감식평가기사","2015","4","화재조사론","2","증거물 수집 용기와 시료 적응성을 연결한 것으로 틀린 것은?","","종이상자 : 고체","금속캔 : 고체, 액체","유리병 : 고체, 액체","비닐 백 : 액체","4"
"화재감식평가기사","2015","4","화재조사론","3","화재패턴 중 폭열에 대한 설명으로 가장 옳은 것은?","","가열되는 경우에 다른 열팽창 정도로 인해 폭열이 발생하며, 냉각되는 과정에서는 발생하지 않는다.","단일 재료에 의해 만들어진 자연석도 폭열이 발생한다.","구획실의 바닥면에서 폭열이 발생하는 경우 액체가연물이 연소된 흔적으로 추정할 수 있다.","실제 현장에서의 폭열은 열은 받은 부위가 중력에 의해 떨어지며 소음이 발생하지 않는다.","2"
"화재감식평가기사","2015","4","화재조사론","4","발화부 주변의 일반적인 연소현상에 대한 설명으로 옳지 않은 것은?","","발화부를 향해 소락되거나 도괴된다.","발화부와 가까울수록 탄화심도가 깊다.","목재표면에 발생하는 균열은 발화부와 멀수록 골이 넓어진다.","발화부는 일반적으로 밝은 색을 띠며 발화부와 멀어질수록 어두운 빛을 나타낸다.","3"
"화재감식평가기사","2015","4","화재조사론","5","메탄 40vol%, 에탄 30vol%, 프로판 30vol%가 혼합되어 있는 혼합성기체의 공기 중 폭발하한계는 약 몇 vol%인가? (단, 각 물질의 폭발범위 메탄 : 5~15vol%, 에탄 : 3~12.4vol%, 프로판 : 2.1~9.5vol%)","","2.5","3.1","4.3","5.7","2"
"화재감식평가기사","2015","4","화재조사론","6","연기에 대한 설명으로 옳지 않은 것은?","","연기는 공기 중에 부유하고 있는 고체 또는 액체의 미립자이다.","건물 내에서 연기의 확산 속도는 수평으로 약 0.5m/s 이다.","알코올이 연소될 경우 연기의 색이 진한 검정색을 띤다.","고층건물에서 연기를 이동시키는 주요 추진력은 굴뚝효과이다.","3"
"화재감식평가기사","2015","4","화재조사론","7","화재현장에서 유리는 화재로 인해 받은 열의 종도에 따라 그 형태가 각기 다르게 나타난다. 이에 대한 설명으로 옳지 않은 것은?","","열을 받은 유리는 수열방향으로 보다 많이 낙하한다.","유리는 열을 받으면 방사형 균열이 발생한다.","열을 받은 유리의 조개껍질 모양의 박리는 고온일수록 많고 깊다.","유리는 열을 받은 정도가 클수록 용융범위가 넓어진다.","2"
"화재감식평가기사","2015","4","화재조사론","8","복사체로부터의 열전달률은 해당물질의 절대온도의 몇 제곱에 비례하는가?","","5","4","3","2","2"
"화재감식평가기사","2015","4","화재조사론","9","혼합가연물의 최소착화에너지에 영향을 미치는 요인에 대한 설명으로 옳은 것은?","","온도가 높을수록 최소착화에너지는 높아진다.","연소범위에 따라서 최소착화에너지는 변한다.","가연물의 종류에 따라서 최소착화에너지는 일정하다.","혼합된 공기의 산소농도에 따라서 최소착화에너지는 일정하다.","2"
"화재감식평가기사","2015","4","화재조사론","10","연소현황 중 완전연소에 대한 설명으로 옳은 것은?","","산소의 공급이 불충분한 상태에서의 연소현상이다.","연소 시 다량의 가연성 가스의 공급이 완전연소의 원인이 된다.","탄화수소가 완전연소하면 이산화탄소와 수증기가 생성된다.","환기가 제대로 되지 않은 상태에서 실내에 가스기구를 사용하는 경우에 발생한다.","3"
"화재감식평가기사","2015","4","화재조사론","11","인화성 및 발화성의 가연물이 연소할 때 중심부의 가연성 액체를 기화시키면서 나타나는 화재패턴은?","","포워패턴(Pour pattern)","레인보우패턴(Rainbow pattern)","스프래쉬패턴(Splash pattern)","도넛패턴(Doughnut pattern)","4"
"화재감식평가기사","2015","4","화재조사론","12","열전달 방식 중 복사에 의한 열전달 사례인 것은?","","화재현장에서 창문을 파괴하거나 뜨거운 열기가 급격히 분출되었다.","대규모 산불현장에서 너무 뜨거워 소방관이 멀리 떨어져 소화활동을 하였다.","방바닥이 너무 뜨거워서 발에 화상을 입었다.","가마솥에 밥을 다하고 나서 밥 위에 고구마를 넣었더니 20분 만에 익었다.","2"
"화재감식평가기사","2015","4","화재조사론","13","화재피해조사 중 건물의 소실정도를 나타내는 것으로 옳은 것은?","","전소 : 건물의 입체면적 70% 이상 소실","반소 : 건물의 입체면적 50% 이상 소실","즉소 : 건물의 입체면적 30% 이상 소실","부분소 : 건물의 입체면적 50% 미만 30% 이상 소실","1"
"화재감식평가기사","2015","4","화재조사론","14","화재원인조사의 조사범위가 아닌 것은?","","소방활동 중 발생한 사망자 및 부상자","화재의 연소경로 및 확대원인 등의 상황","피난경로, 피난상의 장애요인 등의 상황","화재가 발생한 과정, 화재가 발생한 지점 및 불이 붙기 시작한 물질","1"
"화재감식평가기사","2015","4","화재조사론","15","연소의 특성에 대한 설명으로 옳지 않은 것은?","","연소속도는 재료의 질량유속으로 정의되며 g/m$^2$s로 나타낸다.","일반적으로 표면에서의 질량유속은 5~50 g/m$^2$s 범위에 있으며, 그 값이 5 이하인 것은 소화된다.","화염속도는 물적조건과 에너지조건인 농도, 압력, 온도보다 난류의 영향으로 가속된다.","연소속도는 화학양론비 부근에서 최소가 되고 연소상한계, 연소하한계로 갈수록 연소속도는 증가한다.","4"
"화재감식평가기사","2015","4","화재조사론","16","물질의 융점으로 옳은 것은?","","납 : 327℃","구리 : 1540℃","파라핀 : 660℃","알루미늄 : 54℃","1"
"화재감식평가기사","2015","4","화재조사론","17","소방기본법 상 화재조사 기자재 중 감식·감정용 기기가 아닌 것은?","","절연저항제","클램프메타","거리측정기","복합가스측정기","3"
"화재감식평가기사","2015","4","화재조사론","18","조사관의 현장 조사업무로 거리가 먼 것은?","","현장 탐색","관계인 인터뷰","증거물의 감정","증거수집 및 보존","3"
"화재감식평가기사","2015","4","화재조사론","19","분진폭발을 가스폭발과 비교할 때 분진폭발의 특징으로 옳은 것은?","","최소발화에너지가 크다.","연소속도가 빠르다.","불완전연소가 적다.","연소시간이 짧다.","1"
"화재감식평가기사","2015","4","화재조사론","20","화재조사 진행순서로서 가장 옳은 것은?","","현장관찰 → 관계자질문 → 발굴 → 감정 → 발화원인 판정","관계자질문 → 발굴 → 현장관찰 → 감정 → 발화원인 판정","관계자질문 → 발굴 → 현장관찰 → 발화원인 판정 → 감정","현장관찰 → 발굴 → 관계자질문 → 발화원인 판정 → 감정","1"
"화재감식평가기사","2015","4","화재감식론","21","항공기에서 화재감지장치(fire detection system)가 설치되지 않는 곳은?","","화장실(lavatory)","연료탱크(fuel tank)","바퀴실(wheel well)","블리드에어 덕트(bleed air duct)","2"
"화재감식평가기사","2015","4","화재감식론","22","절연물이 소규모 방전 또는 고온의 불꽃에 의해 탄화되어 도전성 물질로 되는 것은?","","접촉불량","흑연화","반단선","단락","2"
"화재감식평가기사","2015","4","화재감식론","23","구획실에서 유염(불꽃)화재 연소과정으로 바르게 나열한 것은?","","점화 → 성장기 → 플래시오버 → 최성기 → 감쇠기 → 소화","점화 → 성장기 → 최성기 → 플래시오버 → 감쇠기 → 소화","점화 → 최성기 → 성장기 → 플래시오버 → 감쇠기 → 소화","점화 → 성장기 → 최성기 → 감쇠기 → 플래시오버 → 소화","1"
"화재감식평가기사","2015","4","화재감식론","24","미소화원에 대한 설명으로 옳은 것은?","","유염화원에 비하여 에너지량이 훨씬 많다.","표면적으로 연소가 확대되는 경우가 많다.","담뱃불, 향불, 불티 등과 같은 무염화원을 지칭한다.","협의로 해석할 때는 나화라고도 하여 유염화원과 구분한다.","3"
"화재감식평가기사","2015","4","화재감식론","25","다음의 화학반응식에서 ( )에 발생하는 기체로 옳은 것은?\n\nCaC$_2$ + 2H$_2$ O → Ca(OH)$_2$ + ( )","","C$_2$H$_2$","C$_2$H$_4$","C$_3$H$_6$","C$_3$H$_8$","1"
"화재감식평가기사","2015","4","화재감식론","26","다수의 사실로부터 일반적인 사항을 도출해내는 추론방법은?","","합리적 추론","귀납적 추론","연역적 추론","형식적 추론","2"
"화재감식평가기사","2015","4","화재감식론","27","방화의 특징으로 옳지 않은 것은?","","방화의 원인이 다양하다.","방화의 발생은 계절과 상관관계가 높다.","용도별로는 주택 및 차량에 대한 방화가 많다.","휘발유, 시너 등을 사용하는 경우가 많아 화재확산이 매우 빠르다.","2"
