Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
화재감식평가기사,2021,4,화재조사론,1,화재조사 및 보고규정상 조사본부 설치운영에 관한 사항 중 틀린 것은?,,조사본부장은 현장보존의 책임이 있다.,조사본부 설치운영시 소방본부 조사요원은 소방서 조사업무를 지원하여야 한다.,"조사관은 소방본부 및 소방서의 화재조사 업무를 담당하고, 조사요원 지휘 감독의 책임이 있다.",조사본부장은 화재현장 지휘자로부터 화재조사에 관련된 필요정보를 인수받아 조사의 원활한 수행을 기하도록 하여야 한다.,3
화재감식평가기사,2021,4,화재조사론,2,화재조사자의 자세로 틀린 것은?,,과학적이고 주관적인 조사를 해야 한다.,특이한 화재현상에 대하여는 관계지식을 최대한 활용하여야 한다.,소방기본법에 따라 부여된 권리와 의무를 초과해서는 안된다.,직무를 이용하여 개인의 민사관계에 관여해서는 안된다.,1
화재감식평가기사,2021,4,화재조사론,3,복사체에서 절대온도의 차이가 두 배 높아지면 해당물질로부터 복사에 의한 열전달류은 몇 배가 되는가?,,2,4,16,32,3
화재감식평가기사,2021,4,화재조사론,4,소방기본법령상 화재조사에 관한 설명으로 틀린 것은?,,소방서장은 화재가 발생하였을 때에는 화재조사를 하여야 한다.,소방공무원과 국가경찰공무원은 화재조사를 할 때에 서로 협력하여야 한다.,화재조사를 하는 관계 공무원은 권한을 표시하는 증표를 지니고 이를 관계인에게 보여 주어야 한다.,화재조사를 하는 관계 공무원은 화재조사를 수행하면서 알게 된 비밀에 대해 인터뷰해도 된다.,4
화재감식평가기사,2021,4,화재조사론,5,비등액체팽창증가폭발(BLEVE)에 대한 설명으로 틀린 것은?,,인화성 액체에서만 일어날 수 있는 현상이다.,저장용기의 크기와 관계없이 일어날 수 있는 현상이다.,가압상태에서 비점이상 온도의 액체를 저장하는 용기와 관련된 폭발이다.,저장용기 내에 존재하는 물질의 상호이상반응에 의해서도 발생이 가능한 현상이다.,1
화재감식평가기사,2021,4,화재조사론,6,조사인원 중 전문 인력에 관한 설명으로 틀린 것은?,,기계공학자는 전문인력으로 부적합하다.,특이화재의 경우 전문 인력의 도움을 받을 수 있다.,전문 인력을 데려오면 이해관계의 충돌을 피해야 한다.,어떤 부분에 대한 훈련을 받았거나 받지 않았다는 사실이 특정 전문가의 자격에 영향을 끼친다는 뜻은 아니다.,1
화재감식평가기사,2021,4,화재조사론,7,폭발 위력의 지표로 사용될 수 있는 자료와 거리가 가장 먼 것은?,,폭심부의 깊이,파편의 비행거리,깨진 유리창의 단면,무너진 벽의 종류와 구조,3
화재감식평가기사,2021,4,화재조사론,8,유류화재와 관련된 용어의 설명으로 틀린 것은?,,인화점은 외부로부터 에너지를 받아서 착화 가능한 최저온도,발화점은 외부로부터 점화에너지 공급 없이 주변의 열에 의해 물질 스스로 착화되는 최저온도,증기밀도는 공기의 분자량을 가연성 물질의 분자량으로 나눈 값,연소점은 화염이 꺼지지 않고 지속되는 최저온도.,3
화재감식평가기사,2021,4,화재조사론,9,MEK(메틸에틸케톤)으로 인한 화재 분류로 옳은 것은?,,A급화재,B급화재,C급화재,D급화재,2
화재감식평가기사,2021,4,화재조사론,10,화재조사관의 현장안전관리에 관한 내용으로 틀린 것은?,,조사관은 활동 시에 화재 진압 인력과 협력해야 한다.,조사관은 화재현장 지휘관에게 알리지 않고 건물 내 다른 곳으로 이동해서는 안 된다.,화재가 진압된 건물에서 조사를 수행할 때 불이 다시 날 수 있다는 것을 염두에 두어야 한다.,화재가 완전히 진압되기 전에 조사관은 지휘관의 허가를 받지 않아도 건물에 들어가 조사를 할 수 있다.,4
화재감식평가기사,2021,4,화재조사론,11,화재조사 및 보고규정상 화재현황조사서에 관한 사항 중 틀린 것은?,,"연소확대물, 연소확대 사유를 기록한다.","온도, 습도와 같은 기상상황은 기록하지 않는다.","발화열원, 발화요인, 최초착화물 등 화재원인을 기록한다.",동원인력 사항을 기록할 때 잔불감시 인력에 대한 사항을 기록한다.,2
화재감식평가기사,2021,4,화재조사론,12,화재증거물수집관리규칙상 증거물의 포장ㆍ보관ㆍ이동에 관한 설명으로 옳은 것은?,,증거물의 포장은 보호상자를 사용하여 일괄 포장함을 원칙으로 한다.,화재 증거물은 관계인의 승낙에 관계없이 폐기할 수 있다.,증거물은 화재증거 수집 목적 달성 후 관계인에게 반환하지 않고 3년간 보관하여야 한다.,증거물의 반환 또는 폐기까지 화재조사자 또는 이와 동일한 자격 및 권한을 가진 자의 책임 하에 행해져야 한다.,4
화재감식평가기사,2021,4,화재조사론,13,증거물 수집 용기와 시료의 적응성을 연결한 것으로 틀린 것은?,,비닐 백: 액체,종이상자: 고체,"금속캔: 고체, 액체","유리병: 고체, 액체",1
