"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"화재감식평가산업기사","2019","2","화재조사론","1","화염확산에 대한 설명으로 옳지 않은 것은?","","화염확산은 화재의 부력이나 대기상의 바람으로 인한 유동의 영향을 받는다.","화염확산은 일반적으로 화염의 방향 및 연료의 특성에 영향을 받는다.","고체의 화염확산속도는 표면장력효과로 인하여 전반적으로 액체의 화염확산속도보다 크다.","다공성 고체물질은 다공성이 아닌 물질에 비하여 화염확산속도가 빠르다.","3"
"화재감식평가산업기사","2019","2","화재조사론","2","다음 중 화재의 분류와 가연물이 옳게 연결된 것은?","","A급화재 : 휘발유","B급화재 : 목재","C급화재 : 유성페인트","D급화재 : 금속분말","4"
"화재감식평가산업기사","2019","2","화재조사론","3","화재의 소실 정도를 나타내는 용어와 설명이 옳게 짝지어진 것은?","","전소:건물의 입체면적 60% 이상 소실되었거나, 잔존부분을 보수하여 재사용이 가능한 것","반소:건물의 입체면적 50% 이상 70% 미만이 소실된 것","부분소:전소, 반소화재에 해당하지 아니하는 것","즉소:건물의 입체면적 30% 이상 소실된 것","3"
"화재감식평가산업기사","2019","2","화재조사론","4","다음의 화재에 대한 설명 중 옳은 것은?","","최성기단계의 화재는 연료지배형이다.","플래쉬오버 단계는 환기지배형 연소에서 연료지배형 연소로 전환되는 단계이다.","감쇠기단계의 화재는 연료지배형 연소이다.","가연물 양과 환기량은 열방출률과 무관하다.","3"
"화재감식평가산업기사","2019","2","화재조사론","5","소방관련법령상 화재조사의 책임을 가진 사람은?","","경찰서장","보험사","소방서장","최초 발견자","3"
"화재감식평가산업기사","2019","2","화재조사론","6","화재현장에서 고휘발성 증거물의 수집 시 고려해야 할 사항이 아닌 것은?","","과학성","임의성","신속성","현장성","2"
"화재감식평가산업기사","2019","2","화재조사론","7","염화비닐 단량체가 폴리염화비닐로 변화되는 반응과정에서 발생할 수 있는 폭발 현상은?","","산화폭발","분진폭발","중합폭발","전선폭발","3"
"화재감식평가산업기사","2019","2","화재조사론","8","화재조사의 분류 중 화재피해조사에 해당하는 것은?","","화재의 발견, 통보 및 조기 소화 등의 상황조사","대피경로, 대피상의 장애요인 등의 상황조사","소방시설의 사용 또는 작동상황 등의 상황조사","소화활동 중 사용된 물로 인한 파손 상황조사","4"
"화재감식평가산업기사","2019","2","화재조사론","9","다음 중 화학적 작용에 의한 소화방법에 해당하는 것은?","","질식소화","냉각소화","제거소화","억제소화","4"
"화재감식평가산업기사","2019","2","화재조사론","10","다음 중 가연성 액체의 일반적인 연소형태와 거리가 먼 것은?","","포어 패턴(Pour pattern)","스플레쉬 패턴(Splash pattern)","트레일러 패턴(Trailer pattern)","도넛 패턴(Doughnut pattern)","3"
"화재감식평가산업기사","2019","2","화재조사론","11","물질의 상변화에너지에 대한 설명으로 옳은 것은?","","증발열-기체가 액체로 변화할 때 외부로부터 흡수하는 열량","잠열-물질이 상변화 없이 온도만 변할 때 흡수 또는 발생하는 열","응고열-액체가 응고점에서 동일 온도의 고체로 변화할 때 방출하는 열량","현열-물질이 온도ㆍ압력의 변화 없이 상변화만 일어날 때 흡수 또는 발생하는 열","3"
