Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방안전교육사,2016,A,소방학개론,1,이상가열이나 타 물건과의 접촉 또는 혼합에 의하지 않고 스스로 발열반응을 일으켜 발화하는 현상을 자연발화라 한다. 자연발화가 일어날 수 있는 조건으로 옳지 않은 것을 모두 고른 것은?\n\nㄱ. 가연물의 열전도율이 클 것\nㄴ. 가연물의 발열량이 작을 것\nㄷ. 가연물의 주위 온도가 높을 것\nㄹ. 가연물의 표면적이 넓을 것,,"ㄱ, ㄴ","ㄴ, ㄷ","ㄷ, ㄹ","ㄱ, ㄹ",1
소방안전교육사,2016,A,소방학개론,2,국가화재안전기준상 다음에서 설명하는 피난기구는?\n\n화재 발생시 사람이 건축물 내에서 외부로 긴급히 뛰어 내릴 때 충격을 흡수하여 안전하게 지상에 도달할 수 있도록 포지에 공기 등을 주입하는 구조로 되어 있는 것을 말한다.,,피난사다리,완강기,구조대,공기안전매트,4
소방안전교육사,2016,A,소방학개론,3,국가화재안전기준상 유수검지장치에서 스프링클러헤드까지 압축공기 또는 질소 등의 기체로 충전된 스프링클러설비는?,,습식스프링클러설비,건식스프링클러설비,준비작동식스프링클러설비,일제살수식스프링클러설비,2
소방안전교육사,2016,A,소방학개론,4,국가화재안전기준상 옥내소화전설비에서 고가수조에 관한 내용으로 옳은 것은?,,자연낙차의 압력으로 급수하는 수조,가압공기로 가압하여 급수하는 수조,고압기체로 가압하여 급수하는 수조,펌프를 이용하여 급수하는 수조,1
소방안전교육사,2016,A,소방학개론,5,폭발의 종류와 폭발을 일으키는 원인물질의 연결이 옳지 않은 것은?,,분해폭발 - 아세틸렌,분진폭발 - 탄산칼슘,중합폭발 - 시안화수소,산화폭발 - 프로판,2
소방안전교육사,2016,A,소방학개론,6,소화설비 중 가스계소화설비가 아닌 것은?,,포소화설비,이산화탄소소화설비,청정소화약제소화설비,할로겐화합물소화설비,1
소방안전교육사,2016,A,소방학개론,7,"국가화재안전기준상 감지기에 관한 정의에서 ( )안에 들어갈 용어로 옳은 것은?\n\n감지기란 화재시 발생하는 열, 연기, 불꽃 또는 연소생성물을 자동적으로 감지하여 ( )에 발신하는 장치를 말한다.",,경종,발신기,수신기,시각경보장치,3
소방안전교육사,2016,A,소방학개론,8,"다음에서 설명하는 내화구조 건축물화재의 진행단계로 옳은 것은?\n\n화재가 진행됨에 따라 화재의 강도가 점점 강해진다. 화재가 진행되면서 대류, 전도, 복사, 불꽃의 접촉 등에 의해 열이 축적되고, 축적된 열 때문에 연소의 속도는 기하급수적으로 증가하게 되는 단계이다.",,화재 초기,화재 성장기,화재 최성기,화재 감쇄기,2
소방안전교육사,2016,A,소방학개론,9,"전기히터가 220 V에서 작동하여 1,500 W를 소비하였을 때 저항치 [Ω]는? (단, 소수점 둘째자리에서 반올림한다.)",,12.3,22.3,32.3,42.3,3
소방안전교육사,2016,A,소방학개론,10,액화천연가스(LNG)의 주성분인 탄화수소가스로 옳은 것은?,,CH$_4$,C$_2$H$_6$,C$_3$H$_8$,C$_4$H$_{10}$,1
소방안전교육사,2016,A,소방학개론,11,"예상하지 못한 극한 상황에서 나타나는 인간의 본능 중 다음에서 설명하고 있는 행동특성은?\n\n원래 왔던 길로 되돌아가거나 일상적으로 사용하는 경로로 탈출하려는 본능이다. 항상 사용하는 복도, 계단 및 엘리베이터 부근에 모이므로 피난계단, 출구까지 안전하게 피난할 수 있도록 계획적인 고려가 필요하다.",,회피본능,지광본능,추종본능,귀소본능,4
