Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방공무원,2021,04,소방학개론,1,'재난 및 안전관리 기본법'상 재난현장에서 시⋅군⋅구 긴급구조통제단장의 긴급구조 현장지휘 사항을 모두 고른 것은?\n\nㄱ. 재난현장에서 인명의 탐색⋅구조\nㄴ. 추가 재난의 방지를 위한 응급조치\nㄷ. 사상자의 응급처치 및 의료기관으로의 이송\nㄹ. 긴급구조에 필요한 물자의 관리,,"ㄱ, ㄴ","ㄱ, ㄴ, ㄷ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",4
소방공무원,2021,04,소방학개론,2,화재 시 발생하는 연기(smoke)에 대한 설명으로 옳지 않은 것은?,,연기의 수직 이동속도는 수평 이동속도보다 빠르다.,연기의 감광계수가 증가할수록 가시거리는 짧아진다.,중성대는 실내 화재 시 실내와 실외의 온도가 같은 면을 의미한다.,굴뚝효과는 건축물의 내부와 외부의 온도차에 의해 내부의 더운 공기가 상승하는 현상이다.,3
소방공무원,2021,04,소방학개론,3,소화설비에 대한 설명으로 옳은 것은?,,산⋅알칼리 소화기는 가스계 소화기로 분류된다.,"CO$_2$ 소화설비는 화재감지기, 선택밸브, 방출표시등, 압력스위치 등으로 구성된다.",슈퍼바이저리패널(supervisory panel)은 습식스프링클러설비의 구성요소이다.,순환배관은 옥내소화전설비의 펌프 체절운전 시 수온하강 방지를 위해 설치한다.,2
소방공무원,2021,04,소방학개론,4,"우리나라 소방 역사에 대한 설명으로 옳은 것만을 모두 고른 것은?\n\nㄱ. 고려시대에는 소방(消防)을 소재(消災)라 하였으며, 화통도감을 신설하였다.\nㄴ. 조선시대 세종 8년에 금화도감을 설치하였다.\nㄷ. 1915년에 우리나라 최초 소방본부인 경성소방서를 설치하였다.\nㄹ. 1945년에 중앙소방위원회 및 중앙소방청을 설치하였다.",,"ㄱ, ㄴ","ㄱ, ㄴ, ㄷ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",1
소방공무원,2021,04,소방학개론,5,백드래프트(back draft)에 대한 설명으로 옳은 것은?,,불완전 연소에 의해 발생된 일산화탄소가 가연물로 작용하여 폭발하는 현상이다.,화재 진압 시 지붕 등 상부를 개방하는 것보다 출입문을 먼저 개방하는 것이 효과적인 전술이다.,"밀폐된 실내에서 발생되는 현상으로, 출입문을 한 번에 완전히 개방하여 연기를 일순간에 배출해야 폭발력을 억제할 수 있다.",연료지배형화재가 진행되고 있는 공간에 산소가 일시적으로 다량 공급됨에 따라 가연성가스가 폭발적으로 연소하는 현상이다.,1
소방공무원,2021,04,소방학개론,6,위험물의 종류에 따른 소화 방법으로 옳지 않은 것은?,,제1류 위험물인 알칼리금속의 과산화물은 물을 사용한다.,제2류 위험물인 마그네슘은 건조사를 사용한다.,제3류 위험물인 알킬알루미늄은 건조사를 사용한다.,"제4류 위험물인 알코올은 내알코올포(泡, foam)를 사용한다.",1
소방공무원,2021,04,소방학개론,7,'화재조사 및 보고규정'상 특수화재에 해당하지 않는 것은?,,외국공관 및 그 사택의 화재,이재민 100명 이상 발생 화재,"특수사고, 방화 등 화재원인이 특이하다고 인정되는 화재","철도, 항구에 매어 둔 외항선, 항공기, 발전소 및 변전소의 화재",2
소방공무원,2021,04,소방학개론,8,'재난 및 안전관리 기본법'에 대한 내용이다. ( ) 안에 들어갈 용어로 옳은 것은?\n\n( 가 )은 대통령령으로 정하는 재난이 발생하거나 발생할 우려가 있는 경우 사람의 생명⋅신체 및 재산에 미치는 중대한 영향이나 피해를 줄이기 위하여 긴급한 조치가 필요하다고 인정하면 ( 나 )의 심의를 거쳐 ( 다 )을/를 선포할 수 있다.\n\n| |  (가) | (나) | (다) |\n| ① | 중앙재난안전대책본부장 | 안전정책조정위원회 | 재난사태 |\n| ② | 행정안전부장관 | 중앙안전관리위원회 | 재난사태 |\n| ③ | 중앙재난안전대책본부장 | 중앙안전관리위원회 | 특별재난지역 |\n| ④ | 행정안전부장관 | 안전정책조정위원회 | 특별재난지역 |,,①,②,③,④,2
소방공무원,2021,04,소방학개론,9,소방조직의 원리에 해당하지 않는 것은?,,조정의 원리,계층제의 원리,명령 분산의 원리,통솔 범위의 원리,3
소방공무원,2021,04,소방학개론,10,블레비(BLEVE : Boiling Liquid Expanding Vapor Explosion) 현상의 특징으로 옳지 않은 것은?,,액화가스 저장탱크에서 일어날 수 있다는 점에서는 증기운 폭발과 같다.,액화가스 저장탱크에서 물리적 폭발이 순간적으로 화학적 폭발로 이어지는 현상이다.,블레비의 규모는 파열 시 액체의 기화량에는 차이가 있으나 탱크의 용량에 따른 차이는 없다.,직접 열을 받은 부분이 액화가스 저장탱크의 인장 강도를 초과할 경우 기상부에 면하는 지점에서 파열하게 된다.,3
