Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방공무원,2023,03,소방관계법규(경채),1,'소방기본법'상 벌칙 중 벌금의 상한이 나머지 셋과 다른 것은?,,정당한 사유 없이 소방대의 생활안전활동을 방해한 자,화재진압 및 구조⋅구급 활동을 위하여 출동하는 소방자동차의 출동을 방해한 사람,정당한 사유 없이 화재진압 등 소방활동을 위하여 필요할 때 물의 사용이나 수도의 개폐장치의 사용 또는 조작을 하지 못하게 하거나 방해한 자,정당한 사유 없이 소방대가 현장에 도착할 때까지 사람을 구출하는 조치 또는 불을 끄거나 불이 번지지 아니하도록 하는 조치를 하지 아니한 관계인,2
소방공무원,2023,03,소방관계법규(경채),2,'소방기본법 시행규칙'상 소방용수시설 및 지리조사에 관한 내용으로 옳지 않은 것은?,,소방본부장 또는 소방서장은 원활한 소방활동을 위하여 소방용수시설 및 지리조사를 월 1회 이상 실시하여야 한다.,"지리조사는 소방대상물에 인접한 도로의 폭⋅교통상황, 도로주변의 토지의 고저⋅건축물의 개황을 제외한 소방활동에 필요한 사항이다.",조사결과는 전자적 처리가 불가능한 특별한 사유가 없으면 전자적 처리가 가능한 방법으로 작성⋅관리하여야 한다.,"소방용수시설 및 지리조사는 소방용수조사부 및 지리조사부 서식에 의하되, 그 조사결과를 2년간 보관하여야 한다.",2
소방공무원,2023,03,소방관계법규(경채),3,'소방기본법 시행규칙'상 국고보조의 대상이 되는 소방활동장비의 종류와 규격으로 옳지 않은 것은?,,구조정: 90마력 이상,배연차(중형): 170마력 이상,구급차(특수): 90마력 이상,소방헬리콥터: 5~17인승,1
소방공무원,2023,03,소방관계법규(경채),4,"'소방기본법 시행령'상 소방자동차 전용구역의 설치 방법에 관한 내용이다. ( ) 안에 들어갈 내용으로 옳은 것은?\n\n- 전용구역 노면표지의 외곽선은 빗금무늬로 표시하되, 빗금은 두께를 ( ㄱ )센티미터로 하여 ( ㄴ )센티미터 간격으로 표시한다.\n- 전용구역 노면표지 도로의 색채는 ( ㄷ )을 기본으로 하되, 문자(P, 소방차 전용)는 백색으로 표시한다.\n\n| | ㄱ | ㄴ | ㄷ |\n| ① | 20 | 40 | 황색 |\n| ② | 20 | 40 | 적색 |\n| ③ | 30 | 50 | 황색 |\n| ④ | 30 | 50 | 적색 |",,①,②,③,④,3
소방공무원,2023,03,소방관계법규(경채),5,"'소방기본법 시행규칙'상 지하에 설치하는 소화전 또는 저수조의 경우 소방용수표지는 다음 기준에 따라 설치하여야 한다. ( ) 안에 들어갈 내용으로 옳은 것은?\n\n- 펜홀 두껍은 지름 ( ㄱ )밀리미터 이상의 것으로 할 것. 다만, 송하강식 소화전의 경우에는 이를 적용하지 않는다.\n- 펜홀 또와 부근에는 ( ㄴ )반사도료로 폭 ( ㄷ )센티미터의 선을 그 둘레를 따라 칠할 것\n\n| | ㄱ | ㄴ | ㄷ |\n| ① | 648 | 노란색 | 15 |\n| ② | 678 | 붉은색 | 15 |\n| ③ | 648 | 붉은색 | 25 |\n| ④ | 678 | 노란색 | 25 |",,①,②,③,④,1
소방공무원,2023,03,소방관계법규(경채),6,'소방기본법 시행령'상 소방자동차 전용구역 방해행위의 기준에 관한 내용으로 옳지 않은 것은?,,"전용구역의 앞면, 뒷면 또는 양 측면에 물건 등을 쌓거나 주차하는 행위",'주차장법' 제19조에 따른 부설주차장의 주차구획 내에 주차하는 행위,전용구역 진입로에 물건 등을 쌓거나 주차하여 전용구역으로의 진입을 가로막는 행위,전용구역 노면표지를 지우거나 훼손하는 행위,2
소방공무원,2023,03,소방관계법규(경채),7,'소방의 화재조사에 관한 법률' 및 같은 법 시행규칙상 화재조사전담부서에서 갖추어야 할 장비와 시설 중 감식기기(16종)에 해당하지 않는 것은?,,금속현미경,절연저항계,내시경현미경,휴대용디지털현미경,1
소방공무원,2023,03,소방관계법규(경채),8,'소방의 화재조사에 관한 법률'상 화재의 정의에 관한 설명으로 옳지 않은 것은?,,사람의 의도에 반하여 발생하거나 확대된 물리적 폭발현상,고의에 의하여 발생한 연소 현상으로서 소화할 필요가 있는 현상,과실에 의하여 발생한 연소 현상으로서 소화할 필요가 있는 현상,사람의 의도에 반하여 발생한 연소 현상으로서 소화할 필요가 있는 현상,1
소방공무원,2023,03,소방관계법규(경채),9,'소방의 화재조사에 관한 법률'상 벌칙에 관한 내용이다. ( ) 안에 들어갈 내용으로 옳은 것은?\n\n소방관서장은 화재조사를 위하여 필요한 경우에 관계인에게 보고 또는 자료 제출을 명하거나 화재조사관으로 하여금 해당 장소에 출입하여 화재조사를 하거나 관계인에게 질문하게 할 수 있다. 이에 따른 명령을 위반하거나 보고 또는 자료 제출을 하지 아니하거나 거짓으로 보고 또는 자료를 제출한 사람은 ( ㄱ )만원 이하의 ( ㄴ )를/를 부과한다.\n\n| | ㄱ | ㄴ |\n| ① | 200 | 벌금 |\n| ② | 200 | 과태료 |\n| ③ | 300 | 벌금 |\n| ④ | 300 | 과태료 |,,①,②,③,④,2
소방공무원,2023,03,소방관계법규(경채),10,'소방의 화재조사에 관한 법률'에 관한 내용으로 옳지 않은 것은?,,소방공무원과 경찰공무원은 화재조사에 필요한 증거물의 수집 및 보존에 관한 사항에 대하여 서로 협력하여야 한다.,소방관서장은 화재조사 결과의 공표 시 수사가 진행 중이거나 수사의 필요성이 인정되는 경우에는 관계 수사기관의 장과 공표 여부에 관하여 사전에 협의하여야 한다.,화재조사를 하는 화재조사관은 관계인의 정당한 업무를 방해하거나 화재조사를 수행하면서 알게 된 비밀을 다른 용도로 사용하거나 다른 사람들에게 누설하여서는 아니 된다.,"소방청장, 소방본부장 또는 소방서장이 화재원인, 피해상황, 대응활동 등을 파악하기 위하여 자료의 수집, 감정 및 실험을 하는 행위는 화재조사에 포함되지 않는다.",4
