Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방공무원,2022,04,소방관계법규,1,'소방기본법 시행령'상 화재경계지구의 관리에 대한 설명이다. ( ) 안에 들어갈 내용으로 옳은 것은?\n\n- 소방본부장 또는 소방서장은 화재경계지구 안의 소방대상물의 위치⋅구조 및 설비 등에 대한 소방특별조사를 연 ( ㄱ )회 이상 실시하여야 한다.\n- 소방본부장 또는 소방서장은 화재경계지구 안의 관계인에 대하여 소방상 필요한 훈련 또는 교육을 연 ( ㄴ )회 이상 실시할 수 있다.\n- 소방본부장 또는 소방서장은 소방상 필요한 훈련 및 교육을 실시하고자 하는 때에는 화재경계지구 안의 관계인에게 훈련 또는 교육 ( ㄷ )일 전까지 그 사실을 통보하여야 한다.\n\n| | ㄱ | ㄴ | ㄷ |\n| ① | 1 | 1 | 5 |\n| ② | 1 | 1 | 10 |\n| ③ | 2 | 2 | 5 |\n| ④ | 2 | 2 | 10 |,,①,②,③,④,2
소방공무원,2022,04,소방관계법규,2,'소방기본법 시행령'상 소방기술민원센터의 설치⋅운영기준으로 옳지 않은 것은?,,소방청장 및 본부장은 각 소방서에 소방기술민원센터를 설치⋅운영한다.,소방기술민원센터는 소방기술민원과 관련된 현장 확인 및 처리업무를 수행한다.,소방기술민원센터는 소방기술민원과 관련된 질의회신집 및 해설서 발간의 업무를 수행한다.,"소방기술민원센터는 소방시설, 소방공사와 위험물 안전관리 등과 관련된 법령해석 등의 민원을 처리한다.",1
소방공무원,2022,04,소방관계법규,3,'소방기본법' 및 같은 법 시행령상 소방자동차 전용구역 등에 대한 내용으로 옳지 않은 것은?,,"소방자동차 전용구역의 설치 기준⋅방법, 방해행위의 기준, 그 밖에 필요한 사항은 대통령령으로 정한다.",전용구역에 주차하거나 전용구역에의 진입을 가로막는 등의 방해행위를 한 자에게는 200만원 이하의 과태료를 부과한다.,'건축법 시행령' 별표 1 제2호가목의 아파트 중 세대수가 100세대 이상인 아파트의 건축주는 소방활동의 원활한 수행을 위하여 공동주택에 소방자동차 전용구역을 설치하여야 한다.,"'건축법 시행령' 별표 1 제2호라목의 기숙사 중 3층인 기숙사가 하나의 대지에 하나의 동(棟)으로 구성되고, '도로교통법' 제32조 또는 제33조에 따라 정차 또는 주차가 금지된 편도 2차선 이상의 도로에 직접 접하여 소방자동차가 도로에서 직접 소방활동이 가능한 경우 소방자동차 전용구역 설치대상에서 제외한다.",2
소방공무원,2022,04,소방관계법규,4,'소방기본법 시행규칙'상 소방용수시설 및 비상소화장치의 설치기준으로 옳지 않은 것은?,,비상소화장치의 설치기준에 관한 세부 사항은 소방청장이 정한다.,소방청장은 설치된 소방용수시설에 대하여 소방용수 표지를 보기 쉬운 곳에 설치하여야 한다.,소방호스 및 관창은 소방청장이 정하여 고시하는 형식 승인 및 제품검사의 기술기준에 적합한 것으로 설치한다.,비상소화장치함은 소방청장이 정하여 고시하는 성능 인증 및 제품검사의 기술기준에 적합한 것으로 설치한다.,2
소방공무원,2022,04,소방관계법규,5,'소방기본법 시행령' 별표 3의 과태료 부과 개별기준에 대한 내용 중 위반행위의 횟수에 따라 가중된 과태료 부과 처분의 금액으로 옳은 것은?\n\n| | | 과태료 금액(만원) | | |\n| 위반행위 | 1회 | 2회 | 3회 | 4회 이상 |\n| 특수가연물의 저장 및 취급의 기준을 위반한 경우 | ㄱ | ㄴ | ㄷ | ㄹ |\n\n| | ㄱ | ㄴ | ㄷ | ㄹ |\n| ① | 50 | 100 | 150 | 200 |\n| ② | 20 | 50 | 100 | 100 |\n| ③ | 50 | 100 | 100 | 200 |\n| ④ | 20 | 50 | 100 | 150 |,,①,②,③,④,2
소방공무원,2022,04,소방관계법규,6,"'화재예방, 소방시설 설치⋅유지 및 안전관리에 관한 법률 시행령'상 소방시설 중 소화활동설비로 옳지 않은 것은?",,"제연설비, 연결송수관설비","비상콘센트설비, 연결살수설비","무선통신보조설비, 연소방지설비","연결송수관설비, 비상조명등설비",4
소방공무원,2022,04,소방관계법규,7,"'화재예방, 소방시설 설치⋅유지 및 안전관리에 관한 법률 시행령'상 성능위주설계를 해야 하는 특정소방대상물의 범위로 옳지 않은 것은?",,연면적 3만제곱미터 이상인 공항시설에 해당하는 특정소방대상물,하나의 건축물에 '영화 및 비디오물의 진흥에 관한 법률' 제2조제10호에 따른 영화상영관이 10개 이상인 특정소방대상물,50층 이상(지하층은 제외한다)이거나 지상으로부터 높이가 200미터 이상인 아파트등,30층 이상(지하층을 포함한다)이거나 지상으로부터 높이가 100미터 이상인 특정소방대상물(아파트 등은 제외한다),4
소방공무원,2022,04,소방관계법규,8,"'화재예방, 소방시설 설치⋅유지 및 안전관리에 관한 법률 시행령'상 방염성능기준으로 옳지 않은 것은?",,불꽃에 의하여 완전히 녹을 때까지 불꽃의 접촉 횟수는 3회 이상일 것,"탄화(炭化)한 면적은 50제곱센티미터 이내, 탄화한 길이는 20센티미터 이내일 것",소방청장이 정하여 고시한 방법으로 발연량(發煙量)을 측정하는 경우 최대연기밀도는 500 이하일 것,"버너의 불꽃을 제거한 때부터 불꽃을 올리며 연소하는 상태가 그칠 때까지 시간은 20초 이내이며, 버너의 불꽃을 제거한 때부터 불꽃을 올리지 아니하고 연소하는 상태가 그칠 때까지 시간은 30초 이내일 것",3
소방공무원,2022,04,소방관계법규,9,"'화재예방, 소방시설 설치⋅유지 및 안전관리에 관한 법률' 및 같은 법 시행령, 시행규칙상 소방특별조사의 방법⋅절차 등에 대한 설명으로 옳지 않은 것은?",,소방서장 등은 소방특별조사를 마친 때에는 그 조사 결과를 관계인에게 서면 또는 구두로 통지할 수 있다.,"소방서장 등은 소방특별조사를 하려면 7일 전에 관계인에게 조사대상, 조사기간 및 조사사유 등을 서면으로 알려야 한다.",소방특별조사의 연기를 승인한 경우라도 연기기간이 끝나기 전에 연기사유가 없어졌거나 긴급히 조사를 하여야 할 사유가 발생하였을 때에는 관계인에게 통보하고 소방특별조사를 할 수 있다.,소방특별조사의 연기를 신청하려는 자는 소방특별조사 시작 3일 전까지 연기신청서에 소방특별조사를 받기가 곤란함을 증명할 수 있는 서류를 첨부하여 소방서장 등에게 제출하여야 한다.,1
소방공무원,2022,04,소방관계법규,10,"'화재예방, 소방시설 설치⋅유지 및 안전관리에 관한 법률 시행령'상 특정소방대상물의 관계인이 특정소방대상물의 규모⋅용도 및 수용인원 등을 고려하여 갖추어야 하는 소방시설의 기준에 대한 내용으로 옳은 것은?",,지하가 중 터널로서 길이가 500 m인 터널에는 옥내소화전설비를 설치하여야 한다.,아파트등 및 30층 이상 오피스텔의 모든 층에는 주거용 주방자동소화장치를 설치하여야 한다.,물류터미널을 제외한 창고시설로 바닥면적 합계가 3천 m$^2$인 경우에는 모든 층에 스프링클러설비를 설치하여야 한다.,근린생활시설 중 조산원 및 산후조리원으로서 연면적 500 m$^2$ 이상인 시설은 간이스프링클러설비를 설치하여야 한다.,2
