"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"위험물산업기사","2007","2","일반화학","1","C$_3$H$_3$O$_2$인 실험식을 가지는 물질의 분자량이 142일 때 분자식에 해당하는 것은?","","C$_6$H$_6$O$_4$","C$_9$H$_9$O$_6$","C$_{12}$H$_{12}$O$_8$","C$_{15}$H$_{15}$O$_{10}$","1"
"위험물산업기사","2007","2","일반화학","2","고체 유기물질을 정제하는 과정에서 이 물질이 순수한 상태인지를 알아보기 위한 조사 방법으로 다음 중 가장 적합한 방법은 무엇인가?","","육안 관찰","녹는점 측정","광학현미경 분석","전도도 측정","2"
"위험물산업기사","2007","2","일반화학","3","어떤 원자의 K, L, M 전자껍질에 전자가 완전히 채워진다면 이 원자가 가지는 전자의 총 수는 몇 개 인가?","","10","18","28","32","3"
"위험물산업기사","2007","2","일반화학","4","0.05[몰/L]의 H$_2$SO$_4$ 수용액의 pH는 얼마인가?","","1","2","3","4","1"
"위험물산업기사","2007","2","일반화학","5","상온에서 1L의 순수한 물이 전리 되었을 때 [H$^+$]과 [OH$^-$]는 각각 얼마나 존재하는가? (단, [H$^+$]과 [OH$^-$] 순이다.)","","1.008×10$^{-7}$g, 17.008×10$^{-7}$g","1000 ×1/18g, 1000 × 17/18g","18.016×10$^{-7}$g, 18.016×10$^{-7}$g","1.008×10$^{-14}$g, 17.008×10$^{-14}$g","1"
"위험물산업기사","2007","2","일반화학","6","일반적으로 환원제가 될 수 있는 물질이 아닌 것은?","","수소를 내기 쉬운 물질","전자를 잃기 쉬운 물질","산소와 화합하기 쉬운 물질","발생기의 산소를 내는 물질","4"
"위험물산업기사","2007","2","일반화학","7","벤젠에 수소 원자 한개는 -CH$_3$기로, 또 다른 수소원자 한개는 -OH기로 치환되었다면 이성질체 수는 몇 개 인가?","","1","2","3","4","3"
"위험물산업기사","2007","2","일반화학","8","다음 중 바닥상태의 칼슘의 제일 끝 전자가 수용될 수 있는 오비탈 (에너지 준위가 가장 높은 오비탈)은?","","3S","3P","3D","4S","4"
"위험물산업기사","2007","2","일반화학","9","다음 금속의 쌍으로 전기 화학 전지를 만들 때 외부 전류가 화살표 방향으로 흐르게 되는 것은?","","ZN --> AG","FE --> AG","CU --> FE","ZN --> CU","3"
"위험물산업기사","2007","2","일반화학","10","Na$_2$CO$_3$×10H$_2$O 을 전조한 공기 중에 놓아두면 일부분의 결정수를 잃어 Na$_2$CO$_3$×H$_2$O의 조성으로 된다. 이와 같은 현상을 무엇이라 하는가?","","산화","풍해","용융","삼투","2"
"위험물산업기사","2007","2","일반화학","11","탄소, 수소, 산소로 되어있는 유기화합물 15g이 있다. 이것을 완전 연소시켜 CO$_2$ 22g, H$_2$O 9g를 얻었다. 처음 물질 중 산소는 몇 g 있었는가?","","4g","6g","8g","10g","3"
"위험물산업기사","2007","2","일반화학","12","CO$_2$ 44g 을 만들려면 C$_3$H$_8$분자가 약 몇 개 완전 연소해야 하는가?","","2.01×10$^{23}$","2.01×10$^{22}$","6.02×10$^{23}$","6.02×10$^{22}$","1"
"위험물산업기사","2007","2","일반화학","13","요소 6g 을 물에 녹여 1000L 로 만든 용액의 27°C 에서의 삼투압은 약 몇 atm인가?","","1.26×10$^{-1}$","1.26×10$^{-2}$","2.46×10$^{-3}$","2.56×10$^{-4}$","3"
"위험물산업기사","2007","2","일반화학","14","어떤 기체의 확산 속도는 SO$_2$의 2배 이다. 이 기체의 분자량은 얼마인가?","","8","16","32","64","2"
"위험물산업기사","2007","2","일반화학","15","A물질을 물에 용해시켰더니 온도가 내려갔다. 이사실로서 A물질의 용해과정에서 알 수 있는 것은?","","발열과정 이므로 온도를 높이면 용해도가 증가한다.","발열과정 이므로 온도를 높이면 용해도가 감소한다.","흡열과정 이므로 온도를 높이면 용해도가 증가한다.","흡열과정 이므로 온도를 높이면 용해도가 감소한다.","3"
"위험물산업기사","2007","2","일반화학","16","95Wt%황산의 비중은 1.84이다. 이 황산의 몰 농도는 약 얼마인가?","","4.5","8.9","17.8","35.6","3"
"위험물산업기사","2007","2","일반화학","17","유기화합물을 질량 분석한 결과 C 84%, H 16% 의 결과를 얻었다. 다음 중 이 물질에 해당하는 실험식은?","","C$_5$H","C$_2$H$_2$","C$_7$H$_8$","C$_7$H$_{16}$","4"
"위험물산업기사","2007","2","일반화학","18","아레니우스의 이론에 의한 산.염기 정의에 따르면 다음 반응에서 산에 해당하는 물질은?\n\n$CO_3^{-2} + H_2O \rightarrow HCO_3^- + OH^-$","O","H$_2$O와 HCO$_3^-$","H$_2$O와 CO$_3^{-2}$","CO$_3^{-2}$와 HCO$_3^-$","CO$_3^{-2}$와 OH$^-$","1"
"위험물산업기사","2007","2","일반화학","19","다음 중 에탄올과 구조이성질체의 관계에 있는 것은?","","CH$_3$OCH$_3$","CH$_3$COOH","CH$_3$CHO","CH$_3$OH","1"
"위험물산업기사","2007","2","일반화학","20","질산칼륨의 물에 대한 용해도는 40°C 와 10°C에서 각각 60과 20이다. 40°C 에서 포화용액 800g을 만들어 10°C까지 냉각하면 몇 g의 질산칼륨이 석출하겠는가?","","100","200","300","400","2"
"위험물산업기사","2007","2","화재예방과 소화방법","21","화학포 소화약제의 반응식에서 황산알루미늄과 탄산수소나트륨의 이론상 몰비는 얼마인가? (단, 몰비는 황산 알루미늄 : 탄산수소나트륨이다.)","","1:2","1:6","2:1","6:1","2"
"위험물산업기사","2007","2","화재예방과 소화방법","22","화재를 잘 일으킬 수 있는 경우에 대한 설명 중 틀린 것은?","","산소와 친화력이 클수록 연소가 잘 된다.","온도가 상승하면 보통 연소가 잘 된다.","열전도율이 좋을수록 연소가 잘된다.","공기와의 접촉을 잘 시킬수록 연소가 잘 일어난다.","3"
"위험물산업기사","2007","2","화재예방과 소화방법","23","화재예방상 이황화탄소의 액면위에 물을 채워두는 이유로 가장 옳은 것은?","","공기와 접촉하면 발화하기 때문에","산소와 접촉하면 산화하기 때문에","불순물을 물에 용해시키기 위해","가연성 증기의 발생을 방지하기 위해","4"
"위험물산업기사","2007","2","화재예방과 소화방법","24","다음 중 전기의 불량도체로 정전기가 발생되기 쉽고 폭발범위가 가장 넓은 위험물은?","","아세톤","톨루엔","에틸알콜","에틸에테르","4"
"위험물산업기사","2007","2","화재예방과 소화방법","25","정전기를 유효하게 제거하는 방법에서 공기중의 상대 습도는 몇 % 이상 되게 하여야 하는가?","","50%","60%","70%","80%","3"
"위험물산업기사","2007","2","화재예방과 소화방법","26","인화점이 38°C미만인 제 4류 위험물 취급을 주된 작업내용으로 하는 장소에 스프링클러설비를 설치할 경우 확보하여야 하는 1분당 방사밀도는 몇 L/M$^3$ 이상 이어야 하는가? (단, 살수기준면적은 250M$^2$ 이다)","","12.2","13.9","15.5","16.3","4"
"위험물산업기사","2007","2","화재예방과 소화방법","27","이산화탄소의 특성에 관한 내용으로 틀린 것은?","","전기의 전도성이 있다.","냉각 및 압축에 의하여 액화될 수 있다.","공기보다 약 1.52배 무겁다.","일반적으로 무색, 무취의 기체이다.","1"
