"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"위험물기능장","2009","45","임의구분","1","다음 중 품명이 나머지 셋과 다른 것은?","","트리니트로페놀","니트로글리콜","질산에틸","니트로글리세린","1"
"위험물기능장","2009","45","임의구분","2","다음 중 제4류 위험물에 속하는 물질을 보호액으로 사용하는 것은?","","벤젠","황","칼륨","질산에틸","3"
"위험물기능장","2009","45","임의구분","3","주성분이 철, 크롬, 니켈로 구성되어 있는 강관으로서 내식성이 요구되는 화학공장 등에서 사용되는 것은?","","주철관","탄소강 강관","알루미늄관","스테인리스 강관","4"
"위험물기능장","2009","45","임의구분","4","가열 용융시킨 유황과 황린을 서서히 반응시킨 후 증류 냉각하여 얻은 제2류 위험물로서 발화점이 약 100℃, 융점이 약 173℃, 비중이 약 2.03 인 물질은?","","P$_2$S$_5$","P$_4$S$_3$","P$_4$S$_7$","P","2"
"위험물기능장","2009","45","임의구분","5","전역방출방식 분말소화설비의 기준에서 제1종 분말소화 약제의 저장용기 충전비의 범위를 옳게 나타낸 것은?","","0.85 이상 1.05 이하","0.85 이상 1.45 이하","1.05 이상 1.45 이하","1.05 이상 1.75 이하","2"
"위험물기능장","2009","45","임의구분","6","물과 접촉하면 수산화나트륨과 산소를 발생시키는 물질은?","","질산나트륨","염소산나트륨","과산화나트륨","과염소산나트륨","3"
"위험물기능장","2009","45","임의구분","7","273℃에서 기체의 부피가 2L 이다. 같은 압력에서 0℃ 일 때의 부피는 약 몇 L 인가?","","1","2","4","8","1"
"위험물기능장","2009","45","임의구분","8","제1류 위험물로서 무색의 투명한 결정이고 비중은 약 4.35, 녹는점은 약 212℃ 이며 사진감광제 등에 사용 되는 것은?","","AgNO$_3$","NH$_4$NO$_3$","KNO$_3$","Cd(NO$_3$)$_2$","1"
"위험물기능장","2009","45","임의구분","9","옥외저장소에 선반을 설치하는 경우에 선반의 높이는 몇m 를 초과하지 않아야 하는가?","","3","4","5","6","4"
"위험물기능장","2009","45","임의구분","10","인화성 위험물질 600리터를 하나의 간이탱크저장소에 저장하려고 할 때 필요한 최소 탱크 수는?","","4개","3개","2개","1개","4"
"위험물기능장","2009","45","임의구분","11","아세톤 옥외저장탱크 중 압력탱크 외의 탱크에 설치하는 대기부착밸브 통기관은 몇 kPa 이하의 압력차이로 작동할 수 있어야 하는가?","","5","7","9","10","1"
"위험물기능장","2009","45","임의구분","12","위험물에 대한 적응성 있는 소화설비의 연결이 틀린 것은?","","질산나트륨 - 포소화설비","칼륨 - 인산염류 분말소화설비","경유 - 인산염류 분말소화설비","아세트알데히드 - 포소화설비","2"
"위험물기능장","2009","45","임의구분","13","위험물의 성질과 위험성에 대한 설명으로 틀린 것은?","","부틸리튬은 알킬리튬의 종류에 해당된다.","황린은 물과 반응하지 않는다.","탄화알루미늄은 물과 반응하면 가연성의 메탄가스를 발생하므로 위험하다.","인화칼슘은 물과 반응하면 유독성의 포스겐가스를 발생하므로 위험하다.","4"
"위험물기능장","2009","45","임의구분","14","탄화칼슘이 물과 반응하였을 때 발생되는 가스는?","","포스겐","메탄","아세틸렌","포스핀","3"
"위험물기능장","2009","45","임의구분","15","요오드포름 반응을 이용하여 검출할 수 있는 위험물이 아닌 것은?","","아세트알데히드","에탄올","아세톤","벤젠","4"
"위험물기능장","2009","45","임의구분","16","다음에서 설명하고 있는 법칙은?\n\n압력이 일정할 때 일정량의 기체의 부피는 절대온도에 비례한다.","","일정성분비의 법칙","보일의 법칙","샤를의 법칙","보일-샤를의 법칙","3"
"위험물기능장","2009","45","임의구분","17","C$_6$H$_5$CH$_3$ 에 대한 설명으로 틀린 것은?","","끓는점은 약 211℃ 이다.","녹는점은 약 -95℃ 이다.","인화점은 약 4℃ 이다.","비중은 약 0.87 이다.","1"
"위험물기능장","2009","45","임의구분","18","PVC 제품 등의 연소시 발생하는 부식성이 강한 가스로 다음 중 노출기준(ppm)이 가장 낮은 것은?","","암모니아","일산화탄소","염화수소","황화수소","3"
"위험물기능장","2009","45","임의구분","19","적린과 유황의 공통적인 성질이 아닌 것은?","","가연성 물질이다.","고체이다.","물에 잘 녹는다.","비중은 1보다 크다.","3"
"위험물기능장","2009","45","임의구분","20","제2류 위험물과 제4류 위험물의 공통적 성질로 옳은 것은?","","물에 의한 소화가 최적이다.","산소원소를 포함하고 있다.","물보다 가볍다.","가연성물질이다.","4"
"위험물기능장","2009","45","임의구분","21","산ㆍ알칼리 소화기의 화학 반응식으로 옳은 것은?","","2NaHCO$_3$ + H$_2$SO$_4$ → Na$_2$SO$_4$ + 2CO$_2$ + 2H$_2$O","6NaHCO$_3$ + Al$_2$(SO$_4$)$_3$ + 18H$_2$O → 3Na$_2$SO$_4$ + 2Al(OH)$_3$ + 6CO$_2$ + 18H$_2$O","2NaHCO$_3$ → Na$_2$CO$_3$ + CO$_2$ + H$_2$O","2KHCO$_3$ → K$_2$CO$_3$ + CO$_2$ + H$_2$O","1"
"위험물기능장","2009","45","임의구분","22","다음 중 나머지 셋과 위험물의 유별 구분이 다른 것은?","","니트로글리세린","니트로셀룰로오스","셀룰로이드","니트로벤젠","4"
"위험물기능장","2009","45","임의구분","23","다음 중 소화난이도 등급Ⅰ의 옥외탱크저장소로서 인화점이 70℃ 이상의 제4류 위험물만을 저장하는 탱크에 설치하여야 하는 소화설비는? (단, 지중탱크 및 해상탱크는 제외한다.)","","물분무소화설비 또는 고정식 포소화설비","옥외소화전설비","스프링클러설비","이동식포소화설비","1"
"위험물기능장","2009","45","임의구분","24","다음 중 제3석유류가 아닌 것은?","","글리세린","니트로톨루엔","아닐린","벤즈알데히드","4"
"위험물기능장","2009","45","임의구분","25","동식물유류에 대한 설명 중 틀린 것은?","","요오드값이 100 이하인 것을 건성유라 한다.","아마인유는 건성유이다.","요오드값은 기름 100g 이 흡수하는 요오드의 g수를 나타낸다.","요오드값이 크면 이중결합을 많이 포함한 불포화 지방산을 많이 가진다.","1"
"위험물기능장","2009","45","임의구분","26","다음 중 옥외저장소에 저장할 수 없는 위험물은? (단, IMDG Code에 적합한 용기에 수납한 경우를 제외한다.)","","제2류 위험물 중 유황","제3류 위험물 중 금수성물질","제4류 위험물 중 제2석유류","제6류 위험물","2"
"위험물기능장","2009","45","임의구분","27","다음 중 발화온도가 가장 낮은 것은?","","아세톤","벤젠","메틸알코올","경유","4"
"위험물기능장","2009","45","임의구분","28","다음 중 산화하면 포름알데히드가 되고 다시 한 번 산화하면 포름산이 되는 것은?","","에틸알코올","메틸알코올","아세트알데히드","아세트산","2"
"위험물기능장","2009","45","임의구분","29","1기압에서 인화점이 200℃ 인 것은 제 몇 석유류인가? (단, 도료류 그 밖의 가연성 액체량이 40중량퍼센트 이하인 물품은 제외한다.)","","제1석유류","제2석유류","제3석유류","제4석유류","4"
"위험물기능장","2009","45","임의구분","30","질산암모늄에 대한 설명 중 틀린 것은?","","강력한 산화제이다.","물에 녹을 때는 발열반응을 나타낸다.","조해성이 있다.","혼합화약의 재료로 쓰인다.","2"
"위험물기능장","2009","45","임의구분","31","포소화설비의 기준에서 고가수조를 이용하는 가압송수장치를 설치할 때 고가수조에 반드시 설치하지 않아도 되는 것은?","","배수관","압력계","맨홀","수위계","2"
"위험물기능장","2009","45","임의구분","32","2몰의 메탄을 완전히 연소시키는데 필요한 산소의 몰수는?","","1몰","2몰","3몰","4몰","4"
"위험물기능장","2009","45","임의구분","33","자기반응성물질의 위험성에 대한 설명으로 틀린 것은?","","트리니트로톨루엔은 테트릴에 비해 충격, 마찰에 둔감하다.","트리니트로톨루엔은 물을 넣어 운반하면 안전하다.","니트로글리세린을 점화하면 연소하여 다량의 가스를 발생한다.","니트로글리세린은 영하에서도 액체상이어서 폭발의 위험이 높다.","4"
"위험물기능장","2009","45","임의구분","34","다음 중 할로겐화합물소화기가 적응성이 있는 것은?","","나트륨","철분","아세톤","질산에틸","3"
"위험물기능장","2009","45","임의구분","35","메틸트리클로로실란에 대한 설명으로 틀린 것은?","","제1석유류이다.","물보다 무겁다.","지정수량은 200L이다.","증기는 공기보다 가볍다.","4"
"위험물기능장","2009","45","임의구분","36","그림과 같은 위험물 탱크의 내용적은 약 몇 m$^3$ 인가?","O","258.3","282.6","312.1","375.3","2"
"위험물기능장","2009","45","임의구분","37","니트로벤젠과 수소를 반응시키면 얻어지는 물질은?","","페놀","톨루엔","아닐린","크실렌","3"
"위험물기능장","2009","45","임의구분","38","유체의 점섬계수에 대한 설명 중 틀린 것은?","","동점성계수는 점성계수를 밀도로 나눈 값이다.","전단응력이 속도구배에 비례하는 유체를 뉴턴 유체라 한다.","동점성계수의 단위는 cm$^2$/s이며 이를 Stokes라고 한다.","Pseudo 소성유체, Dilatant 유체는 뉴턴 유체이다.","4"
"위험물기능장","2009","45","임의구분","39","위험물 운반용기의 외부에 표시하는 주의사항으로 틀린 것은?","","마그네슘 - 화기주의 및 물기엄금","황린 - 화기주의 및 공기접촉엄금","탄화칼슘 - 물기엄금","과염소산 - 가연물접촉주의","2"
"위험물기능장","2009","45","임의구분","40","질산에 대한 설명 중 틀린 것은?","","녹는점은 약 -43℃ 이다.","분자량은 약 63 이다.","지정수량은 300kg 이다.","비점은 약 178℃ 이다.","4"
"위험물기능장","2009","45","임의구분","41","알루미늄 제조공장에서 용접작업 시 알루미늄분과 착화가 되어 소화를 목적으로 뜨거운 물을 뿌렸더니 수초 후 폭발 사고로 이어졌다. 이 폭발의 주원인에 가장 가까운 것은?","","알루미늄분과 물의 화학반응으로 수소가스를 발생하여 폭발하였다.","알루미늄분이 날려 분진폭발이 발생하였다.","알루미늄분과 물의 화학반응으로 메탄가스를 발생하여 폭발하였다.","알루미늄분과 물의 급격한 화학반응으로 열이 흡수되어 알루미늄분 자체가 폭발하였다.","1"
"위험물기능장","2009","45","임의구분","42","다음 중 산화성고체 위험물이 아닌 것은?","","NaClO$_3$","AgNO$_3$","KBrO$_3$","HClO$_4$","4"
"위험물기능장","2009","45","임의구분","43","동일한 사업소에서 제조소의 취급량의 합이 지정수량의 몇 배 이상일 때 자체소방대를 설치해야 하는가? (단, 제4류 위험물을 취급하는 경우이다.)","","3000","4000","5000","6000","1"
"위험물기능장","2009","45","임의구분","44","지정수량의 몇 배 이상의 위험물을 저장 또는 취급하는 제조소등에는 화재발생시 이를 알릴 수 있는 경보설비를 설치하여야 하는가? (단, 이동탱크저장소는 제외한다.)","","5배","10배","50배","100배","2"
"위험물기능장","2009","45","임의구분","45","다음 [보기]에서 설명하는 위험물은?\n\n- 백색이다.\n- 조해성이 크고, 물에 녹기 쉽다.\n- 분자량은 약 223 이다.\n- 지정수량은 50kg 이다.","","염소산칼륨","과염소산마그네슘","과산화나트륨","과산화수소","2"
"위험물기능장","2009","45","임의구분","46","과산화수소의 성질에 대한 설명 중 틀린 것은?","","알코올, 에테르에는 녹지만 벤젠, 석유에는 녹지 않는다.","농도가 66% 이상인 것은 충격 등에 의해서 폭발할 가능성이 있다.","분해 시 발생한 분자상의 산소(O$_2$)는 발생기 산소(O) 보다 산화력이 강하다.","히드라진과 접촉 시 분해폭발한다.","3"
"위험물기능장","2009","45","임의구분","47","소방수조에 물을 채워 직경 4cm 의 파이프를 통해 8m/s의 유속으로 흘려 직경 1cm 의 노즐을 통해 소화 할 때 노즐 끝에서의 유속은 몇 m/s 인가?","","16","32","64","128","4"
"위험물기능장","2009","45","임의구분","48","다음 위험물의 화재시 소화방법으로 잘못된 것은?","","마그네슘 : 마른 모래를 사용한다.","인화칼슘 : 다량의 물을 사용한다.","니트로글리세린 : 다량의 물을 사용한다.","알코올 : 내알코올포 소화약제를 사용한다.","2"
"위험물기능장","2009","45","임의구분","49","지정과산화물을 옥내에 저장하는 저장창고 외벽의 기준으로 옳은 것은?","","두께 20cm 이상의 무근콘크리트조","두께 30cm 이상의 무근콘크리트조","두께 20cm 이상의 보강콘크리트블록조","두께 30cm 이상의 보강콘크리트블록조","4"
"위험물기능장","2009","45","임의구분","50","자기반응성 위험물에 대한 설명으로 틀린 것은?","","과산화벤조일은 분말 또는 결정 형태로 발화점이 약 125℃ 이다.","메틸에틸케톤퍼옥사이드는 기름상의 액체이다.","니트로글리세린은 기름상의 액체이며 공업용은 담황색이다.","니트로셀룰로오스는 적갈색의 액체이며 화약의 원료로 사용된다.","4"
"위험물기능장","2009","45","임의구분","51","알칼리금속에 대한 설명으로 옳은 것은?","","알칼리금속의 산화물은 물과 반응하여 강산이 된다.","산소와 쉽게 반응하기 때문에 물속에 보관하는 것이 안전하다.","소화에는 물을 이용한 냉각소화가 좋다.","칼륨, 루비듐, 세슘 등은 알칼리금속에 속한다.","4"
"위험물기능장","2009","45","임의구분","52","120g의 산소와 8g의 수소를 혼합하여 반응시켰을 때 몇 g의 물이 생성되는가?","","18","36","72","128","3"
"위험물기능장","2009","45","임의구분","53","1차 이온화에너지가 작은 금속에 대한 설명으로 틀린 것은?","","전자를 잃기 쉽다.","산화되기 쉽다.","환원력이 작다.","양이온이 되기 쉽다.","3"
"위험물기능장","2009","45","임의구분","54","유황과 지정수량이 같은 것은?","","금속분","히드록실아민","인화성고체","염소산염류","2"
"위험물기능장","2009","45","임의구분","55","다음 검사의 종류 중 검사공정에 의한 분류에 해당되지않는 것은?","","수입검사","출하검사","출장검사","공정검사","3"
