Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
위험물기능사,2002,1,화재 예방과 소화방법,1,탄산칼륨이 주성분으로 한냉지에서 사용되는 소화기는?,,분말 소화기,강화액 소화기,포말 소화기,이산화탄소 소화기,2
위험물기능사,2002,1,화재 예방과 소화방법,2,분말 소화약제의 가압용 및 축압용가스는?,,네온가스,프로판가스,수소가스,질소가스,4
위험물기능사,2002,1,화재 예방과 소화방법,3,분말소화기는 어떤 미립자를 방습 가공한 것을 탄산가스나 질소가스의 압력으로 분사 시키도록 만든 것이다. 이 미립자는 무엇인가?,,탄산수소나트륨,탄산나트륨,탄산칼슘,탄산알루미늄,1
위험물기능사,2002,1,화재 예방과 소화방법,4,소화제(消化劑)로서 사용할 수 없는 물질은?,,액화 이산화탄소,인산암모늄,탄산수소나트륨,아세톤,4
위험물기능사,2002,1,화재 예방과 소화방법,5,포말소화기의 보존 및 사용상의 주의사항에서 틀리는 것은?,,전기나 알콜류 화재에는 사용치 못한다.,동절기에도 좋다.,사용후에는 깨끗이 물로 닦은후 국가검정에 합격된 소화약제를 충전하고 합격표지를 부착한다.,안전한 장소에 넘어지지 않게한다.,2
위험물기능사,2002,1,화재 예방과 소화방법,6,다음 화재의종류 중 유류화재로서 연소후 아무것도 남지 않은 화재는?,,A급 화재,B급 화재,C급 화재,D급 화재,2
위험물기능사,2002,1,화재 예방과 소화방법,7,다음 화합물 중 소화제로 사용되지 않는 것은?,,CHBr$_2$Cl,NaHCO$_3$,Na$_2$SO$_4$,Al$_2$(SO$_4$)$_3$,3
위험물기능사,2002,1,화재 예방과 소화방법,8,"수소, 아세틸렌과 같은 가연성 가스가 공기중에 누출시, 연소형식으로 옳은 것은?",,확산 연소,증발 연소,분해 연소,표면 연소,1
위험물기능사,2002,1,화재 예방과 소화방법,9,다음 약품 중 소화제로 사용되지 않는 것은?,,탄산칼슘,탄산수소나트륨,황산알루미늄,사염화탄소,1
위험물기능사,2002,1,화재 예방과 소화방법,10,다음 중 알콜 화재시 소화제로 적당하지 않은 것은?,,석면포,물,모래주머니,드라이 아이스,2
