"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"위험물기능사","2006","2","화재 예방과 소화방법","1","다음 ( ) 안에 알맞은 것은?\n\n질식소화의 정의는 가연물이 연소할 때 공기중의 산소의 농도를 ( ) 이하로 떨어뜨려 산소공급을 차단하여 연소를 정지시키는 것","","10%","15%","18%","21%","2"
"위험물기능사","2006","2","화재 예방과 소화방법","2","강화액 소화기의 특성으로 잘못된 것은?","","ABC 소화기이다.","부동성이 높아 한랭 또는 겨울에 사용 가능하다.","독성, 부식성이 없다.","소화제는 강산성을 나타낸다.","4"
"위험물기능사","2006","2","화재 예방과 소화방법","3","금속 칼륨(K)에 대한 초기의 소화제로서 적당한 것은?","","물","마른모래","CCl$_4$","CO$_2$","2"
"위험물기능사","2006","2","화재 예방과 소화방법","4","연소가 잘 이루어지는 조건 중 옳지 않은 것은?","","가연물의 발열량이 클 것","가연물의 열전도율이 클 것","산소와의 접촉표면적이 클 것","가연성가스가 많이 발생할 것","2"
"위험물기능사","2006","2","화재 예방과 소화방법","5","화학포를 만들 때 쓰이는 기포 안정제는?","","황산알루미늄","탄산수소나트륨","사포닝","탄산가스","3"
"위험물기능사","2006","2","화재 예방과 소화방법","6","그림에서 C$_1$과 C$_2$ 사이를 무엇이라고 하는가?","O","안전범위","발열량","흡열량","폭발범위","4"
"위험물기능사","2006","2","화재 예방과 소화방법","7","분진폭발의 위험이 없는 것은?","","마그네슘가루","아연가루","밀가루","시멘트가루","4"
"위험물기능사","2006","2","화재 예방과 소화방법","8","옥외 소화전이 6개 있을 경우 수원의 수량으로 올바른 것은?","","48m$^2$ 이상","54m$^2$ 이상","60m$^2$ 이상","81m$^2$ 이상","2"
"위험물기능사","2006","2","화재 예방과 소화방법","9","알킬알루미늄 화재 시 가장 효과적인 소화제는?","","물","CO$_2$","할로겐화합물","팽창질석","4"
"위험물기능사","2006","2","화재 예방과 소화방법","10","소화작용에 대한 설명으로 옳지 않은 것은?","","냉각소화 : 물을 뿌려서 온도를 저하시키는 방법","질식소화 : 불연성 포말로 연소물을 덮어씌우는 방법","제거소화 : 가연물을 제거하여 소화시키는 방법","희석소화 : 산알칼리를 중화시켜 소화시키는 방법","4"
"위험물기능사","2006","2","화재 예방과 소화방법","11","아래 [보기]의 소화제의 반응을 완결시키려 할 때 괄호 안에 옳은 것은?\n\n6NaHCO$_3$ + Al$_2$ (SO$_4$ )$_3$ + 10H$_2$ O\n→ 2Al(OH)$_3$ + 3Na$_2$ SO$_4$ +( )+18H$_2$ O","","6CO","6NaOH","6CO$_3$","6CO$_2$","4"
"위험물기능사","2006","2","화재 예방과 소화방법","12","할로겐화합물 소화약제가 가져야 할 성질로 옳지 않은 것은?","","끊는 점이 낮을 것","증기(기화)가 되기 쉬울 것","전기화재에 적응성이 있을 것","공기보다 가볍고 가연성일 것","4"
"위험물기능사","2006","2","화재 예방과 소화방법","13","어떤 소화기에 'A3, B5, C 적용'이라고 표시되어 있다. 여기에서 알 수 있는 것이 아닌 것은?","","일반화재인 경우 이 소화기의 능력단위는 5단위이다.","유류화재에 적용할 수 있는 소화기이다.","전기화재에 적용할 수 있는 소화기이다.","ABC 소화기이다.","1"
"위험물기능사","2006","2","화재 예방과 소화방법","14","폐쇄형 스프링클러헤드를 사용하는 스프링클러설비의 제어 밸브 설치기준은?","","바닥면으로부터 0.5m 이상, 0.8m 이하","바닥면으로부터 0.5m 이상, 1.5m 이하","바닥면으로부터 1.5m 이상, 1.8m 이하","바닥면으로부터 1.8m 이상, 2.2m 이하","2"
"위험물기능사","2006","2","화재 예방과 소화방법","15","소화약제 방사시 열량을 흡수하므로 질식 및 냉각작용이 있는 것은?","","탄산가스","탄산수소알루미늄","황산알루미늄","탄화칼슘","1"
