"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"산업위생관리기사","2003","2","산업위생학개론","1","작업대사율(RMR)계산시 필요한 인자와 가장 거리가 먼 것은?","","작업시간","기초 대사량","작업에 소요된 열량","안정시 열량","1"
"산업위생관리기사","2003","2","산업위생학개론","2","전신피로상태라 판단될 수 있는 경우는? (단, 작업을 마친 직후 회복기의 심박수를 측정하여 HR$_{30-60}$ : 작업 종료 후 30-60초 사이의 평균 맥박수, HR$_{60-90}$ : 작업 종료 후 60-90초 사이의 평균 맥박수, HR$_{150-180}$ : 작업 종료 후 150-180초 사이의 평균 맥박수를 구한 수치를 적용하는 경우)","","HR$_{30-60}$ 이 100 미만이고 HR$_{60-90}$ 과 HR$_{150-180}$ 의 차이가 20 이상인 경우","HR$_{30-60}$ 이 100 초과하고 HR$_{60-90}$ 과 HR$_{150-180}$ 의 차이가 20 미만인 경우","HR$_{30-60}$ 이 110 미만이고 HR$_{60-90}$ 과 HR$_{150-180}$ 의 차이가 10 이상인 경우","HR$_{30-60}$ 이 110 초과하고 HR$_{60-90}$ 과 HR$_{150-180}$ 의 차이가 10 미만인 경우","4"
"산업위생관리기사","2003","2","산업위생학개론","3","기계화 또는 자동화로 인한 인간성 상실이 원인인 심인성 정신장해로 가장 적절한 것은?","","성격이상","노이로제","히스테리","간질","2"
"산업위생관리기사","2003","2","산업위생학개론","4","인간공학에서 인간과 기계관계의 구성인자의 특성이 무엇인지를 알아야 하는 단계는?","","준비단계","선택단계","검토단계","구성단계","1"
"산업위생관리기사","2003","2","산업위생학개론","5","피로의 증상으로 틀린항은?","","체온이 높아지나 피로정도가 심해지면 도리어 낮아진다.","혈압은 초기는 높아지나 피로가 진행되면 도리어 낮아진다.","호흡이 얕고 빠른데 이는 혈액중 이산화탄소량이 증가하여 호흡중추를 자극하기 때문이다.","젖산 및 혈당치가 높아져 산혈증(acidosis)으로 전이되기도 한다.","4"
"산업위생관리기사","2003","2","산업위생학개론","6","Viteles의 산업피로의 본질 3대 요소가 아닌 것은?","","생체의 생리적 변화","피로감각","작업량의 감소","에너지원의 고갈","4"
"산업위생관리기사","2003","2","산업위생학개론","7","출근인원이 100명인 작업장의 세면장(남자용)넓이로 가장 알맞는 것은? (단, 후생시설의 넓이를 정하는 일반적인 식을 적용)","","15 m$^2$","10 m$^2$","5 m$^2$","2 m$^2$","3"
"산업위생관리기사","2003","2","산업위생학개론","8","중량물 취급과 관련하여 요통발생에 관여하는 요인으로 관계가 적은 것은?","","작업습관과 개인적인 생활태도","물리적 환경요인: 작업빈도, 물체의 위치· 무게 및 크기","요통 및 기타 장애(자동차 사고, 넘어짐)의 경력","근로자의 심리상태 및 조건","4"
"산업위생관리기사","2003","2","산업위생학개론","9","TLV-TWA(time-weighted average)의 허용농도보다 3배가 높을 경우 권고되는 노출시간은? (단, ACGIH 에서의 근로자 노출의 상한치와 노출시간에 대한 권고 기준)","","10분이하","20분이하","30분이하","40분이하","3"
"산업위생관리기사","2003","2","산업위생학개론","10","38세 된 남성근로자의 육체적작업능력(PWC)은 15kcal/min이다. 이 근로자가 1일 8시간 동안 물체를 운반하고 있으며 이때의 작업대사량은 7kcal/min이고, 휴식시 대사량은 1.2kcal/min이다. 이 사람의 휴식시간과 작업시간의 배분(매시간별)은 어떻게 하는 것이 이상적인가?\n\nTrest(%) = [(Emax - Etask)/(Erest - Etask)]×100","","12분 휴식 48분 작업","17분 휴식 43분 작업","21분 휴식 39분 작업","27분 휴식 33분 작업","3"
"산업위생관리기사","2003","2","산업위생학개론","11","다음은 서울종로 혜화동 전철역에서 측정한 오존의 농도이다. 기하평균(ppm)은?\n\n측정농도(ppm) : 4.42, 5.58, 1.26, 0.57, 5.82, 2.24, 3.58, 5.58, 0.15","","약 1.8","약 2.1","약 2.6","약 2.9","2"
"산업위생관리기사","2003","2","산업위생학개론","12","석면 노출작업자 중에서 폐암사망률은 11/1000이었다. 석면에 노출되지 않은 일반 인구에서 사망률은 1/1000이었다. 석면에 의한 귀속위험도는?","","61%","71%","81%","91%","4"
