Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
산업위생관리기사,2005,1,산업위생학개론,1,인간공학이 현대사회에서 중요시 되고 있는 이유와 가장 거리가 먼 내용은?,,근로자가 자동화 또는 자동제어된 생산공정에서 일하고 있기 때문이다.,인간존중의 차원에서 종전의 기계는 개선되어야 할 문제점을 많이 가지고 있기 때문이다.,자동화됨에 따라 근로자의 실직률과 인력활용영역의 감소가 문제화되고 있기 때문이다.,생산경쟁이 격심해짐에 따라 이 분야를 합리화시킴으로써 생산성을 증대시키고자 하기 때문이다.,3
산업위생관리기사,2005,1,산업위생학개론,2,[광물에 대하여]라는 저서를 남겼으며 광업에 관련된 유해성을 언급한 사람은?,,Hippocrates,Agricola,Pliny,Ramazzini,2
산업위생관리기사,2005,1,산업위생학개론,3,"20세기 초 미국의 산업위생분야의 선구자로 활동하면서 납, 수은, 이황화탄소 등의 유해물질 취급사업장에서 질병이 발생된다는 사실을 밝혀낸 사람은?",,Percival Pott,Bernardino Ramazzini,Alice Hamilton,George Baker,3
산업위생관리기사,2005,1,산업위생학개론,4,산업피로의 종류에 관한 설명으로 알맞지 않은 것은?,,국소피로와 전신피로는 피로를 나타내는 신체의 부위가 어느정도인지에 따라 상대적으로 구분된다.,보통피로는 하루 저녁 잠을 잘자면 완전히 회복될 수 있다.,정신적 피로나 육체적 피로가 각각 단독으로 생기는 일은 거의 없다.,곤비는 과로의 축적으로 단기간 휴식으로 회복될 수 있다.,4
산업위생관리기사,2005,1,산업위생학개론,5,요통 발생에 관여하는 주된 요인과 가장 거리가 먼 것은?,,작업습관과 개인적인 생활태도,"작업빈도, 물체의 위치와 무게 및 크기 등과 같은 물리적 환경요인",근로자의 육체적 조건,과격한 일시적인 충격,4
산업위생관리기사,2005,1,산업위생학개론,6,재해의 원인이 될 수 있는 불안전한 행위가 아닌 것은?,,주변환경에 대한 부주의,불안전한 자세,작업속도의 저속,안전확인 경고의 미비,3
산업위생관리기사,2005,1,산업위생학개론,7,신체적결함에 따른 부적합한 작업을 짝지은 것으로 가장 거리가 먼 것은?,,빈혈증 - 유기용제 취급작업,심계항진 - 정밀작업,당뇨증 - 외상받기 쉬운 작업,간기능장해 - 화학공업,2
산업위생관리기사,2005,1,산업위생학개론,8,산업위생의 기본적인 과제를 가장 알맞게 표현한 것은?,,작업환경에 의한 정신적 영향과 적합한 환경의 연구,작업능력의 신장과 저하에 따른 작업조건의 연구,작업장에서 배출된 유해물질이 대기오염에 미치는 영향,노동력 재생산과 사회심리적 조건에 관한 연구,2
산업위생관리기사,2005,1,산업위생학개론,9,Heinrich는 산업재해를 분석한 결과 중대사고(주요재해) 한 건당 경미한 사고(경미재해)는 몇 건 발생한다고 분석 하였는가?,,10건,29건,39건,50건,2
산업위생관리기사,2005,1,산업위생학개론,10,젊은 근로자에 있어서 약한 손(오른손 잡이의 경우 왼손)의 힘은 평균 45kp라고 한다. 이러한 근로자가 무게 8kg인 상자를 두손으로 들어올릴 경우 작업강도(%MS)는?,,17.80%,8.90%,4.40%,2.30%,2
