Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,1,"육체적 작업능력(PWC)이 16kcal/min인 근로자가 하루 8시간 동안 물체를 운반하고 있다. 이 때 작업 대사량은 8kcal/min이고, 휴식시의 대사량은 1.5kcal/min이다. 휴식시간과 작업시간은 어떻게 배분하는 것이 가장 이상적인가? (단, Herting 식 기준)",,매시간 50분간 작업하고 10분간 휴식한다.,매시간 45분간 작업하고 15분간 휴식한다.,매시간 40분간 작업하고 20분간 휴식한다.,매시간 35분간 작업하고 25분간 휴식한다.,4,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,2,일반적으로 주물공정에서 발생하는 유해인자와 가장 거리가 먼 것은?,,분진과 금속흄,일산화탄소와 고열,소음,자외선,4,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,3,산업재해통계중 재해 강도율에 관한 설명을 알맞지 않은 것은?,,재해자의 수나 발생빈도에 관계없이 재해의 내용(상해정도)를 측정하는 척도로 사용된다.,"사망시 작업손실일수 7,500일이다.",근로손실일수 = 총 휴업일수 × (연간근로일수/365)로 나타낸다.,근로시간 1000시간당 발생한 재해에 의하여 손실된 총 근로손실시간을 말한다.,4,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,4,산업재해 발생의 역학적 특성으로 알맞지 않는 내용은?,,작은 규모의 산업체에서 재해율이 높다.,"오전 11-12시, 오후 2-3시에 빈발한다.",여름과 겨울에 빈발한다.,손상종류별로는 골절이 가장 많다.,3,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,5,다음의 사망재해의 유형 중 가장 많은 부분(사망자수)을 차지하고 있는 것은?,,진폐,뇌∙심질환,추락,사업장외 교통사고,2,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,6,중등작업에 관한 내용 중 알맞지 않은 것은?,,실동률(%) : 80-70,총작업시간중 대사율(%) : 50-70,주작업의 작업대사율 : 1-2,"총작업시간중 소비열량(kcal, 남자) : 920-1250",2,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,7,유해분진을 막기 위해 동물의 방광을 사용하여 방진마스크로 사용할 것을 권장한 최초의 사람은?,,Hippocrates,Gerogius Agricola,Plinly the Elder,Galen,3,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,8,"육체적 작업능력(PWC)이 16kcal/min인 근로자가 1일 8시간 동안 물체를 운반하고 있다. 이 때의 작업 대사량은 8kcal/min이고, 휴식시의 대사량은 1.5kcal/min이다. 이 사람이 쉬지 않고 계속하여 일할 수 있는 최대 허용 시간은? (단: log Tend = b$_0$+b$_1$ ㆍ E, b$_0$ = 3,720 b$_1$ = -0.1949)",,145분,185분,245분,285분,1,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,9,산업재해 발생비율(휴업재해: 무휴업재해 : 무재해사고)을 알맞게 나타낸 것은? (단. Heinrich 법칙 기준),,0.061805556,0.065277778,0.06875,0.072222222,2,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,10,바람직한 교대제에 관한 설명으로 알맞지 않은 것은?,,야근근무의 연속은 2-3일 정도가 좋다.,야근 후 다음 반으로 가는 간격은 최소 24시간을 가지도록 한다.,각 반의 근무시간은 8시간으로 한다.,"2교대면 최저 3조의 정원을, 3교대면 4조 편성으로 한다.",2,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,11,다음 인체 조직 중에서 전리방사선에 대한 감수성이 가장 큰 것은?,,결합조직과 지방조직,골조직,근육조직,흉선 및 림프조직,4,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,12,18세기 영국의 외과의사 pott에 의해 직업성 암(癌)으로 보고 되었고 오늘날 검댕 속에 다환방향족 탄화수소가 원인인 것으로 밝혀진 질병은?,,음낭암,중피종,방광암,폐암,1,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,13,영양소의 작용과 그 작용에 관여 하는 주된 영양소의 종류를 짝지은 것 중 알맞지 않은 것은?,,"체내에서 산화 연소하여 에너지를 공급하는 것 - 탄수화물, 지방질 및 단백질","몸의 구성성분을 보급하고 영양소의 체내 흡수기능을 조절하는 것 - 탄수화물, 유기질, 물","체내조직을 구성하고, 분해 소비되는 물질의 공급원이 되는 것 - 단백질, 무기질, 물","여러 영양소의 영양적 작용의 매개가 되고 생활기능을 조절하는 것 - 비타민, 무기질, 물",2,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,14,산업재해 중 재해의 정도가 심한 것을 중대재해로 구분하고 있는데 다음 중 중대재해의 기준으로 틀린 것은?,,사망자가 1인 이상 발생한 재해,부상자가 동시에 5인 이상 발생한 재해,직업성 질병자가 동시에 10인 이상 발생한 재해,3개월 이상의 요양을 요하는 부상자가 동시에 2인 이상 발생한 재해,2,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,15,산업위생의 전문가로서의 책임과 가장 거리가 먼 것은?,,전문적 판단이 타협에 의하여 좌우될 수 있는 상황에는 개입하지 않는다.,과학적 방법의 적용과 자료의 해석에서 객관성을 유지한다.,"근로자, 사회 및 전문 직종의 이익을 위해 과학적 지식을 공개하거나 발표하지 않는다.",기업체의 기밀을 누설하지 않는다.,3,,,,,,,,
산업위생관리기사,2006,3,산업위생학개론,16,피로의 본태에 대한 설명과 가장 거리가 먼 것은?,,에너지원의 소모,물질대사에 의한 노폐물의 체내소모,체내에서의 물리화학적 변조,신체조절기능의 저하,2,,,,,,,,
