Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer,,,,,,,,,,,
산업위생관리기사,2010,1,산업위생학개론,1,다음 중 작업공정에 따라 발생 가능성이 가장 높은 직업성 질환을 올바르게 연결한 것은?,,"용광로 작업 – 치통, 부비강통, 이(耳)통",갱내 착암작업 – 전광성 안염,샌드 블래스팅(sand blasting) - 백내장,축전지 제조 – 납중독,4,,,,,,,,,,,
산업위생관리기사,2010,1,산업위생학개론,2,다음 중 직업성 암으로 최초 보고된 음낭암의 원인물질에 해당하는 것은?,,검댕(soot),납(lead),수은(mercury),카드뮴(cadmium),1,,,,,,,,,,,
산업위생관리기사,2010,1,산업위생학개론,3,실내 환경의 오염물질 중 금속이 용해되어 액상 물질로 되고 이것이 가스상 물질로 기화된 후 다시 응축되어 발생하는 고체입자를 무엇이라 하는가?,,에오로졸(aerosol),흄(fume),미스트(mist),스모그(smog),2,,,,,,,,,,,
산업위생관리기사,2010,1,산업위생학개론,4,다음 중 피로에 관한 설명으로 틀린 것은?,,"자율신경계의 조절기능이 주간은 부교감신경, 야간은 교감신경의 긴장 강화로 주간 수면은 야간 수면에 비해 효과가 떨어진다.",충분한 영양을 취하는 것은 휴식과 더불어 피로방지의 중요한 방법이다.,피로의 주관적 측정방법으로는 CMI(Control Medical Index)를 이용한다.,피로현상은 개인차가 심하여 작업에 대한 개체의 반응을 어디서부터 피로현상이라고 타각적 수치로 찾아내기는 어렵다.,1,,,,,,,,,,,
산업위생관리기사,2010,1,산업위생학개론,5,분진발생 공정에서 측정한 호흡성 분진의 농도가 다음과 같을 때 기하평균농도는 약 몇 mg/m³ 인가?\n\n2.5 2.8 3.1 2.6 2.9 측정농도(단위 : mg/m³),,2.62,2.77,2.92,3.03,2,,,,,,,,,,,
산업위생관리기사,2010,1,산업위생학개론,6,1일 8시간 작업시 기준치가 0.05 mg/m³ 인 물질이 있다. 1일 10시간 작업할 경우 Brief와 Scala의 보정 방법으로 허용농도를 보정할 경우 보정된 기준치는 얼마인가?,,0.025mg/m³,0.030mg/m³,0.035mg/m³,0.040mg/m³,3,,,,,,,,,,,
산업위생관리기사,2010,1,산업위생학개론,7,다음 중 재해예방의 4원칙에 해당하지 않는 것은?,,손실 우연의 원칙,원인 조사의 원칙,예방 가능의 원칙,대책 선정의 원칙,2,,,,,,,,,,,
산업위생관리기사,2010,1,산업위생학개론,8,"산소소비량 1L를 에너지량, 즉 작업대사량으로 환산하면 약 몇 kcal 인가?",,5,10,15,20,1,,,,,,,,,,,
산업위생관리기사,2010,1,산업위생학개론,9,다음 중 산업위생의 목적과 가장 거리가 먼 것은?,,작업자의 건강보호,작업환경의 개선,작업조건의 인간공학적 개선,직업병 치료와 보상,4,,,,,,,,,,,
산업위생관리기사,2010,1,산업위생학개론,10,다음 중 근육운동에 필요한 에너지를 생산하는 혐기성 대사의 반응이 아닌 것은?,,glycogen + ADP ⇄ citrate + ATP,ATP ⇄ ADP + P + free energy,creatine phosphate + ADP ⇄ creatine + ATP,glucose + P + ADP → Lactate + ATP,1,,,,,,,,,,,
산업위생관리기사,2010,1,산업위생학개론,11,다음 중 재해성 질병의 인정시 종합적으로 판단하는 사항으로 틀린 것은?,,재해의 성질과 강도,재해가 작용한 신체부위,재해가 발생할 때까지의 시간적 관계,작업내용과 그 작업에 종사한 기간 또는 유해 작업의 정도,4,,,,,,,,,,,
