Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
산업위생관리기사,2011,2,산업위생학개론,1,다음 중 최근 실내공기질에서 문제가 되고 있는 방사성물질인 라돈에 관한 설명으로 틀린 것은?,,"자연적으로 존재하는 암석이나 토양에서 발생하는 thorium, uranium의 붕괴로 인해 생성되는 방사성 가스이다.","무색, 무취, 무미한 가스로 인간의 감각에 의해 감지할 수 없다.",라돈의 감마(γ)-붕괴에 의하여 라돈의 딸핵종이 생성되며 이것이 기관지에 부탁되어 감마선을 방출하여 폐암을 유발한다.,"라돈의 동위원소에는 Rn$^{222}$, Rn$^{220}$, Rn$^{219}$, 가 있으며 이 중 반감기가 긴 Rn-222가 실내 공간에서 일체의 위해성 측면에서 주요 관심대상이다.",3
산업위생관리기사,2011,2,산업위생학개론,2,다음 중 작업환경조건과 피로의 관계를 올바르게 설명한 것은?,,소음은 정신적 피로의 원인이 된다.,"온열조건은 피로의 원인으로 포함되지 않으며, 신체적 작업밀도와 관계가 없다.",정밀작업시의 조명은 광원의 성질에 관계없이 100럭스(Lux) 정도가 적당하다.,"작업자의 심리적 요소는 작업능률과 관계되고, 피로의 직접요인이 되지는 않는다.",1
산업위생관리기사,2011,2,산업위생학개론,3,산업안전보건법에 따라 지정된 석면해체·제거업자로 하여금 그 석면을 해체·제거하도록 하여야 하는데 다음 중 석면해체·제거 대상에 해당하는 것은?,,석면이 0.1wt%를 초과하여 함유된 분무재 또는 내화 피복재를 사용한 경우,"석면이 0.5wt%를 초과하여 함유된 단열재, 보온재에 해당하는 자재의 면적의 합이 5m$^2$ 이상인 경우","파이프에 사용된 보온재에서 석면이 0.5wt%를 초과하여 함유되어 있고, 그 보온재 길이의 합이 50m 이상인 경우","철거ㆍ해체하려는 벽체재료, 바닥재, 천장재 및 지붕재 등의 자재에 석면이 1wt%를 초과하여 함유되어 있고 그 자재의 면적의 합이 50m$^2$ 이상인 경우",4
산업위생관리기사,2011,2,산업위생학개론,4,다음 중 산업안전보건법에 따라 건강관리수첩의 발급 대상에 해당하지 않은 사람은?,,설비 또는 건축물에 분무된 석면을 해체·제거 또는 보수하는 업무에 1년 이상 종사한 사람,염화비닐을 제조하거나 사용하는 석유화학설비를 유지·보수하는 업무에 4년 이상 종사한 사람,갱내에서 암석 등을 차량계 건설기계로 싣거나 내리거나 쌓아두는 장소에서의 작업에 1년 이상 종사한 사람으로 흉부방사선 사진상 진폐증이 있다고 인정되는 사람,옥내에서 동력을 사용하여 암석 또는 광물을 조각하거나 마무리하는 장소에서의 작업에 3년 이상 조사한 사람으로 흉부방사선 사진상 진폐증이 있다고 인정되는 사람,3
산업위생관리기사,2011,2,산업위생학개론,5,다음 중 산소부채(oxygen debt)에 관한 설명으로 틀린 것은?,,작업대사량의 증가와 관계없이 산소소비량은 계속 증가한다.,산소부채 현상은 작업이 시작되면서 발생한다.,작업이 끝난 후에는 산소부채의 보상현상이 발생한다.,작업강도에 따라 필요한 산소요구량과 산소공급량의 차이에 의하여 산소부채 현상이 발생한다.,1
산업위생관리기사,2011,2,산업위생학개론,6,"기초대사량이 1500kcal/day이고, 작업대사량이 시간당 250kcal가 소비되는 작업을 8시간 동안 수행하고 있을 때 작업대사율(RMR)은 약 얼마인가?",,0.17,0.75,1.33,6,3
산업위생관리기사,2011,2,산업위생학개론,7,어떤 물질에 대한 작업환경을 측정한 결과 다음과 같은 TWA 결과값을 얻었다. 환산된 TWA는 약 얼마인가?,O,169ppm,198ppm,220ppm,256ppm,1
산업위생관리기사,2011,2,산업위생학개론,8,다음 중 산업위생의 역사에 있어 가장 오래된 것은?,,Pott : 최초의 직업성 암 보고,Agricola : 먼지에 의한 규폐증 기록,Galen : 구리광산에서의 산(酸)의 위험성 보고,Hamilton : 유해물질 노출과 질병과의 관계 규명,3
산업위생관리기사,2011,2,산업위생학개론,9,미국산업안전보건연구원(NIOSH)에서 제시한 중량물의 들기작업에 관한 강시기준(Action Limit)과 최대허용 기준(Maximum Permissible Limit)의 관계를 올바르게 나타낸 것은?,,MPL = $\\sqrt{2}$ AL,MPL = 3AL,MPL = 5AL,MPL = 10AL,2
산업위생관리기사,2011,2,산업위생학개론,10,다음 중 근골격계 질환에 관한 설명으로 틀린 것은?,,점액낭염(bursitis)은 관절 사이의 윤활액을 싸고 있는 윤활낭에 염증이 생기는 질병이다.,"근염(myositis)은 근육이 잘못된 자세, 외부의 충격, 과도한 스트레스 등으로 수축되어 굳어지면 근섬유의 일부가 띠처럼 단단하게 변하여 근육의 특정 부위에 압통, 방사통, 목부위 운동제한, 두통 등의 증상이 나타난다.","수근관 증후군(carpal tunnel syndrome)은 반복적이고, 지속적인 손목의 압박, 무리한 힘 등으로 인해 수근관 내부에 정중신경이 손상되어 발생한다.","건초염(tenosinovitis)은 건막에 염증이 생긴 질환이며, 건염(tendonitis)은 건의 염증으로, 건염과 건초염을 정확히 구분하기 어렵다.",2
