Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
산업위생관리산업기사,2004,1,산업위생학개론,1,다음 중 직업성 경견완 증후군 발생과 연관되는 작업으로 가장 거리가 먼 것은?,,전화교환작업,전기톱에 의한 벌목작업,키펀치작업,금전등록기의 계산작업,2
산업위생관리산업기사,2004,1,산업위생학개론,2,"작업을 수행하는데 필요한 직종간의 연결성, 공장설계에 있어서의 기능적 특성, 경제적 효율, 제한점등을 고려하여 세부설계를 하여야 하는 인간공학의 활용단계로 알맞는 것은?",,준비단계,적용단계,선택단계,시행단계,3
산업위생관리산업기사,2004,1,산업위생학개론,3,작업강도와 작업대사율의 범위가 잘못 이어진 것은?,,중작업 4 - 7,경작업 0 - 1,중등작업 2 - 4,격심작업 7 이상,3
산업위생관리산업기사,2004,1,산업위생학개론,4,Vitamin D 생성과 가장 관계가 깊은 광선의 파장은?,,280 - 320Å,280 - 320nm,380 - 760Å,380 - 760nm,2
산업위생관리산업기사,2004,1,산업위생학개론,5,세계 최초의 직업성 암인 음낭암을 발견한 사람은?,,Georgius Agricola,Bernardino Ramazzimi,Pliny the Elder,Percivall Pott,4
산업위생관리산업기사,2004,1,산업위생학개론,6,질병발생의 요인을 제거하면 질병발생이 얼마나 감소될 것인가를 말해주는 위험도는?,,상대위험도,절대위험도,비교위험도,기여위험도,4
산업위생관리산업기사,2004,1,산업위생학개론,7,작업강도에 관한 설명으로 알맞지 않은 것은?,,작업을 할 때 소비되는 열량으로 작업의 강도를 측정한다.,작업대사율로 주로 평가된다.,"성별, 연령, 체격조건에 따라 큰 차이를 보인다.","대인접촉이 적고, 작업이 단순하며, 열량소비량이 많을 때 작업강도는 커진다.",4
산업위생관리산업기사,2004,1,산업위생학개론,8,재해율의 종류중 도수율에 관한 설명으로 알맞지 않은 것은?,,현재 재해발생의 빈도를 표시하는 표준 척도로 사용한다.,재해발생 건수의 산정은 응급처치 이상의 사고 모두를 포함한다.,재해발생건수 또는 재해자는 동일 개념으로 사용한다,재해의 강도 즉 재해의 경중이 고려된다.,4
산업위생관리산업기사,2004,1,산업위생학개론,9,진폐증을 일으키는 분진과 가장 거리가 먼 것은?,,유리규산,석면,시멘트,흑연,3
산업위생관리산업기사,2004,1,산업위생학개론,10,산업피로에 관한 설명으로 알맞지 않은 것은?,,고단하다는 객관적이고 보편적인 느낌이다.,"작업강도에 반응하는 육체적, 정신적 생체현상이다.",피로 자체는 질병이 아니라 가역적인 생체변화이다.,"피로가 오래되면 얼굴 부종, 허탈감의 증세가 온다.",1
산업위생관리산업기사,2004,1,산업위생학개론,11,직업성 피부질환에 관한 설명으로 알맞지 않은 것은?,,일반인에서는 발생되지 않는다.,발생빈도는 타질환에 비하여 월등히 많다.,생명에 큰 지장을 초래하지 않는 경우가 많다.,근로자 휴직일수의 5% 정도를 점유하는 질환이다.,4
산업위생관리산업기사,2004,1,산업위생학개론,12,작업환경에서 식품과 영양소에 관한 설명중 틀린 것은?,,"단백질, 탄수화물, 지방, 무기질 및 비타민을 5대 영양소라 한다.","열량의 공급원은 탄수화물, 지방, 단백질이다.",칼륨은 치아와 골격을 구성하며 철분은 혈액을 구성한다.,"신체의 생활기능을 조절하는 영양소에는 비타민, 무기질등이 있다.",3
산업위생관리산업기사,2004,1,산업위생학개론,13,자유출퇴근(flex-time)제에 대한 설명중에서 틀린 것은?,,인간소외문제를 해결,주당 일정시간을 작업하는 조건의 자유 출퇴근,개인생활의 편의 및 피로의 경감,출퇴근시 교통량의 완화,1
산업위생관리산업기사,2004,1,산업위생학개론,14,산업위생의 영역에 관한 설명으로 틀린 것은?,,노동의 생리학에 기초를 둔다.,작업장 외부의 환경관리를 위주로 한다.,"심리학, 공학, 이학, 사회학 등과 협력한다.",산업사회의 질병을 퇴치하고 예방한다.,2
산업위생관리산업기사,2004,1,산업위생학개론,15,근육노동을 하는 근로자가 특히 관심을 갖고 섭취해야 하는 비타민은?,,비타민 A,비타민 B$_1$,비타민 D,비타민 C,2
산업위생관리산업기사,2004,1,산업위생학개론,16,화학적으로 원발성 접촉피부염을 일으키는 물질과 가장 거리가 먼 것은?,,합성수지,용제,알카리,금속염,1
산업위생관리산업기사,2004,1,산업위생학개론,17,다음 산업피로의 증상이 아닌 것은 무엇인가?,,맥박이 빨라진다.,체온상승과 호흡중추의 흥분이 온다.,권태감과 졸음이 온다.,혈당치가 높아지고 혈중 젖산과 탄산량이 감소한다.,4
산업위생관리산업기사,2004,1,산업위생학개론,18,"전신피로의 정도를 평가하려면 작업종료 후 심박수(heartrate)를 측정하여 이용한다. 심한 전신피로상태로 판단되는 HR$_1$(작업종료 후 30~60초 사이의 평균맥박수), HR$_2$(작업종료 후 60~90초 사이의 평균맥박수), HR$_3$(작업종료후 150~180초 사이의 평균맥박수)의 기준조건으로 알맞는 것은?",,HR$_1$이 110 미만이고 HR$_2$와 HR$_3$의 차이가 10이상인 경우,HR$_1$이 100 미만이고 HR$_3$와 HR$_2$의 차이가 15이상인 경우,HR$_1$이 110을 초과하고 HR$_3$와 HR$_2$의 차이가 10미만인 경우,HR$_1$이 100를 초과하고 HR$_2$와 HR$_3$의 차이가 15미만인 경우,3
산업위생관리산업기사,2004,1,산업위생학개론,19,"미국국립산업안전보건연구원(NIOSH)에서는 중량물 취급작업에 대하여 두가지 권고치, 즉 감시기준(AL)과 최대허용기준(MPL)을 설정하였다. 이 두가지 기준의 관계를 설명한 것 중 바른 것은?",,MPL = 2 × AL,MPL = 3 × AL,MPL = 4 × AL,MPL = 5 × AL,2
산업위생관리산업기사,2004,1,산업위생학개론,20,독일에서 근로자 질병보험법(1883)과 공장재해보험법(1884)을 제정한 사람은?,,Bismark,Rudolf Virchow,Max von Pettenkoffer,Villerme,1
산업위생관리산업기사,2004,1,작업환경측정 및 평가,21,산업위생 통계 자료 표에서 M ± SD 로 표시한 것은 무엇을 의미하는가?,,평균치와 표준편차,평균치와 표준오차,최빈치와 표준편차,중앙치와 표준오차,1
산업위생관리산업기사,2004,1,작업환경측정 및 평가,22,작업환경 측정기구의 보정을 위한 2차표준에 해당되는 것은?,,Wet-test meter,비누거품미터,Pitot 튜브,'무마찰'피스톤 미터,1
산업위생관리산업기사,2004,1,작업환경측정 및 평가,23,작업장내 소음을 측정시 소음계의 특성을 아래에 어떤 특성에 맞추어 작업자의 폭로수준을 평가 하는가?,,A,B,C,D,1
산업위생관리산업기사,2004,1,작업환경측정 및 평가,24,호흡성 유리규산을 채취할 때 가장 적합한 방법은?,,1.7 Lpm의 유량으로 10-mm nylone cyclone을 사용,1.7 Lpm의 유량으로 PVC 여과지에 채취,2.0 Lpm의 유량으로 MCE 여과지에 채취,2.0 Lpm의 유량으로 유리섬유여과지에 채취,1
산업위생관리산업기사,2004,1,작업환경측정 및 평가,25,직경이 15센티미터인 흑구온도계의 측정시간으로 적절한 기준은?,,15분 이상,20분 이상,25분 이상,30분 이상,3
산업위생관리산업기사,2004,1,작업환경측정 및 평가,26,K$_2$Pd(SO$_3$)$_2$로 처리된 가스검지관은 어떤 물질 측정용인가?,,CO,CO$_2$,6가 크롬,Cl$_2$,1
산업위생관리산업기사,2004,1,작업환경측정 및 평가,27,다음 중 가스검지관의 특징의 설명으로 틀린 것은?,,사용이 간편하다.,반응시간이 빠르다.,민감도가 높다.,특이도가 낮다.,3
