Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
산업위생관리산업기사,2005,1_extra,산업위생학개론,1,다음 중 바람직한 교대제에 속하지 않는 것은?,,야간 근무시 가면은 반드시 필요하다.,야근 후 다음 반으로 가는 간격은 최고 48시간을 갖는 것이 좋다.,각 반의 근무시간은 8시간이 좋다.,야간근무는 2-3일 이상 연속하지 않는 것이 좋다.,2
산업위생관리산업기사,2005,1_extra,산업위생학개론,2,산업피로에 관한 설명으로 알맞지 않은 것은?,,곤비는 과로의 축적으로 단기간에 회복될 수 없는 단계를 말한다.,국소피로와 전신피로는 신체피로 부위의 크기로 구분한다.,피로는 비가역적인 생체의 변화로 건강장해의 일종이다.,"정신적피로, 신체적피로는 보통 함께 나타나 구별하기 어렵다.",3
산업위생관리산업기사,2005,1_extra,산업위생학개론,3,지방 1g이 체내에서 산화 연소될 때 발생되는 열량은?,,9kcal,19kcal,29kcal,39kcal,1
산업위생관리산업기사,2005,1_extra,산업위생학개론,4,인류 역사상 최초로 기록된 직업병은?,,납중독,구리광산의 산증기,카드뮴중독,진폐증,1
산업위생관리산업기사,2005,1_extra,산업위생학개론,5,직업성 요통 발생에 관여되는 요인 중 거리가 먼 것은?,,근로자의 육체적 조건,작업장의 소음 및 진동,작업습관과 개인의 생활태도,"물리적 환경요인(작업빈도, 물체의 위치, 무게, 크기 등)",2
산업위생관리산업기사,2005,1_extra,산업위생학개론,6,"일반적으로 소음계는 주파수에 따른 사람의 느낌을 감안하여 A, B, C특성에서 음압을 측정할 수 있도록 보정되어 있다. 이중 A특성치는 다음중 어느 등감곡선과 비슷하게 반응을 보정한 것인가?",,40phon,70phon,100phon,120phon,1
산업위생관리산업기사,2005,1_extra,산업위생학개론,7,근로자가 운동할 때의 산소 소비량(oxygen uptake)은 약 얼마까지 증가하는가?,,약 0.25 L/min,약 2.5 L/min,약 5.0 L/min,약 10.0 L/min,3
산업위생관리산업기사,2005,1_extra,산업위생학개론,8,국소피로를 평가하는 데는 근전도(EMG)를 많이 이용한다. 정상근육과 비교하여 피로한 근육에서 나타나는 EMG의 특징이 아닌 것은?,,총전압의 증가,평균주파수의 감소,저주파수(0~40Hz) 힘의 증가,고주파수(40~200Hz) 힘의 증가,4
산업위생관리산업기사,2005,1_extra,산업위생학개론,9,"중량물 취급 작업에 대한 미국국립산업안전보건연구원(NIOSH)의 기준을 적용할 때, 적용범위에 해당되지 않는 것은?",,보통 속도로 한 손으로 들어올리는 작업인 경우,물체의 폭이 75cm이하인 경우,신발이 작업장 바닥에 닿을 때 미끄럽지 않을 경우,작업장내의 온도가 적절한 경우,1
산업위생관리산업기사,2005,1_extra,산업위생학개론,10,산업재해를 나타내는 지표 중 상해정도를 파악하기 위한 재해지표로 가장 적절한 것은?,,도수율,건수율,강도율,손실율,3
