Test Name,Year,Session,Subject,Number,Question,image,Option 1,Option 2,Option 3,Option 4,Answer
인간공학기사,2007,3,인간공학개론,1,다음중 인간의 눈에 관한 설명으로 옳은 것은?,text_only,망막의 간상세포는 명시에 사용된다.,간상세포는 황반에 밀집되어 있다.,원시는 수정체가 두꺼워져 먼 물체의 상이 망막 앞에 맺히는 현상을 말한다.,시각은 물체와 눈 사이의 거리에 반비례한다.,4
인간공학기사,2007,3,인간공학개론,2,인간의 기억 체계 중 감각 보관에 대한 설명으로 옳은 것은?,text_only,"촉각 및 후각의 감각 보관에 대한 증거가 있으며, 주로 시각 및 청각 정보가 보관된다.",감각보관 내의 정보는 암호화되어 유지된다.,모든 상의 정보는 수십분간 보관된다.,감각 보관된 정보는 자동으로 작업 기억으로 이전된다.,1
인간공학기사,2007,3,인간공학개론,3,다음 중 표시장치의 설계에서 시식별이 가장 좋은 것은?,text_only,신호등(점멸) - 배경등(점등),신호등(점등) - 배경등(점등),신호등(점등) - 배경등(점멸),신호등(점멸) - 배경등(점멸),1
인간공학기사,2007,3,인간공학개론,4,다음 중 촉각적 감각과 피부에 있는 소체와의 연결이 틀린 것은?,text_only,통각: 마이스너 소체,압각: 파시니 소체,온각: 루피니 소체,냉각: 크라우제 소체,1
인간공학기사,2007,3,인간공학개론,5,"비행기에서 20m 떨어진 거리에서 측정한 엔진의 소음이 130dB(A) 이었다면, 100m 떨어진 위치에서 소음수준은 얼마인가?",text_only,113.5,116,121.8,130,2
인간공학기사,2007,3,인간공학개론,6,"손잡이의 설계에 있어 촉각정보를 통하여 분별, 확인할 수 있는 코딩방법이 아닌 것은?",text_only,색에 의한 코딩,크기에 의한 코딩,표면의 거칠기에 의한 코딩,형상에 의한 코딩,1
인간공학기사,2007,3,인간공학개론,7,다음 중 효율적 설비 배치를 위해 고려해야 하는 원칙으로 가장 거리가 먼 것은?,text_only,중요성의 원칙,설비 가격의 원칙,사용 빈도의 원칙,사용 순서의 원칙,2
인간공학기사,2007,3,인간공학개론,8,다음 중 시각적 암호화(coding)의 설계시 고려 사항이 아닌 것은?,text_only,사용될 정보의 종류,코딩의 중복 또는 결합에 대한 필요성,수행될 과제의 성격과 수행조건,코딩 방법의 분산화,4
인간공학기사,2007,3,인간공학개론,9,기능적 인체치수 측정에 대한 설명으로 옳은 것은?,text_only,앉은 상태에서만 측정하여야 한다.,움직이지 않는 표준자세에서 측정하여야 한다.,5~95% 에 대해서만 정의 된다.,신체 부위의 동작범위를 측정하여야 한다.,4
인간공학기사,2007,3,인간공학개론,10,특정한 설비를 설계할 때 인체 계측 특성의 한극단치에 속하는 사람을 대상으로 설계하게 되는데 다음 중 최소 집단치를 적용하는 경우에 해당하는 것은?,text_only,조종 장치까지의 거리,출입문의 높이,의자의 폭,그네의 최소 지지 중량,1
인간공학기사,2007,3,인간공학개론,11,다음은 인간공학 연구에서 사용되는 기준척도가 갖추어야 하는 조건을 나열한 것이다. 각 조건에 대한 설명으로 틀린 것은?,text_only,신뢰성: 우수한 결과를 도출할 수 있는 정도,타당성: 실제로 의도하는 바를 측정할 수 있는 정도,민감도: 실험 변수 수준 변화에 따라 척도의 값의 차이가 존재하는 정도,순수성: 외적 변수의 영향을 받지 않는 정도,1
인간공학기사,2007,3,인간공학개론,12,다음 중 정보에 관한 설명으로 옳은 것은?,text_only,정보이론에서 정보란 불확실성의 감소라 정의할 수 있다.,선택반응시간은 선택대한의 개수에 선형으로 반비례한다.,대안의 수가 늘어나면 정보량은 감소한다.,"대안이 2가지 뿐이면, 정보량은 2비트이다.",1
인간공학기사,2007,3,인간공학개론,13,다음 시각적 표시장치 중 동적 표시장치에 해당하는 것은?,text_only,도로표지판,고도계,지도,도표,2
인간공학기사,2007,3,인간공학개론,14,다음 중 신호검출이론에 대한 설명으로 옳은 것은?,text_only,잡음에 실린 신호의 분포는 잡음만의 분포와 구분되지 않아야 한다.,신호의 유무를 판정함에 있어 반응대안은 2가지 뿐이다.,"판정기준은 B(신호/노이즈)이며, B > 1 이면 보수적이고, B < 1 이면 자유적이다.",신호검출의 민감도에서 신호와 잡음간의 두 분포가 가까울수록 판정자는 신호와 잡음을 정확하게 판별하기 쉽다.,3
인간공학기사,2007,3,인간공학개론,15,다음 중 정상 작업역에 대한 설명으로 옳은 것은?,text_only,아래팔과 윗팔을 곧게 펴서 파악할 수 있는 구역,"윗팔을 자연스럽게 수직으로 늘어뜨린 채, 아래 팔만으로 편하게 뻗어 파악할 수 있는 구역","허리, 아래팔, 윗팔을 사용하여 최대한 파악할 수 있는 구역","윗팔을 사용하여 움직일 때, 팔굽치가 닿을 수 있는 구역",2
인간공학기사,2007,3,인간공학개론,16,다음 중 연구조사에 사용되는 기준이 가져야 할 조건이 아닌 것은?,text_only,사용성,적절성,무오염성,신뢰성,1
인간공학기사,2007,3,인간공학개론,17,다음 인간 - 기계 시스템 중 폐회로(closed loop)에 속하는 것은?,text_only,전자레인지,팩시밀리,소총,계장(display panel) 시스템,2
인간공학기사,2007,3,인간공학개론,18,"다음의 13개 철자를 외워야 하는 과업이 주어질 때 몇 개의 청크를 생성하게 되겠는가?\n\nV,E,R,Y,W,E,L,L,C,O,L,O,R",O,1개,2개,3개,5개,3
인간공학기사,2007,3,인간공학개론,19,다음 중 청각 표시장치를 사용할 경우 가장 유리한 것은?,text_only,수신하는 장소가 소음이 심할 경우,정보가 즉각적인 행동을 요구하는 경우,전달하고자 하는 정보가 나중에 다시 참조되는 경우,전달하고자 하는 정보가 길거나 복잡한 경우,2
인간공학기사,2007,3,인간공학개론,20,다음 중 조종-반응비율(C/R 비)에 대한 설명으로 틀린 것은?,text_only,"표시장치의 이동거리에 반비례하고, 조종장치의 움직인 거리에 비례한다.",설계시 이동시간과 조종시간을 고려하여야 한다.,C/R 비가 높으면 미세조종이 가능하다,C/R 비가 낮으면 제어장치의 조종시간과 표시장치의 이동시간이 단축된다.,4
인간공학기사,2007,3,작업생리학,21,"청력손실은 개인마다 차이가 있으나, 다음 중 어떤 주파수(Hz)에서 가장 크게 나타나는가?",text_only,2000,4000,6000,8000,2
인간공학기사,2007,3,작업생리학,22,인체의 척추 구조에서 요추는 몇 개로 구성되어 있는가?,text_only,5개,7개,9개,12개,1
인간공학기사,2007,3,작업생리학,23,강도 높은 작업을 마치 후 휴식 중에도 근육에 추가적으로 소비되는 산소량을 무엇이라 하는가?,text_only,산소결손,산소결핍,산소부채,산소요구량,3
인간공학기사,2007,3,작업생리학,24,다음 신체동작의 유형 중 관절에서의 각도가 감소하는 신체부분의 동작은?,text_only,굽힘(flexion),내선(medial rotation),폄(extension),벌림(abduction),1
인간공학기사,2007,3,작업생리학,25,다음 중 스트레스와 스트레인에 대한 설명으로 거리가 가장 먼 것은?,text_only,"스트레스란 개인에게 부과되는 바람직하지 않은 상태, 상황, 과업 등을 말한다.",스트레인은 스트레스로 인해 우리 몸에 나타나는 현상을 말한다.,작업관련 인자 중에는 누구에게나 스트레스의 원인이 되는 것이 있다.,같은 수준의 스트레스라면 스트레인의 양상과 수준은 개인차가 없다.,4
인간공학기사,2007,3,작업생리학,26,다음 중 에너지대사율(RMR)을 올바르게 정의한 식은?,text_only,RMR = 기초대사량 / 작업대사량,RMR = (작업시간 * 소비에너지) / 작업대사량,RMR = (작업시 소비에너지 - 안정시 소비에너지) / 기초대사량,RMR = 작업대사량 / 소비 에너지량,3
인간공학기사,2007,3,작업생리학,27,정신적 부담 작업과 육체적 부담 작업 양쪽 모두에 사용 할 수 있는 생리적 부하 측정 방법은?,text_only,EEG,RPG (rating of perceived exertion),점멸융합주파수,에너지 소모량 (metabolic energy expenditure),2
인간공학기사,2007,3,작업생리학,28,다음 중 조도의 단위는?,text_only,lumen,lux,candela,foot - lambert,2
인간공학기사,2007,3,작업생리학,29,정신적 작업부하를 측정하기 위한 척도가 갖추어야 할 기준으로 볼 수 없는 것은?,text_only,감도,양립성,신뢰성,수용성,2
