Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer,
산업안전산업기사,2003,2,안전관리론,1,안전사고의 관리적 원인 중 가장적 원인에 해당되지 않는 것은?,,안전배치 부적당,"절감, 정비보존 불량",생산공정의 부적당,"구조, 재료의 부적합",1,
산업안전산업기사,2003,2,안전관리론,2,"어느 사업장에서 연해년도에 330일의 재해자가 발생하였다. 무실해 사고는 몇 명인가? (단, 하인리히의 법칙을 적용.)",,29명,30명,300명,329명,3,
산업안전산업기사,2003,2,안전관리론,3,하인리히(H.W.Heinrich)의 안전사고 연쇄성 이론의 5대 요소 중 가장 중요한 것은?,,사회적 환경결함,불안전한 행위 및 상태,개인결함,안전사고와 재해,2,
산업안전산업기사,2003,2,안전관리론,4,"도수율 13.0, 강도율 1.20의 사업장이 있다. 환산도수율은?",,1.3회,3.1회,13.0회,17.2회,1,
산업안전산업기사,2003,2,안전관리론,5,"안전표지에 사용하는 색채 기준대 비상구 및 피난소, 사람 또는 차량의 통행표지에 사용하는 색채는 다음 중 어느 것인가?",,빨강,노랑,녹색,파랑,3,
산업안전산업기사,2003,2,안전관리론,6,STOP 기법의 설명으로 옳은 것은?,,안전교육의 추진방법,관리감독자 안전관찰 훈련,위험예지 훈련,교육훈련의 평가방법,2,
산업안전산업기사,2003,2,안전관리론,7,작업대도 분석에 의한 동기 파악방법의 연구과정은?,,요인→ 태도→ 결과,요인→ 결과→ 태도,결과→ 요인→ 태도,태도→ 요인→ 결과,1,
산업안전산업기사,2003,2,안전관리론,8,안전대 부품의 재료로 적당하지 않 은 것은?,,나일론,견 임,플라에스테르,나비론,2,
산업안전산업기사,2003,2,안전관리론,9,다음 중 안전관리 조직에 해당되지 않는 것은?,,직렬조직,할로조직,수평조직,직렬 및 참모식조직,3,
산업안전산업기사,2003,2,안전관리론,10,무재해 운동의 추진을 위한 3요소에 속하지 않 는 것은?,,작업조직의 기술적 개선,톱(top)의 엄격한 안전경영자세,안전활동의 라인(Line)화,직장 자주안전활동의 활성화,1,
산업안전산업기사,2003,2,안전관리론,11,안전교육방법 중 설명법의 설명으로 맞는 것은?,,시설유치비가 적게든다.,학생들의 참여가 재한된다.,학생들의 사회성이 길러지기 쉽다.,다른 방법부다 교사 대 학습자수의 비율이 높다,4,
산업안전산업기사,2003,2,안전관리론,12,Line-Staff의 혼성을 가진 안전조직에서 현장의 상태가 안전기준에서 벗어났는가의 여부를 종래적으로 확인할 수있는 부서는?,,Line,Staff,안전보건 관리책임자,안전보건 대행기관,1,
산업안전산업기사,2003,2,안전관리론,13,다음 중 안전관리자의 직무가 아 닌 것은?,,산업재해 발생원인조사 및 대책수립,산업재해 보고 및 통금조치,안전교육계획 수립 및 실시,안전에 관한련 보호구의 구입시 적격품 선정,2,
산업안전산업기사,2003,2,안전관리론,14,슈퍼(Super)의 역할이론 중 역할연기를 올바르게 설명한 것은?,,인간을 사물에 적응시키는 능력이다.,자아탐색인 동시에 자아심험의 수단이다.,개인의 역할을 기대하고 감수하는 수단이다.,다른 역할을 해내기 위해 다른 입을 구볼 때도 있다.,2,
산업안전산업기사,2003,2,안전관리론,15,안전교육 학습지도법의 단계 중 그 순서가 올게 나열된 것은?,,준비 ─ 교시 ─ 연습 ─ 총괄 ─ 응용,준비 ─ 연습 ─ 교시 ─ 응용 ─ 총괄,총괄 ─ 연습 ─ 교시 ─ 응용 ─ 준비,응용 ─ 준비 ─ 연습 ─ 총괄 ─ 교시,1,
