Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
산업안전산업기사,2004,1,안전관리론,1,테도교육의 효과를 높이기 위하여 취할 수 있는 바람직한 교육방법은?,,강의식,프로그팀 학습법,토의식,본답식,3
산업안전산업기사,2004,1,안전관리론,2,"'그림에서 선 ab와 선 bc는 그 길이가 동일할 것이지만, 시각적으로는 선 ab가 선 bc보다 길어보인다.'는 설명은 어떤학자 현상에 관한가?",,헬름쏜(Helmholz)의 착시,쿨러(Kohler)의 착시,뮬러-라이어(Muler-Lyer)의 착시,포겐 도르프(Poggendorf)의 착시,3
산업안전산업기사,2004,1,안전관리론,3,현장에서 안전핵행자 안전관리자는 근무중에 안전환경을 확용해야 한다. 안전환경에 대력성강과 어떤 내용을 한글로 표시에야 하는가?,,"노랑, 적색","노랑, 성명","헐색, 적색","헐색, 성명",1
산업안전산업기사,2004,1,안전관리론,4,안전교육 과정 중 '할 수 잇다'라는 즉 미교육자가 그것을 스스로 행항으로서만 얻어지는 교육내용에 해당하는 것은?,,안전지식의 교육,안전의식의 교육,안전태도의 교육,안전기능의 교육,4
산업안전산업기사,2004,1,안전관리론,5,단조로운 일부가 장시간 지속될 때 작업자의 갈각기는 및 판단능력이 또는 미비되어 잇다.,,안각현상,갈각자단현상,피로현상,착각현상,2
산업안전산업기사,2004,1,안전관리론,6,"도수율 21.12인 사업장에서 한 작업자가 평생 작업을 한다면몇 건의 재해를 당하겠는가? (단, 한 작업자의 평생 근로년수는 40년으로 게산한 것.)",,약 1건,약 2건,약 3건,약 4건,2
산업안전산업기사,2004,1,안전관리론,7,인전드의 무배와 착정체 머리고정대의 수평 간격은 얼마 이마야 하는가?,,5mm 이상,5mm 미만,10mm 이상,10mm 미만,1
산업안전산업기사,2004,1,안전관리론,8,다음 중 실리적이면서도 생리적인 요소를 모두 갖고 있는 요인은?,,피로,동기저하,단조무움,근육긴장,1
산업안전산업기사,2004,1,안전관리론,9,사업장의 넓긴인전보건관리계획 수립의 구성요소 가운대 가장 핵심적이며 경영자의 재해방지를 위한 굳은 신념을 나타내는 것은?,,안전목표,솔토건,기본방침,종점사책,3
산업안전산업기사,2004,1,안전관리론,10,"생산현장에서 작업에 종사하고 있는 작업자가 작업을 함에있어서 가장 안전하고 능률적으로 작업을 할수 있도록 작업내용 및 작업단위별로 사용설비,작업자,작업조건 및 작업방
법 등에 관해 규정해 놓은 것을 무엇이라 하는가?",,안전수칙,기술표준,작업지도서,표준안전 작업방법,4
산업안전산업기사,2004,1,안전관리론,11,있어서 가장 안전하고 능률적으로 작업을 할수 있도록 작업,,생산성 감소,기업이 이미지 개선,바람직한 노사관계 형성,기업의 경제적 손실예방,1
산업안전산업기사,2004,1,안전관리론,12,"내용 및 작업단위별로 사용설비,작업자,작업조건 및 작업방",,타당도(妥當度),신뢰도(信賴度),객관도(客観度),슬속도(習熟度),4
산업안전산업기사,2004,1,안전관리론,13,법 등에 관해 규정해 놓은 것을 무엇이라 하는가?,,비경제적 조직체제이다.,안전관리부와 생산부와인의 유기적 협조가 곤란한다.,안전조직원는 전문가이어야 한다.,대규모 기업에서 재택이 곤란하다.,4
산업안전산업기사,2004,1,안전관리론,14,스트레스(Stress)에 관한 설명중 적절한 것은?,,스트레스상황에 적면하는 기회가 많을수록 스트레스 발생가능성은 낮아진다.,스트레스는 직무물입과 생산성감소의 직접적인 원인이된다.,스트레스는 부정적인 측면만에 잇다.,스트레스는 나뻘압에서만 발생한다.,2
산업안전산업기사,2004,1,안전관리론,15,"U지 갈이로 사용할 수 있는 안전대는 지름 250~300mm, 너비100mm이상의 안전대를 장착하여 로프모의 신축조절기는 각 현에 홉수 D링은 안전벨트의 종삼거리를 약500mm로 조절하여 인중 시험기로 시험할 때 인장강도는?",,900 kgf,1100 kgf,1300 kgf,1500 kgf,4
산업안전산업기사,2004,1,안전관리론,16,토의식 교육방법 중 몇 사람의 전문가에 의하여 과제에 관한 견해가 발표된 위 참가자로 하여금 의견이나 질문율하게하여 토의하는 방식은 다음 중 어는 것인가?,,패널 디스커션(panel discussion),실포지엄(symposium),포험(forum),버즈 세션(buzz session),2
산업안전산업기사,2004,1,안전관리론,17,다음 중 적무 만족도에 영향을 주는 개인적 특성이 아닌 것은?,,일반적으로 직무 만족도는 연령에 따라 증가한다.,만성적 직무 불만족과 정서적 부적응간에는 긍정적인 상관이 잇다.,교육수준이 높을수록 직무 불만족을 나타낸다.,직무의 수존이 높으면 직무의 만족도도 높다.,3
산업안전산업기사,2004,1,안전관리론,18,"하인리히의 재해 구성 비률 법칙에 의하면, 중상해 22인이발생하였다면 무상해 사고는 몇 건 발생 되었다고 볼수 잇는가?",,29,60,300,600,4
산업안전산업기사,2004,1,안전관리론,19,"안전관안전관리에 관한 계획에서 실시에 이르기까지 모든 권한이 포괄적이고 직선적으로 행사되며, 안전을 전문으로 분담하는 부서가 없는 안전관리조직은?",,직계식 조직,참모식 조직,직계 - 참모식 조직,안전보건 조직,1
산업안전산업기사,2004,1,안전관리론,20,비도박경법에서 생리적록 특성법이 아닌 것은?,,정석근력작업,생리적 작업,신경적 작업,동적근력작업,2
산업안전산업기사,2004,1,인간공학 및 시스템안전공학,21,인체의 생리적 변화를 측정하는 것과 거리가 먼 것은?,,구조적 측정,실락수 측정,산소 소비량 측정,근전도 측정,1
산업안전산업기사,2004,1,인간공학 및 시스템안전공학,22,작업 영역을 설계할 때 조정가능성의 대상에 해당하지 않는것은?,,작업대의 조정 가능성,작업공구의 조정 가능성,작업대상물의 조정 가능성,작업대와 관련된 작업자 자세의 조정 가능성,3
산업안전산업기사,2004,1,인간공학 및 시스템안전공학,23,시스템 안전을 위한 시스템 안전업무의 수행요건이 아닌 것은?,,안전활동의 계획 및 관리,시스템 안전에 필요한 사람의 동일성 실별,"시스템 안전에 대한 프로그램 해석,평가",다른 시스템 프로그팀과 분리,4
