Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
지방9급,2021,A,안전관리론,1,라인－스탭(Line-Staff)형 안전관리 조직에 대한 설명으로 옳지 않은 것은?,,근로자에게 혼란 발생이 없다.,안전지시나 안전대책이 신속하고 정확하게 전달된다.,라인형 조직과 스탭형 조직의 장점을 취한 혼합형 조직형태이다.,라인형 조직과 스탭형 조직에 비해 대규모 사업장에 효율적이다.,1
지방9급,2021,A,안전관리론,2,"버드(Bird)의 이론에 따라 재해발생비율을 구분할 때, 물적손실만 있는 무상해 사고가 1,800건 발생하였다면, 중상해 또는 폐질의 발생건수는?",,3건,6건,30건,60건,4
지방9급,2021,A,안전관리론,3,맥그리거(McGregor)의 이론에 따라 구분되는 인간의 두 가지 성향 중 Y이론에 해당하는 것은?,,인간은 천성적으로 게으르고 일을 하기 싫어한다.,인간은 자기중심적이며 철저하게 이기주의적이다.,인간은 보통 변화에 대해 저항하려 하고 안전을 추구한다.,인간은 적절한 조건만 갖추어지면 책임을 받아들일 뿐만 아니라 그것을 갈구한다.,4
지방9급,2021,A,안전관리론,4,"재해발생 원인을 불안전한 행동과 불안전한 상태로 구분할 때, 불안전한 상태에 해당하는 것은?",,"조명, 환기 등 작업환경의 결함",작업 태도 및 작업 자세의 불량,전문적 지식의 결여 및 기술 숙련도의 부족,"운전 중인 기계장치 등의 수리, 점검, 청소, 주유",1
지방9급,2021,A,안전관리론,5,"화재예방, 소방시설 설치․유지 및 안전관리에 관한 법률 상 소방안전 특별관리시설물에 해당하지 않는 것은?",,항만법 에 따른 항만시설,철도산업발전기본법 에 따른 철도시설,한국석유공사법 에 따른 석유비축시설,영화 및 비디오물의 진흥에 관한 법률 에 따른 영화상영관 중 수용인원 500명 이상인 영화상영관,4
지방9급,2021,A,안전관리론,6,위험물 중 무기과산화물류의 일반적 성질에 대한 설명으로 옳은 것은?,,산화성 액체이다.,자연발화성 물질이다.,자기반응성 물질이다.,물과 반응하는 물질이다.,4
지방9급,2021,A,안전관리론,7,도로교통법 시행규칙 상 자동차 운전자가 좌석안전띠를 매지 않아도 되는 경우에 해당하는 것만을 모두 고른 것은?\nㄱ. 자동차를 후진시키기 위하여 운전하는 때\nㄴ. 긴급자동차가 그 본래의 용도로 운행되고 있는 때\nㄷ. 경호 등을 위한 경찰용 자동차에 의하여 호위되거나 유도되고 있는 자동차를 운전하거나 승차하는 때,,"ㄱ, ㄴ","ㄱ, ㄷ","ㄴ, ㄷ","ㄱ, ㄴ, ㄷ",4
지방9급,2021,A,안전관리론,8,"고압가스 안전관리법 시행령 상 고압가스의 종류 및 범위로 옳지 않은 것은? (단, 별표1에 정하는 고압가스는 제외한다)",,섭씨 15도의 온도에서 게이지압력이 0파스칼을 초과하는 아세틸렌가스,섭씨 35도의 온도에서 게이지압력이 0파스칼을 초과하는 액화가스 중 액화시안화수소,상용(常用)의 온도에서 게이지압력이 0.1메가파스칼 이상이 되는 압축가스로서 실제로 그 게이지압력이 0.1메가파스칼 이상이 되는 것,상용(常用)의 온도에서 게이지압력이 0.2메가파스칼 이상이 되는 액화가스로서 실제로 그 게이지압력이 0.2메가파스칼 이상이 되는 것,3
지방9급,2021,A,안전관리론,9,재난 및 안전관리 기본법령상 안전문화 진흥에 대한 설명으로 옳지 않은 것은?,,"안전점검의 날은 매월 4일로 하고, 방재의 날은 매년 5월 25일로 한다.",국가는 국민의 안전의식 수준을 높이기 위하여 매년 4월 16일을 국민안전의 날로 정하여 필요한 행사 등을 한다.,행정안전부장관은 재난 및 안전관리업무에 종사하는 자가 지켜야 할 사항 등을 정한 안전관리헌장을 제정․고시하여야 한다.,행정안전부장관은 재난 및 각종 사고로부터 국민의 생명과 신체 및 재산을 보호하기 위하여 안전정보를 수집하여 체계적으로 관리하여야 한다.,3
지방9급,2021,A,안전관리론,10,화학물질관리법 상 화학사고 대응을 위해 환경부장관이 사고 발생현장에 파견하는 현장수습조정관의 역할에 해당되지 않는 것은?,,화학사고예방관리계획서의 작성,화학사고의 대응 관련 조정․지원,"화학사고 대응, 복구 관련 기관과의 협조","화학사고 원인, 피해규모, 조치 사항 등에 대한 대국민 홍보",1
지방9급,2021,A,안전관리론,11,"인화점, 발화점, 연소점에 대한 설명으로 옳지 않은 것은?",,인화점은 액체의 위험성 판정에 사용될 수 있다.,연소점은 공기 중에서 가연물 가까이에 점화원을 제공하였을 때 불이 붙는 최저온도이다.,인화점에 도달하여도 연소점에 도달하지 못하면 점화원을 제거하였을 때 연소를 유지할 수 없다.,발화점은 가연성 물질이 공기 중에서 점화원 없이 스스로 연소할 수 있는 최저온도이다.,2
지방9급,2021,A,안전관리론,12,"사업장 위험성평가에 관한 지침 상 위험성을 다음과 같이 정의할 때, (가)와 (나)에 해당하는 용어를 바르게 연결한 것은?\n위험성이란 유해․위험요인이 부상 또는 질병으로 이어질 수 있는 (가) 과 (나) 을 조합한 것을 의미한다.",,"가능성, 검출가능성","가능성, 중대성","영향성, 중대성","중대성, 검출가능성",2
지방9급,2021,A,안전관리론,13,개인별 위험일을 파악하기 위해 활용가능한 바이오리듬(Biorhythm)의 종류에 해당하지 않는 것은?,,육체적(Physical) 리듬,지속적(Sustainable) 리듬,지성적(Intellectual) 리듬,감성적(Sensitivity) 리듬,2
지방9급,2021,A,안전관리론,14,시설물의 안전 및 유지관리에 관한 특별법령상 정기적으로 실시하여야 하는 안전점검의 수준을 시설물의 종류에 따라 구분한 것으로 옳은 것은?,,제1종시설물: 특별안전점검 및 정밀안전점검,제2종시설물: 정기안전점검 및 정밀안전점검,제3종시설물: 정밀안전점검,제4종시설물: 정기안전점검,2
