"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"지방9급","2022","A","안전관리론","1","재해의 기본요인인 4M에서 작업정보, 작업방법, 작업환경 등에 해당하는 것은?","","Man","Media","Machine","Management","2"
"지방9급","2022","A","안전관리론","2","무재해 운동에서 작업에 따르는 잠재위험요인을 발견하고 파악․해결하기 위해 전원이 협력하여 적극적으로 문제를 해결하고자 하는 원칙은?","","무의 원칙","참가의 원칙","선취의 원칙","안전제일의 원칙","2"
"지방9급","2022","A","안전관리론","3","가연물의 연소를 활성화시킬 수 있는 조건으로 옳지 않은 것은?","","발열량이 클 것","비표면적이 클 것","산소와 친화력이 작을 것","연쇄반응을 일으킬 수 있을 것","3"
"지방9급","2022","A","안전관리론","4","연소의 4요소 중 연쇄반응이 진행하지 않도록 하는 화학적 소화방법은?","","질식소화","냉각소화","제거소화","부촉매소화","4"
"지방9급","2022","A","안전관리론","5","위기경보 단계에 대한 설명으로 옳은 것은?","","관심－징후가 있으나 그 활동수준이 낮으며 가까운 기간 내에 국가위기로 발전 가능성이 낮음","주의－징후 활동이 매우 활발하고 전개속도, 경향성이 현저하여 국가위기로 발전 가능성이 농후함","경계－징후 활동이 매우 활발하고 전개속도, 경향성이 매우 심각하며 국가위기가 확실시 됨","심각－징후 활동이 비교적 활발하고 국가위기로 발전 가능성이 나타남","1"
"지방9급","2022","A","안전관리론","6","사업장의 연간 평균 근로자 수가 1,000명이며, 같은 기간 재해자 수가 5명일 경우 연천인율은?","","0.05","0.5","5","200","3"
"지방9급","2022","A","안전관리론","7","안전 심리의 5요소에 해당하지 않는 것은?","","지능(Intellect)","동기(Motive)","감정(Emotion)","기질(Temper)","1"
"지방9급","2022","A","안전관리론","8","스웨인(A. D. Swain)이 제시한 휴먼에러(Human error)의 심리적 분류에 해당하지 않는 것은?","","입력에러(Input error)","시간에러(Time error)","생략에러(Omission error)","실행에러(Commission error)","1"
"지방9급","2022","A","안전관리론","9","안전보건표지의 종류 중 보안경 착용, 방독마스크 착용, 방진마스크 착용 등을 가리키며 바탕은 파란색, 관련 그림은 흰색으로 나타내는 것은?","","지시표지","안내표지","경고표지","금지표지","1"
"지방9급","2022","A","안전관리론","10","분말소화기의 약제 중 제1종 분말소화약제의 주성분은?","","요소((NH$_2$)$_2$CO)","탄산수소칼륨(KHCO$_3$)","탄산수소나트륨(NaHCO$_3$)","제1인산암모늄(NH$_4$H$_2$PO$_4$)","3"
"지방9급","2022","A","안전관리론","11","산업안전보건법령상 안전관리자 등의 증원․교체임명 명령 사유의 일부이다. (가), (나)에 들어갈 내용을 바르게 연결한 것은?\n\n○ 해당 사업장의 연간재해율이 같은 업종의 평균재해율의 (가) 배 이상인 경우\n○ 관리자가 질병이나 그 밖의 사유로 (나) 개월 이상 직무를 수행할 수 없게 된 경우","","(가) 1.5, (나) 2","(가) 1.5, (나) 3","(가) 2, (나) 2","(가) 2, (나) 3","4"
"지방9급","2022","A","안전관리론","12","인간의 잠재의식을 일깨워 자유로이 아이디어를 개발하고자 하는 토의식 기법은?","","툴박스미팅(Tool Box Meeting)","브레인스토밍(Brain Storming)","과오원인제거(Error Cause Removal)","안전관찰훈련과정(Safety Training Observation Program)","2"
"지방9급","2022","A","안전관리론","13","재해예방의 4원칙에 해당하지 않는 것은?","","원인 연계의 원칙","손실 우연의 원칙","예방 불능의 원칙","대책 선정의 원칙","3"
"지방9급","2022","A","안전관리론","14","전기용품 및 생활용품 안전관리법 상 직접 제품시험을 실시하거나 제3자에게 제품시험을 의뢰하여 해당 제품의 안전기준에 적합한 것임을 스스로 확인하는 것은?","","안전인증","안전확인","제품안전관리","공급자적합성확인","4"
"지방9급","2022","A","안전관리론","15","산업안전보건법 시행규칙 상 근로자 안전보건교육의 정기교육과정에서 사무직 종사 근로자의 교육시간은? (단, 상시근로자 50명 미만의 도매업과 숙박 및 음식점업은 제외한다)","","매분기 2시간 이상","매분기 3시간 이상","매반기 2시간 이상","매반기 3시간 이상","2"
"지방9급","2022","A","안전관리론","16","시설물의 안전 및 유지관리에 관한 특별법 상 1종시설물의 일부이다. (가), (나)에 들어갈 내용을 바르게 연결한 것은?\n\n○ 고속철도 교량, 연장 (가) 미터 이상의 도로 및 철도 교량\n○ 고속철도 및 도시철도 터널, 연장 (나) 미터 이상의 도로 및 철도 터널","","(가) 300, (나) 500","(가) 300, (나) 1,000","(가) 500, (나) 500","(가) 500, (나) 1,000","4"
"지방9급","2022","A","안전관리론","17","안전보건교육의 단계를 순서대로 바르게 나열한 것은?","","기능교육 → 태도교육 → 지식교육","기능교육 → 지식교육 → 태도교육","지식교육 → 태도교육 → 기능교육","지식교육 → 기능교육 → 태도교육","4"
"지방9급","2022","A","안전관리론","18","하인리히(H. W. Heinrich)의 도미노 이론 5단계 중 3단계에 해당하는 것은?","","사고","개인적 결함","불안전한 행동과 상태","사회적 환경과 유전적 요소","3"
"지방9급","2022","A","안전관리론","19","소방기본법 상 용어에 대한 정의로 옳지 않은 것은?","","'소방대장'이란 특별시․광역시․특별자치시․도 또는 특별자치도에서 화재의 예방․경계․진압․조사 및 구조․구급 등의 업무를 담당하는 부서의 장을 말한다.","'관계지역'이란 소방대상물이 있는 장소 및 그 이웃 지역으로서 화재의 예방․경계․진압, 구조․구급 등의 활동에 필요한 지역을 말한다.","'관계인'이란 소방대상물의 소유자․관리자 또는 점유자를 말한다.","'소방대상물'이란 건축물, 차량, 선박법 제1조의2제1항에 따른 선박으로서 항구에 매어둔 선박, 선박 건조 구조물, 산림, 그 밖의 인공 구조물 또는 물건을 말한다.","1"
