"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"국가7급","2015","3","재난관리론","1","다음 ㉠ ～ ㉢에 들어갈 법률명으로 옳은 것을 모두 고른 것은?\n\n1990년대에 각종 재해 및 재난별로 관련 법률들을 통합 규율하는 것이 시도되어 자연현상으로 인한 재난에 관한 사항은 ( ㉠ )으로, 자연재해가 아닌 재난에 관련된 사항은 ( ㉡ )으로 제정 및 전부개정되었다. 2000년대 이후에는 범 국가차원의 안전 및 재난전담관리 시스템과 법령 정비의 필요성이 대두되었고, 이를 반영하여 ( ㉢ )을 제정하여 시행하고 있다.","","소방법, 재난관리법, 자연재해대책법","재난관리법, 소방법, 재난 및 안전관리 기본법","자연재해대책법, 소방법, 재난관리법","자연재해대책법, 재난관리법, 재난 및 안전관리 기본법","4"
"국가7급","2015","3","재난관리론","2","고도신뢰 이론(High Reliability Theory, HRT)의 위기관리 전략에 해당하지 않는 것은?","","의사결정의 집중화 전략","관점의 유연화 전략","조직학습 전략","가외성 전략","1"
"국가7급","2015","3","재난관리론","3","재난 및 안전관리 기본법 상 재난 분야의 위기관리 매뉴얼의 체계를 바르게 나열한 것은?","","위기관리 기본가이드－위기관리 실무매뉴얼－위기대응 표준매뉴얼","위기관리 기본가이드－위기대응 실무매뉴얼－위기관리 표준매뉴얼","위기대응 표준매뉴얼－위기관리 실무매뉴얼－현장조치 행동매뉴얼","위기관리 표준매뉴얼－위기대응 실무매뉴얼－현장조치 행동매뉴얼","4"
"국가7급","2015","3","재난관리론","4","자연재해대책법 시행령 상 지역별로 풍수해의 예방 및 저감을 위하여 지역안전도에 대한 진단 등을 거쳐 수립하는 종합계획에 포함되어야 할 사항이 아닌 것은?","","개발사업 시행으로 인한 재해 저감대책","풍수해 재해복구사업의 평가․분석","자연재해위험개선지구 지정","유역 및 하천 현황","1"
"국가7급","2015","3","재난관리론","5","재해경감을 위한 기업의 자율활동 지원에 관한 법령상 다음의 재해경감활동계획 수립 대행자에 관한 사례 중 옳은 것만을 고른 것은?\n\nㄱ. 재해경감활동계획 수립 대행자 등록증을 타인에게 대여하였음을 사유로 등록취소 처분을 받은 A는 그 처분 이후에 체결한 재해경감활동계획의 수립 대행을 위한 계약에 대하여도 대행업무를 계속할 수 있다.\nㄴ. B법인의 기술인력의 확보 현황은 재해경감활동계획 수립 대행자가 되기 위한 등록 사항이자 변경등록 사항이다.\nㄷ. C법인의 임원 중 1인이 파산선고를 받고 복권되지 않았다면 C법인은 재해경감활동계획 수립 대행자로 등록할 수 없다.\nㄹ. 재해경감활동계획 수립 대행자로 등록된 D가 1년에 3회 영업정지 처분을 받고 다시 영업정지 처분사유에 해당하는 행위를 한 경우, 국민안전처장관은 D의 재해경감활동계획 수립 대행자 등록의 취소를 명해야 한다.","","ㄱ, ㄴ","ㄴ, ㄷ","ㄷ, ㄹ","ㄱ, ㄹ","2"
"국가7급","2015","3","재난관리론","6","사회재난에 대한 설명으로 옳지 않은 것은?","","환경오염사고는 '환경정책기본법'에서 규정하는 환경이 오염되어 피해를 입는 사고를 말하며, 이때 환경에는 악취와 일조(日照)가 포함된다.","산불은 '산림자원의 조성 및 관리에 관한 법률'에서 정한 임야, 농지 및 초지에서 발생한 화재로 인해 산림과 인명 및 재산피해가 나타난 경우를 말한다.","폭발은 '도시가스사업법' 등에서 정한 가스 및 에너지가 누출되어 폭발에 의해 인명과 재산 피해가 발생한 사고를 말하며, 가스에 의한 화재, 일산화탄소(CO) 중독, 산소결핍 등으로 인한 사고는 제외한다.","도로교통사고는 '도로교통법'에서 규정하는 도로에서 발생한 사고를 말하며, 경찰청의 도로교통사고 통계자료에는 철길건널목 통과방법에 의한 사고도 포함되어 있다.","2"
"국가7급","2015","3","재난관리론","7","적조현상 발생 시 양식장에서의 대응대책으로 적절하지 않은 것은?","","펌프를 이용하거나 액화산소 등을 공급하여 산소를 보충한다.","사료의 공급을 증가시켜 양식생물의 활성도를 높인다.","양식생물은 분산수용하고 성어는 조기에 출하한다.","양식장의 해수 교환 시 여과시설을 운영한다.","2"
"국가7급","2015","3","재난관리론","8","재난 및 안전관리 기본법령상 다음 중앙안전관리위원회 및 지역위원회에 대한 설명으로 옳은 것은 모두 몇 개인가?\n\nㄱ. 지역위원회에는 시․도 안전관리위원회와 시․군․구 안전관리위원회가 있다.\nㄴ. 지역위원회 및 안전정책실무조정위원회의 구성과 운영에 필요한 사항은 해당 지방자치단체의 조례로 정한다.\nㄷ. 안전정책조정위원회 실무위원회의 회의는 재적위원 과반수의 출석으로 개의(開議)하고, 출석위원 과반수의 찬성으로 의결한다.\nㄹ. 안전정책조정위원회 실무위원회의 위원은 실무위원회의 위원장이 임명하거나 위촉한다.","","1개","2개","3개","4개","2"
"국가7급","2015","3","재난관리론","9","재난 및 안전관리 기본법령상 중앙재난안전대책본부에 대한 설명으로 옳은 것은?","","재난예방대책에 관한 사항은 중앙재난안전대책본부 회의의 심의사항이다.","해외재난의 경우 중앙재난안전대책본부의 본부장은 외교부장관이 되며, 차장은 외교부차관이 된다.","중앙재난안전대책본부의 본부장은 대규모재난이 발생하거나 발생할 우려가 있는 경우 국민안전처 소속 공무원을 포함하여 실무반을 편성하여야 한다.","해외에서 발생한 대규모재난의 수습을 지원하기 위한 수습지원단은 재난의 특수성으로 인하여 '119구조․구급에 관한 법률'에 따른 국제구조대로 갈음한다.","3"
"국가7급","2015","3","재난관리론","10","재난 및 안전관리 기본법령상 대통령령으로 정하도록 규정하고 있는 것은?","","정밀안전진단에 관한 기준","점검․관리 대상 재난방지시설의 범위","재난 및 안전관리 공로자에 대한 포상금의 지급 기준","주요 전기통신사업자에게 요청하는 재난문자방송에 대한 기준과 운영사항","2"
"국가7급","2015","3","재난관리론","11","다음은 '재난 및 안전관리 기본법 시행령'의 일부이다. ㉠～㉢에 들어갈 내용으로 옳은 것을 모두 고른 것은?\n\n재난관리책임기관의 장은 다음 각 호의 구분에 따라 특정관리대상시설 등에 대한 안전점검을 실시하여야 한다.\n1. 정기안전점검\n가. A등급, B등급 또는 C등급에 해당하는 특정관리대상시설 등 : ( ㉠ )\n나. D등급에 해당하는 특정관리대상시설 등 : ( ㉡ )\n다. E등급에 해당하는 특정관리대상시설 등 : ( ㉢ )\n2. 수시안전점검: 재난관리책임기관의 장이 필요하다고 인정하는 경우","","반기별 2회 이상, 월 1회 이상, 월 2회 이상","반기별 2회 이상, 월 2회 이상, 월 3회 이상","반기별 1회 이상, 월 1회 이상, 월 2회 이상","반기별 1회 이상, 월 2회 이상, 월 3회 이상","3"
"국가7급","2015","3","재난관리론","12","재난 및 안전관리 기본법 상 긴급구조 현장지휘에 대한 설명으로 옳지 않은 것은?","","대통령령으로 정하는 대규모 재난이 발생한 경우 중앙긴급구조통제단장이 직접 현장지휘를 할 수 있다.","재난현장에서는 시․군․구긴급구조통제단장이 긴급구조활동을 지휘하는 것이 원칙이다.","소방본부, 소방서 및 해양경비안전서는 긴급구조기관에 포함된다.","재난현장에서 치안활동과 관련된 사항은 관할 경찰관서의 장이 지휘한다.","4"
"국가7급","2015","3","재난관리론","13","다음 글에 제시된 현상으로 옳은 것은?\n\n느슨하고 포화된 모래로 구성된 연약지반에 구조물이 건축되어 있는 경우, 지진에 의한 진동이나 인위적 충격이 지반에 가해지면 모래지반에 과잉공극수압이 생성되어 전단강도가 급격히 감소한다. 그에 따라 지반에 순간적인 부등침하가 발생하여 구조물이 전도 또는 붕괴되는 재해의 원인을 제공하는 현상","","보일링 현상","파이핑 현상","액상화 현상","히빙 현상","3"
"국가7급","2015","3","재난관리론","14","자연재해대책법 시행규칙 상 풍수해피해예측시스템의 구축․운영과 관련하여, ㉠ ～ ㉢에 들어갈 내용으로 옳은 것을 모두 고른 것은?\n\n( ㉠ ) : 풍수해를 사전에 예측하여 위험 분야에 대한 정책을 수립․추진하는 단계\n( ㉡ ) : 위험지역 주민을 사전에 대피시키고, 인력․물자․장비를 적재적소에 배치하는 등 피해를 최소화하기 위한 조치단계\n( ㉢ ) : 개선․복구 대상 사업을 선정하는 등 예산 투자의 효율성을 높이고, 피해 재발을 방지할 수 있도록 계획을 수립하는 단계","","예방단계, 대응단계, 지원단계","예측단계, 대비단계, 개선단계","예방단계, 대응단계, 복구단계","예측단계, 대비단계, 복구단계","3"
