"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"국가7급","2019","다","방재관계법규","1","법률유보의 원칙에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)","","기본권 제한에 관한 법률유보원칙은 '법률에 근거한 규율'을 요청하는 것으로서 그 형식이 반드시 법률일 필요는 없으나 법률상의 근거는 있어야 한다.","행정기관은 법률에 근거하지 아니한 규제로 국민의 권리를 제한하거나 의무를 부과할 수 없다.","행정상 즉시강제는 엄격한 실정법상의 근거를 필요로 한다.","지방의회의원에 대하여 유급보좌인력을 두는 것은 국회의 법률로써 규정할 입법사항이 아니라 개별 지방의회의 조례로써 규율할 사항이다.","4"
"국가7급","2019","다","방재관계법규","2","행정심판법상 행정심판에 대한 설명으로 옳지 않은 것은?","","행정심판위원회는 심판청구의 대상이 되는 처분보다 청구인에게 불리한 재결을 하지 못한다.","집행정지의 신청은 행정심판청구와 동시에 하여야 하고, 행정심판을 청구한 이후에는 할 수 없다.","행정심판위원회는 필요하면 당사자가 주장하지 아니한 사실에 대하여도 심리할 수 있다.","법인이 아닌 사단 또는 재단으로서 대표자나 관리인이 정하여져 있는 경우에는 그 사단이나 재단의 이름으로 심판청구를 할 수 있다.","2"
"국가7급","2019","다","방재관계법규","3","국가배상에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)","","국가배상법이 정한 손해배상청구의 요건인 '공무원의 직무'에는 국가나 지방자치단체의 권력적 작용은 포함되나, 비권력적 작용은 포함되지 않는다.","어떠한 행정처분이 후에 항고소송에서 위법한 것으로서 취소되었다고 하더라도 그로써 곧 당해 행정처분이 공무원의 고의 또는 과실에 의한 불법행위를 구성한다고 단정할 수는 없다.","피해자에게 손해를 직접 배상한 과실이 있는 공무원은 특별한 사정이 없는 한 국가에 대하여 국가의 피해자에 대한 손해배상책임의 범위 내에서 공무원이 변제한 금액에 관하여 구상권을 취득한다.","국회의원의 입법행위는 그 입법 내용이 헌법의 문언에 명백히 위반됨에도 불구하고 국회가 굳이 당해 입법을 한 것과 같은 특수한 경우가 아닌 한 국가배상법상의 위법행위에 해당된다고 볼 수 없다.","1"
"국가7급","2019","다","방재관계법규","4","지진·화산재해대책법상 지진·지진해일 및 화산활동 관측에 대한 설명으로 옳지 않은 것은?","","기상청장은 지진·지진해일 또는 화산활동 관측망 종합계획을 수립하여 추진하는 경우 해양수산부장관과 협의하여야 한다.","기상청장은 지진·지진해일 또는 화산활동의 관측시설 및 관측장비를 설치하려면 지진·지진해일 또는 화산활동 관측계획서를 작성하여야 한다.","지진으로 인한 피해가 우려되는 주요 시설물을 설치하거나 관리하는 자는 그 시설물의 지진가속도계측을 하여야 한다.","기상청장은 국내외의 지진·지진해일과 화산활동에 대한 예측 및 관측결과를 행정안전부장관에게 통보하여야 한다.","1"
"국가7급","2019","다","방재관계법규","5","행정계획에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)","","적법한 행정계획의 변경 또는 폐지로 인하여 특별한 손실을 받은 경우 행정절차법에 근거하여 손실보상청구를 할 수 있다.","도시기본계획은 도시의 장기적 개발방향과 미래상을 제시하는 도시계획 입안의 지침이 되는 장기적·종합적인 개발계획으로서 일반국민에 대한 직접적인 구속력은 없으나 행정청에 대해서는 직접적인 구속력이 있다.","문화재보호구역 내 토지 소유자의 문화재보호구역 지정해제 신청에 대한 행정청의 거부행위는 행정처분에 해당한다.","행정주체는 구체적인 행정계획을 입안·결정함에 있어서 일반적인 행정재량과는 달리 무제한적인 광범위한 형성의 자유를 가진다.","3"
"국가7급","2019","다","방재관계법규","6","행정행위의 공정력에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)","","행정행위의 공정력은 행정행위가 위법하더라도 취소되지 않는 한 적법한 것으로 추정되는 효력을 말한다.","사인의 공법행위에 대해서도 공정력이 인정된다.","조세과오납금환급소송에서 민사법원은 조세부과처분이 무효가 아닌 한 스스로 조세부과처분을 취소하고 납부된 세금의 반환을 명할 수 없다.","행정처분의 위법을 이유로 국가배상청구를 하기 위해서는 미리 그 행정처분의 취소판결이 있어야 한다.","3"
"국가7급","2019","다","방재관계법규","7","행정행위의 취소에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)","","행정행위에 대해서 취소소송이 진행 중인 경우에는 처분청이라도 위법을 이유로 그 행정행위를 직권취소할 수 없다.","처분청은 불가변력이 발생한 행정행위에 대해서 직권취소를 할 수 없다.","직권취소의 경우 처분의 적극적 변경이 가능하다.","행정행위를 한 처분청은 그 행정행위에 하자가 있는 경우에는 원칙적으로 별도의 법적 근거가 없더라도 스스로 이를 직권으로 취소할 수 있다.","1"
"국가7급","2019","다","방재관계법규","8","공법상 계약에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)","","공법상 계약을 해지할 때 행정절차법에 의하여 근거와 이유를 제시하여야 하는 것은 아니다.","공익사업을 위한 토지 등의 취득 및 보상에 관한 법령에 의한 토지의 협의취득계약은 공법상 계약에 해당한다.","중소기업 정보화지원사업에 따른 지원금 출연을 위하여 중소기업청장(현 중소벤처기업부장관)이 체결하는 협약은 공법상 대등한 당사자 사이의 의사표시의 합치로 성립하는 공법상 계약에 해당한다.","공법상 계약의 무효확인을 구하는 소송은 공법상 당사자소송에 의한다.","2"
"국가7급","2019","다","방재관계법규","9","질서위반행위규제법에 대한 설명으로 옳지 않은 것은?","","행정청의 과태료 부과에 불복하는 당사자는 과태료 부과통지를 받은 날부터 60일 이내에 해당 행정청에 서면으로 이의제기를 할 수 있고, 이 경우 행정청의 과태료 부과처분은 그 효력을 상실한다.","질서위반행위 후 법률이 변경되어 그 행위가 질서위반행위에 해당하지 아니하게 된 때는 법률에 특별한 규정이 없는 한 행위 시의 법률을 적용한다.","하나의 행위가 2 이상의 질서위반행위에 해당하는 경우에는 각 질서위반행위에 대하여 정한 과태료 중 가장 중한 과태료를 부과한다.","질서위반행위규제법은 대한민국 영역 밖에서 질서위반행위를 한 대한민국의 국민에게 적용한다.","2"
"국가7급","2019","다","방재관계법규","10","행정소송법상 항고소송에 대한 설명으로 옳지 않은 것은?","","무효등확인소송에서 사정판결은 허용되지 않으나, 집행정지는 허용된다.","법원은 필요하다고 인정할 때에는 직권으로 증거조사를 할 수 있고, 당사자가 주장하지 아니한 사실에 대하여도 판단할 수 있다.","행정심판을 거쳐야 하는 경우에도 법령의 규정에 의한 행정심판기관이 의결 또는 재결을 하지 못할 사유가 있는 때에는 행정심판을 제기함이 없이 취소소송을 제기할 수 있다.","법원은 소송의 결과에 따라 권리 또는 이익의 침해를 받을 제3자가 있는 경우에는 당사자 또는 제3자의 신청 또는 직권에 의하여 결정으로써 그 제3자를 소송에 참가시킬 수 있다.","3"
