Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
국가7급,2019,다,도시계획,1,도시설계의 역할이나 목표와 관련이 적은 것은?,,광역차원의 거시적 접근을 통한 도시계획의 제도적 실현,다양한 도시공간 주체들의 이해관계에 대한 중재,대지별로 이루어지는 다양한 건축행위에 대한 관계 유도,공공성 있는 외부 공간의 확보,1
국가7급,2019,다,도시계획,2,방재업무에 예방－대비－대응－복구의 4단계 진행 과정 개념과 관계 있는 사람은?,,다니엘 번햄(D. Burnham),울리히 벡(Ulrich Beck),조르주 외젠 오스만(G. E. Haussmann),윌리암 페탁(William Petak),4
국가7급,2019,다,도시계획,3,지속가능한 도시개발의 개념과 관련이 적은 것은?,,유클리드 지역제(Euclidean zoning),콤팩트 도시(Compact city),생태도시(Eco-city),스마트 성장(Smart Growth),1
국가7급,2019,다,도시계획,4,도시공원 및 녹지 등에 관한 법령상 도시공원에 설치할 수 있는 공원시설이 아닌 것은?,,6홀 골프장,일반음식점,실내사격장,무도장,4
국가7급,2019,다,도시계획,5,도로법 상 도로 부속물의 연결이 옳지 않은 것은?,,교통관리시설 － 도로표지 및 교통량 측정시설,"도로부대시설 － 통행료 징수시설, 도로관제시설, 도로관리사업소 등","도로안전시설 － 시선유도표지, 중앙분리대, 과속방지시설 등","도로이용 지원시설 － 주차장, 버스정류시설, 휴게시설 등",2
국가7급,2019,다,도시계획,6,도시․군기본계획수립지침 상 도시․군기본계획에 대한 설명으로 옳은 것은?,,"도시․군기본계획을 수립하는 목적은 국토의 이용․개발과 보전을 위한 국토관리의 지속가능성을 담보하는데 있으며, 특히 인구증가가 도시에 미치는 영향을 파악하여 부문별 계획 수립 시 반영하여야 한다.","도시․군기본계획은 기후변화와 지구온난화에도 적극 대응하여 에너지와 자원을 절약하는 공간구조를 형성하고, 원자력에너지의 사용을 촉진하여 탄소배출량을 저감하는데 주력하여야 한다.","도시․군기본계획은 4차 산업혁명에 따른 새로운 기술변화를 적용한 스마트도시기반시설을 확충하고, 산업구조 변화에 유연하게 대응할 수 있는 토지이용체계를 구축하여야 한다.",수도권정비계획법 상 수도권에 속하지 아니하고 광역시와 경계를 같이하지 아니한 시․군(광역시 안에 있는 군 제외)으로서 계획수립 기준년도 현재 인구 10만 명 이하인 모든 시․군도 도시․군기본계획을 수립하여야 한다.,3
국가7급,2019,다,도시계획,7,"국토의 계획 및 이용에 관한 법령상 ㉠ ～ ㉢에 들어갈 내용으로 옳은 것은?\n\n개발행위의 규모가 도시지역 내 주거지역ㆍ상업지역ㆍ자연녹지지역ㆍ생산녹지지역은 ( ㉠ )제곱미터 미만, 공업지역은 ( ㉡ )제곱미터 미만, 보전녹지지역은 ( ㉢ )제곱미터 미만의 경우 개발행위 허가를 받을 수 있다. 다만, 개발행위가 농어촌 정비법 에 따른 농어촌정비사업으로 이루어지는 경우는 제외한다.",,"㉠ 5천, ㉡ 2만, ㉢ 1만","㉠ 5천, ㉡ 3만, ㉢ 1만","㉠ 1만, ㉡ 3만, ㉢ 1만","㉠ 1만, ㉡ 3만, ㉢ 5천",4
국가7급,2019,다,도시계획,8,토지이용 구분에 따른 유출계수의 크기를 비교한 것으로 옳지 않은 것은?,,포장된 도로 > 미개발지,잔디나 수목이 있는 공원 > 산지,논 > 밭,도심 상업지역 > 단독주택 밀집 단지,2
국가7급,2019,다,도시계획,9,"국토의 계획 및 이용에 관한 법령상 주거지역의 도로율과 이 경우 간선도로의 도로율 기준은? (단, 도시교통정비 촉진법 상 증감은 고려하지 않음)",,"도로율 7 % 이상 15 % 미만, 간선도로 도로율 3 % 이상 5 % 미만","도로율 10 % 이상 20 % 미만, 간선도로 도로율 5 % 이상 10 % 미만","도로율 15 % 이상 30 % 미만, 간선도로 도로율 8 % 이상 15 % 미만","도로율 25 % 이상 35 % 미만, 간선도로 도로율 10 % 이상 15 % 미만",3
국가7급,2019,다,도시계획,10,"국토의 계획 및 이용에 관한 법령상 시․도지사가 방재지구로 반드시 지정하여야 하는 지역은? (단, 다른 조건은 고려하지 않음)",,현재 연안침식이 진행 중인 무인도서,산사태가 최근 10년 이내 2회 발생하여 인명피해를 입은 지역으로서 향후 동일한 재해 발생 시 상당한 피해가 우려되는 지역,해일이 최근 10년 이내 2회 발생하여 방파제가 유실된 바닷가,수해가 최근 10년 이내 1회 발생하여 인명피해 등 심각한 피해가 있었던 지역,2
국가7급,2019,다,도시계획,11,지리정보시스템(GIS)으로 수행할 수 있는 공간분석 방법과 관련이 적은 것은?,,군집분석(cluster analysis),버퍼분석(buffering analysis),근린분석(neighborhood analysis),중첩분석(overlay analysis),1
국가7급,2019,다,도시계획,12,토지이용계획 수립과정에서 주택용지면적의 수요추정에 적용하는 방법과 관련이 적은 것은?,,주택유형에 따른 규모별 주택호수를 중심으로 추정하는 방법,공공시설 면적을 중심으로 추정하는 방법,주택호수를 중심으로 추정하는 방법,인구를 기준으로 추정하는 방법,2
국가7급,2019,다,도시계획,13,다음에서 설명하는 것은?\n\n○ 영국 찰스 황태자의 영국건축비평서에서 출발하였다.\n○ 사업추진을 위해 10가지 원칙을 설정하고 이를 바탕으로 복합적 토지이용과 오픈 커뮤니티(open community) 조성을 지향하였다.\n○ 교외지역의 녹지개발보다는 기성시가지 및 기개발지역의 압축개발과 재생에 주안점을 두었다.,,전원도시운동(Garden City Movement),도시미화운동(City Beautiful Movement),어반빌리지운동(Urban Village Movement),전통적 근린지역(Traditional Neighborhood District),3
국가7급,2019,다,도시계획,14,"국토의 계획 및 이용에 관한 법률 상 지구단위계획에 반드시 포함되어야 하는 것만을 모두 고르면? (단, 기존의 용도지구를 폐지하고 그 용도지구에서의 건축물이나 그 밖의 시설의 용도․종류 및 규모 등의 제한을 대체하는 경우는 제외함)\n\nㄱ. 대통령령으로 정하는 기반시설의 배치와 규모\nㄴ. 도로로 둘러싸인 지역 토지의 규모와 조성계획\nㄷ. 건축물의 용도제한, 건축물의 건폐율 또는 용적률, 건축물 높이의 최고한도 또는 최저한도\nㄹ. 교통처리계획",,"ㄱ, ㄴ","ㄱ, ㄷ","ㄴ, ㄹ","ㄷ, ㄹ",2
국가7급,2019,다,도시계획,15,국토의 계획 및 이용에 관한 법령상 기반시설의 종류에 대한 설명으로 옳은 것은?,,시장은 공공․문화체육시설에 해당한다.,하천은 교통시설에 해당한다.,공공공지는 공간시설에 해당한다.,건설기계검사시설은 유통․공급시설에 해당한다.,3
국가7급,2019,다,도시계획,16,도시기본계획 수립 시 인구예측에 대한 설명으로 옳지 않은 것은?,,"인구변화는 출생, 사망 그리고 인구이동 등 세 가지 요소로 이루어진다.","선형모형은 과거 인구가 거의 동일하게 증감되었고, 미래에도 같은 추세가 예상되는 도시에 적용할 수 있다.",지수성장모형은 이자 계산 시 복리율 적용방식을 인구예측에 원용한 것이다.,수정된 지수성장모형은 인구성장의 상한선을 설정한 모형으로 S자형의 모양을 지닌다.,4
국가7급,2019,다,도시계획,17,자연재해대책법령상 재난관리책임기관의 장이 소관 사무에 대하여 수립하는 긴급지원계획의 내용에 해당하지 않는 것은?,,재해 수습 홍보,재해지역 통신소통의 원활화,재해지역 사회질서 유지 및 교통관리,비상지원본부의 설치 및 운영,4
국가7급,2019,다,도시계획,18,자연재해대책법령상 재해지도에 대한 설명으로 옳지 않은 것은?,,지방자치단체의 장은 침수 피해가 발생한 날부터 6개월 이내에 침수흔적도를 작성하여 소방청장에게 제출하여야 한다.,"재해정보지도란 침수흔적도와 침수예상도 등을 바탕으로 재해 발생 시 대피 요령, 대피소 및 대피 경로 등의 정보를 표시한 지도를 말한다.","해안침수예상도란 태풍, 호우, 해일 등에 의한 해안침수지역을 예측하여 표시한 지도를 말한다.","재해지도는 자연재해위험개선지구의 지정, 자연재해위험개선지구 정비사업계획의 수립 등에 활용된다.",1
국가7급,2019,다,도시계획,19,도시공원 및 녹지 등에 관한 법령상 근린공원의 구분에 따른 유치거리 및 규모의 기준으로 옳지 않은 것은?\n\n| 공원구분 | 유치거리 | 규모 |\n| --- | --- | --- |\n| 근린생활권 근린공원 | 500미터 이하 | 1만제곱미터 이상 |\n| 도보권 근린공원 | 1천미터 이하 | 5만제곱미터 이상 |\n| 도시지역권 근린공원 | 제한 없음 | 10만제곱미터 이상 |\n| 광역권 근린공원 | 제한 없음 | 100만제곱미터 이상 |,,근린생활권 근린공원 500미터 이하 1만제곱미터 이상,도보권 근린공원 1천미터 이하 5만제곱미터 이상,도시지역권 근린공원 제한 없음 10만제곱미터 이상,광역권 근린공원 제한 없음 100만제곱미터 이상,2
국가7급,2019,다,도시계획,20,자연재해대책법 상 자연재해위험개선지구의 지정에 대한 설명으로 옳지 않은 것은?,,"시장․군수․구청장은 상습침수지역, 산사태위험지역 등 지형적인 여건 등으로 인하여 재해가 발생할 우려가 있는 지역을 자연재해위험개선지구로 지정․고시하여야 한다.",시장․군수․구청장은 자연재해위험개선지구에 속해 있는 시설물의 소유자․점유자 또는 관리인에게 행정안전부령으로 정하는 바에 따라 재해 예방에 필요한 한도에서 점검․정비 등 필요한 조치를 취할 것을 명할 수 있다.,시장․군수․구청장은 자연재해위험개선지구 정비사업 시행으로 재해 위험이 없어진 경우에도 재해가 발생했던 지역은 자연재해위험개선지구 지정을 해제해서는 안 된다.,"시장ㆍ군수ㆍ구청장은 대통령령으로 정하는 자연재해위험개선지구에 대하여 직권으로 재해 예방에 필요한 조치를 하거나, 시설물의 소유자에게 그 조치에 드는 비용의 일부를 보조할 수 있다.",3
