Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
국가7급,2022,나,방재관계법규,1,행정법의 일반원칙에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),,'행정기본법'은 비례의 원칙을 명문으로 규정하고 있다.,행정처분이 수차례에 걸쳐 반복적으로 행하여졌다면 그 처분이 위법한 것인 때에도 행정청에 대하여 자기구속력을 갖게 된다.,공적 견해표명 당시의 사정이 사후에 변경된 경우 특별한 사정이 없는 한 행정청이 그 견해표명에 반하는 처분을 하더라도 신뢰보호원칙에 위반된다고 할 수 없다.,"주택사업계획승인을 하면서 그 주택사업과 아무 관련이 없는 토지를 기부채납하도록 하는 부관을 붙인 경우, 그 부관은 부당결부금지원칙에 위반되어 위법하다.",2
국가7급,2022,나,방재관계법규,2,행정행위의 하자에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),,인가처분에 하자가 없다면 기본행위에 하자가 있다 하더라도 기본행위의 무효를 내세워 바로 그에 대한 행정청의 인가처분의 취소 또는 무효확인을 소구할 법률상의 이익이 없다.,행정처분의 당연무효를 선언하는 의미에서 취소를 구하는 행정소송을 제기한 경우에는 취소소송의 제소요건을 갖추어야 한다.,"행정처분이 발하여진 후에 헌법재판소가 그 행정처분의 근거가 된 법률을 위헌으로 결정하였다면, 그 행정처분은 특별한 사정이 없는 한 당연무효이다.",납세자가 아닌 제3자의 재산을 대상으로 한 압류처분은 그 처분의 내용이 법률상 실현될 수 없는 것이어서 당연무효이다.,3
국가7급,2022,나,방재관계법규,3,행정규칙에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),,중앙행정기관의 장이 정한 훈령․예규 및 고시 등 행정규칙은 상위법령의 위임이 있다고 하더라도 '행정기본법'상의 '법령'에 해당하지 않는다.,처분이 행정규칙을 위반하였다고 해서 그러한 사정만으로 곧바로 위법하게 되는 것은 아니다.,"처분의 근거나 법적인 효과가 행정규칙에 규정되어 있더라도 그 상대방의 권리․의무에 직접 영향을 미치는 행위라면, 항고소송의 대상이 되는 행정처분에 해당한다.",행정규칙의 내용이 상위법령이나 법의 일반원칙에 반하는 것이라면 행정내부적 효력도 인정될 수 없다.,1
국가7급,2022,나,방재관계법규,4,행정계획에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),,'4대강 살리기 마스터플랜'은 4대강 정비사업 지역 인근에 거주하는 주민의 권리․의무에 직접 영향을 미치는 것이어서 행정처분에 해당한다.,구 도시계획법령상 도시계획안의 내용에 대한 공고 및 공람 절차에 하자가 있는 도시계획결정은 위법하다.,행정주체는 구체적인 행정계획을 입안․결정함에 있어서 비교적 광범위한 형성의 자유를 가진다.,행정주체가 행정계획을 입안․결정함에 있어서 이익형량의 고려 대상에 마땅히 포함시켜야 할 사항을 누락한 경우 그 행정계획결정은 재량권을 일탈․남용한 것으로서 위법하다.,1
국가7급,2022,나,방재관계법규,5,'행정기본법'상 처분의 취소 및 철회에 대한 설명으로 옳지 않은 것은?,,행정청은 당사자의 신뢰를 보호할 가치가 있는 등 정당한 사유가 있는 경우에는 위법한 처분을 장래를 향하여 취소할 수 있다.,당사자가 부정한 방법으로 수익적 처분을 받은 경우에도 행정청이 그 처분을 취소하려면 취소로 인하여 당사자가 입게 될 불이익을 취소로 달성되는 공익과 비교․형량하여야 한다.,행정청은 중대한 공익을 위하여 필요한 경우에는 적법한 처분의 전부 또는 일부를 장래를 향하여 철회할 수 있다.,처분은 무효가 아닌 한 권한이 있는 기관이 취소 또는 철회하거나 기간의 경과 등으로 소멸되기 전까지는 유효한 것으로 통용된다.,2
국가7급,2022,나,방재관계법규,6,행정행위에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함),,상대방 있는 행정처분이 상대방에게 고지되지 아니한 경우에는 특별한 규정이 없는 한 상대방이 다른 경로를 통해 행정처분의 내용을 알게 되었다고 하더라도 행정처분의 효력이 발생한다고 볼 수 없다.,"기한의 도래로 실효한 종전의 허가에 대한 기간연장신청은 새로운 허가를 내용으로 하는 행정처분을 구하는 것이 아니라, 종전의 허가처분을 전제로 하여 단순히 그 유효기간을 연장하여 주는 행정처분을 구하는 것으로 보아야 한다.",공무원에 대한 당연퇴직의 인사발령은 공무원의 신분을 상실시키는 새로운 형성적 행위이므로 행정소송의 대상이 되는 행정처분이다.,지적공부 소관청의 지목변경신청 반려행위는 국민의 권리관계에 영향을 미친다고 볼 수 없어서 행정처분에 해당하지 않는다.,1
국가7급,2022,나,방재관계법규,7,'행정심판법'에 따른 행정심판기관이 아닌 특별행정심판기관에 의하여 처리되는 특별행정심판에 해당하는 것만을 모두 고르면? (다툼이 있는 경우 판례에 의함)\n\nㄱ. '국세기본법'상 조세심판\nㄴ. '도로교통법'상 행정심판\nㄷ. '국가공무원법'상 소청심사\nㄹ. '공익사업을 위한 토지 등의 취득 및 보상에 관한 법률'상 토지수용재결에 대한 이의신청,,"ㄱ, ㄴ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",2
국가7급,2022,나,방재관계법규,8,행정벌에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),,'지방자치법'상 사기나 부정한 방법으로 사용료 징수를 면한 자에 대한 과태료의 부과․징수 등의 절차에 관한 사항은 '질서위반행위규제법'에 따른다.,구 '행형법'에 의한 징벌을 받은 뒤에 형사처벌을 한다고 하여 일사부재리의 원칙에 반하는 것은 아니다.,'도로교통법'상 경찰서장의 통고처분은 행정소송의 대상이 되는 행정처분이 아니다.,'질서위반행위규제법'상 법원의 과태료 재판이 확정된 후에는 법률이 변경되어 그 행위가 질서위반행위에 해당하지 아니하게 된 경우라 하더라도 과태료의 집행을 면제하지 못한다.,4
국가7급,2022,나,방재관계법규,9,정보공개에 대한 판례의 입장으로 옳지 않은 것은?,,정보공개 청구권자의 권리구제 가능성은 정보의 공개 여부 결정에 영향을 미치지 못한다.,"정보공개청구에 대하여 행정청이 전부공개 결정을 하는 경우에는, 청구인이 지정한 정보공개방법에 의하지 않았다고 하더라도 청구인은 이를 다툴 수 없다.","정보공개거부처분취소소송에서 행정기관이 청구정보를 증거 등으로 법원에 제출하여 결과적으로 청구인에게 정보를 공개하는 결과가 되었다고 하더라도, 당해 정보의 비공개결정의 취소를 구할 소의 이익은 소멸되지 않는다.","'형사소송법'은 형사재판확정기록의 공개 여부 등에 대하여 '공공기관의 정보공개에 관한 법률'과 달리 규정하고 있으므로, 형사재판확정기록의 공개에 관하여는 '공공기관의 정보공개에 관한 법률'에 의한 공개청구가 허용되지 아니한다.",2
국가7급,2022,나,방재관계법규,10,부작위위법확인소송에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),,부작위위법확인소송은 처분의 신청을 한 자로서 부작위의 위법의 확인을 구할 법률상의 이익이 있는 자만이 제기할 수 있다.,당사자가 행정청에 대하여 어떠한 행정처분을 하여 줄 것을 요청할 수 있는 법규상 또는 조리상의 권리를 갖고 있지 아니한 경우에 제기한 부작위위법확인의 소는 부적법하다.,부작위위법확인소송의 경우 사실심의 구두변론종결시점의 법적․사실적 상황을 근거로 행정청의 부작위의 위법성을 판단하여야 한다.,부작위위법확인소송은 행정심판 등 전심절차를 거친 경우라 하더라도 '행정소송법' 제20조가 정한 제소기간 내에 제기해야 하는 것은 아니다.,4
