Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
국가7급,2023,가,재난관리론,1,"산림의 지면을 덮고 있는 낙엽, 초류 등의 지피물이 불에 타는 임야화재는?",,지표화(地表火),수간화(樹幹火),수관화(樹冠火),지중화(地中火),1
국가7급,2023,가,재난관리론,2,"재난 및 안전관리 기본법 상 지역통제단장이 하여야 하는 응급조치로 옳은 것만을 모두 고르면?\nㄱ. 긴급수송 및 구조 수단의 확보\nㄴ. 현장지휘통신체계의 확보\nㄷ. 수방·지진방재에 관한 응급조치와 구호\nㄹ. 급수 수단의 확보, 긴급피난처 및 구호품의 확보",,"ㄱ, ㄴ","ㄱ, ㄹ","ㄴ, ㄷ","ㄷ, ㄹ",1
국가7급,2023,가,재난관리론,3,기체의 연소에 해당하는 것만을 모두 고르면?\nㄱ. 확산연소\nㄴ. 표면연소\nㄷ. 폭발연소\nㄹ. 예혼합연소,,"ㄱ, ㄴ","ㄴ, ㄹ","ㄱ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",3
국가7급,2023,가,재난관리론,4,지진·태풍과 크기 평가 방법을 짝 지은 것으로 옳지 않은 것은?,,지진 - 모멘트 규모 스케일(Moment Magnitude Scale),지진 - 리히터 스케일(Richter Scale),태풍 - 사피어-심슨 스케일(Saffir-Simpson Scale),태풍 - 수정 메르칼리 진도 스케일(Modified Mercalli Intensity Scale),4
국가7급,2023,가,재난관리론,5,중질유가 들어 있는 유류탱크 연소 시 탱크 바닥의 물이 기화한 후 급격하게 부피가 팽창하여 기름이 넘치는 현상은?,,오일오버(Oil-over),보일오버(Boil-over),슬롭오버(Slop-over),프로스오버(Froth-over),2
국가7급,2023,가,재난관리론,6,"재난 및 안전관리 기본법 시행령 상 재난 및 사고유형별 재난관리주관기관에 해당하지 않는 것은? (단, 행정안전부장관이 따로 정하는 경우는 제외한다)",,외교부,문화재청,금융위원회,방송통신위원회,4
국가7급,2023,가,재난관리론,7,무취·무미의 유독성 기체이며 헤모글로빈과 결합하여 산소의 운반 기능을 약화시켜 질식을 유발하는 것은?,,암모니아(NH$_3$),일산화탄소(CO),아황산가스(SO$_2$),시안화수소(HCN),2
국가7급,2023,가,재난관리론,8,다음에 해당하는 위험성평가 분석기법은?\n○ 재난 및 사고의 위험을 조기에 인식하여 위험이 나중에 발견되었을 때 소요되는 비용을 절약하는 분석기법\n○ 주로 공장개발의 초기 단계에서 적용하여 공장입지 선정에도 유용하게 활용할 수 있는 기법으로 다른 위험성 평가기법에 앞서 실시하는 분석기법,,결함수 분석기법,사건수 분석기법,원인-결과 분석기법,예비위험 분석기법,4
국가7급,2023,가,재난관리론,9,재난 및 안전관리 기본법 상 재난의 복구 단계 활동에 해당하는 것은?,,국가핵심기반의 지정,재난피해 신고 및 조사,재난대비훈련 기본계획의 수립,특정관리대상지역의 지정 및 관리,2
국가7급,2023,가,재난관리론,10,미세먼지 저감 및 관리에 관한 특별법령상 고농도 미세먼지 비상저감조치에 대한 설명으로 옳지 않은 것은?,,"비상저감조치의 대상지역은 비상저감조치를 발령하는 시·도지사가 관할하는 지역으로 하고, 그 지역의 전부 또는 일부에 비상저감조치를 발령할 수 있다.",2개 이상의 시·도에 광역적으로 비상저감조치가 필요한 경우에는 환경부장관이 비상저감조치를 시행한다.,"비상저감조치의 시행기간은 시행 당일의 오전 6시부터 오후 9시까지로 하되, 필요한 경우 환경부장관과 시·도지사가 협의하여 조정할 수 있다.",시·도지사가 비상저감조치를 시행하는 경우 교통량의 감소를 위해 공영주차장의 사용을 제한하는 조치를 할 수 있다.,2
