"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"국가7급","2023","가","도시계획","1","다음 설명에 해당하는 용어는?\n○ 투자사업으로부터 기대되는 총편익의 현재가치와 총비용의 현재가치를 동일하게 만드는 할인율\n○ 비용과 편익의 비율을 '1'로 만드는 할인율","","내부수익률(IRR)","편익－비용비율(B/C Ratio)","순현재가치(NPV)","조건부가치측정법(CVM)","1"
"국가7급","2023","가","도시계획","2","국토의 계획 및 이용에 관한 법률 상 도시ㆍ군기본계획에서 다루어야 할 내용으로 옳지 않은 것은?","","환경의 보전 및 관리에 관한 사항","토지의 용도별 수요 및 공급에 관한 사항","경관계획 및 특정건축물의 용도제한에 관한 사항","공간구조, 생활권의 설정 및 인구의 배분에 관한 사항","3"
"국가7급","2023","가","도시계획","3","뉴어바니즘(New Urbanism)에 대한 설명으로 옳지 않은 것은?","","설계원리로는 복합용도 및 다양성(Mixed-Use & Diversity)이 있다.","기본요소로는 근린(Neighborhood), 지구(District), 통로(Corridor)가 있다.","대중교통중심개발(Transit Oriented Development: TOD), 전통근린개발(Traditional Neighborhood Development: TND) 개념이 포함된다.","내부가로체계(Internal Street System)를 통해 단지 내 순환교통은 억제하고, 통과교통은 원활하도록 계획한다.","4"
"국가7급","2023","가","도시계획","4","국토의 계획 및 이용에 관한 법률 상 둘 이상의 특별시ㆍ광역시ㆍ특별자치시ㆍ특별자치도ㆍ시 또는 군의 공간구조 및 기능을 상호 연계시키고 환경을 보전하며 광역시설을 체계적으로 정비하기 위하여 국토교통부장관 또는 도지사가 지정한 지역의 장기발전방향을 제시하는 계획은?","","광역도시계획","도시ㆍ군기본계획","도시ㆍ군관리계획","토지이용계획","1"
"국가7급","2023","가","도시계획","5","도시공원 및 녹지 등에 관한 법률 상 녹지의 세분 중, 대기오염, 소음, 진동, 악취, 그 밖에 이에 준하는 공해와 각종 사고나 자연재해, 그 밖에 이에 준하는 재해 등의 방지를 위하여 설치하는 녹지는?","","경관녹지","완충녹지","연결녹지","근린녹지","2"
"국가7급","2023","가","도시계획","6","도시공원 및 녹지 등에 관한 법률 상 도시공원의 세분 및 규모의 내용으로 옳지 않은 것은?","","국가도시공원은 도시공원 중 국가가 지정하는 공원이다.","생활권공원 외에 다양한 목적으로 설치하는 공원으로서 역사공원과 문화공원은 주제공원에 해당된다.","생활권공원은 도시생활권의 기반이 되는 공원의 성격으로 설치ㆍ관리하는 공원으로서 방재공원과 체육공원이 대표적인 예이다.","도시민의 정서순화 및 공동체의식 함양을 위하여 도시농업을 주된 목적으로 설치하는 공원은 주제공원의 한 종류이다.","3"
"국가7급","2023","가","도시계획","7","다음 현상에 해당하는 용어는?\n\n중심도시의 팽창과 시가화의 확산으로 인하여 주변 중소도시의 시가지와 서로 달라붙어 거대도시가 형성되는 현상으로 교통체증, 환경오염, 주거환경 악화 등 다양한 도시문제가 발생될 수 있음","","종주도시화(Primate Urbanization)","과잉도시화(Over Urbanization)","도시연담화(Conurbation)","도시평면확산(Urban Sprawl)","3"
"국가7급","2023","가","도시계획","8","도시ㆍ군계획시설의 결정ㆍ구조 및 설치기준에 관한 규칙 상 기반시설에 대한 설명으로 옳지 않은 것은?","","일반도로는 폭 4미터 이상의 도로로서 통상의 교통소통을 위하여 설치되는 도로를 말한다.","자동차정류장은 여객자동차터미널, 물류터미널, 폐차장, 공영차고지 등을 말한다.","교정시설인 교도소ㆍ구치소ㆍ소년원 및 소년분류심사원은 공공청사에 해당된다.","공동구란 전기ㆍ가스ㆍ수도 등의 공급설비, 통신시설, 하수도시설 등 지하매설물을 공동 수용함으로써 미관의 개선, 도로구조의 보전 및 교통의 원활한 소통을 위하여 지하에 설치하는 시설물을 말한다.","2"
"국가7급","2023","가","도시계획","9","다음 설명에 해당하는 지역에 지정되는 지구단위계획구역은?\n\n주민의 집단적 생활근거지로 이용되고 있거나 이용될 지역으로서 계획적인 개발이 필요한 경우로 도로ㆍ상하수도 등 기반시설과 개발여건이 양호하여 개발이 예상되거나, 토지 이용현황 및 추이를 감안할 때 향후 5년내 개발수요가 크게 증가할 것으로 예상되거나, 공공사업의 시행으로 인하여 이주단지를 조성할 필요가 있는 도시지역외 지역","","주거형 지구단위계획구역","유통형 지구단위계획구역","휴양형 지구단위계획구역","복합형 지구단위계획구역","1"
"국가7급","2023","가","도시계획","10","토지의 적성평가에 관한 지침 상 평가지표군 중 개발적성의 선택지표에 해당되는 것은?","","표고","도시용지비율","기개발지와의 거리","공공편익시설과의 거리","2"
