"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"국가9급","2020","가","안전관리론","1","방진마스크의 선정기준에 대한 설명으로 옳지 않은 것은?","","분진 포집효율(여과효율)이 낮을 것","흡․배기 저항이 낮을 것","중량이 가벼울 것","시야가 넓을 것","1"
"국가9급","2020","가","안전관리론","2","재해의 발생원인을 불안전한 행동과 불안전한 상태로 분류하였을 때, 불안전한 행동에 해당하지 않는 것은?","","안전장치의 기능제거","위험한 장소 접근","안전방호장치의 결함","불안전한 상태 방치","3"
"국가9급","2020","가","안전관리론","3","다음의 원리가 모두 적용되는 학습이론은?\n○ 일관성의 원리\n○ 계속성의 원리\n○ 강도의 원리","","파블로프(Pavlov)의 조건반사설","손다이크(Thorndike)의 시행착오설","스키너(Skinner)의 조작적 조건화설","구스리(Guthrie)의 접근적 조건화설","1"
"국가9급","2020","가","안전관리론","4","재난 및 안전관리 기본법 상 행정안전부장관이 긴급안전점검 결과 재난 발생의 위험이 높다고 인정되는 시설 또는 지역에 대하여 그 소유자․관리자 또는 점유자에게 명할 수 있는 안전조치 항목에 해당하지 않는 것은?","","정밀안전진단(시설만 해당)","재난을 발생시킬 위험요인의 제거","보수 또는 보강 등 정비","긴급 대피를 위한 비용지원","4"
"국가9급","2020","가","안전관리론","5","국민보호와 공공안전을 위한 테러방지법 시행령 상 관계기관장이 테러대상시설에 대한 테러예방대책과 테러이용수단의 제조․취급․저장 시설에 대한 안전관리대책 수립 시 포함하여야 할 사항에 해당하지 않는 것은?","","인원․차량에 대한 출입 통제 및 자체 방호계획","소관 분야 테러이용수단의 종류 지정 및 해당 테러이용수단의 생산․유통․판매에 관한 정보 통합관리","테러 첩보의 입수․전파 및 긴급대응 체계 구축 방안","테러사건 발생 시 비상대피 및 사후처리 대책","2"
"국가9급","2020","가","안전관리론","6","다음은 재난 및 안전관리 기본법 상 안전문화 진흥에 대한 규정이다. ㉠ ~ ㉣에 들어갈 주체가 나머지 셋과 다른 하나는?\n○ ( ㉠ )은/는 지역별 안전수준과 안전의식을 객관적으로 나타내는 지수를 개발․조사하여 그 결과를 공표할 수 있다.\n○ ( ㉡ )은/는 안전지수의 조사를 위하여 관계 행정기관의 장에게 필요한 자료를 요청할 수 있다.\n○ ( ㉢ )은/는 안전정보통합관리시스템을 관계 행정기관 및 국민이 안전수준을 진단하고 개선하는 데 활용할 수 있도록 하여야 한다.\n○ ( ㉣ )은/는 지역 내 안전문화활동에 주민이 참여할 수 있는 제도를 마련하여 시행할 수 있다.","","㉠","㉡","㉢","㉣","4"
"국가9급","2020","가","안전관리론","7","산업안전보건기준에 관한 규칙 상 폭발성 물질 및 유기과산화물에 해당하는 위험물질만을 모두 고르면?\nㄱ. 니트로화합물 ㄴ. 과망간산 및 그 염류\nㄷ. 이소아밀알코올 ㄹ. 마그네슘 분말\nㅁ. 아조화합물 ㅂ. 하이드라진 유도체","","ㄱ, ㄷ, ㄹ","ㄱ, ㅁ, ㅂ","ㄴ, ㄷ, ㅂ","ㄴ, ㄹ, ㅁ","2"
"국가9급","2020","가","안전관리론","8","안전관찰훈련과정(STOP, Safety Training Observation Program)의 안전관찰사이클을 순서대로 바르게 나열한 것은?","","관찰 → 보고 → 결심 → 조치 → 정지","보고 → 결심 → 정지 → 조치 → 관찰","정지 → 관찰 → 보고 → 조치 → 결심","결심 → 정지 → 관찰 → 조치 → 보고","4"
"국가9급","2020","가","안전관리론","9","소화약제에 대한 설명으로 옳지 않은 것은?","","이산화탄소 소화약제는 사용 후에 오염의 영향이 없다는 큰 장점이 있고, 5류 위험물 화재에 효과적이다.","포(foam) 소화약제는 포가 유류의 표면을 덮어서 질식시키기 때문에 유류화재의 소화에 효과적이고, 일반화재에도 사용할 수 있다.","제3종 분말 소화약제는 A, B, C급 화재진압에 효과적이고, 주성분은 제1인산암모늄(NH$_4$H$_2$PO$_4$)이다.","금속화재용 분말소화약제는 금속표면을 덮어서 산소의 공급을 차단하거나 온도를 낮추는 것이 주된 소화원리이다.","1"
"국가9급","2020","가","안전관리론","10","A 사업장의 상시근로자 수는 50명이다. A 사업장의 위험성평가 절차를 순서대로 바르게 나열한 것은?\nㄱ. 위험성 결정 ㄴ. 기록 및 보존\nㄷ. 위험성 추정 ㄹ. 위험성 감소 대책수립 및 실행\nㅁ. 사전준비 ㅂ. 유해․위험요인 파악","","ㅁ → ㄷ → ㄴ → ㄱ → ㅂ → ㄹ","ㅁ → ㄷ → ㄹ → ㅂ → ㄱ → ㄴ","ㅁ → ㅂ → ㄱ → ㄷ → ㄴ → ㄹ","ㅁ → ㅂ → ㄷ → ㄱ → ㄹ → ㄴ","4"
