Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
국가9급,2022,가,안전관리론,1,"사업장 위험성평가에 관한 지침 상 (가), (나)에 해당하는 용어를 바르게 연결한 것은?\n(가) 유해·위험요인이 부상 또는 질병으로 이어질 수 있는 가능성(빈도)과 중대성(강도)을 조합한 것\n(나) 유해·위험요인별로 수집한 위험성의 크기가 허용 가능한 범위인지 여부를 판단하는 것",,위험성 - 위험성 결정,위험성 - 위험성 추정,위험성평가 - 위험성 결정,위험성평가 - 위험성 추정,1
국가9급,2022,가,안전관리론,2,"다음 설명에 해당하는 부주의 현상은?\n\n작업을 하고 있을 때 걱정, 고민, 욕구불만 등에 의해 작업에 집중하지 못하고 다른 생각을 한다.",,의식의 우회,의식의 중단,의식의 혼란,의식수준의 저하,1
국가9급,2022,가,안전관리론,3,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법률 시행령 상 소화설비에 해당하지 않는 것은?",,연소방지설비,자동확산소화기,스프링클러설비,옥외소화전설비,1
국가9급,2022,가,안전관리론,4,동기부여이론과 이를 주장한 학자의 연결로 옳지 않은 것은?,,ERG 이론 - 앨더퍼(C. P. Alderfer),"X, Y 이론 - 맥그리거(D. M. McGregor)",욕구 5단계 이론 - 매슬로우(A. H. Maslow),2요인(위생요인과 동기요인) 이론 - 맥클러랜드(D. C. McClelland),4
국가9급,2022,가,안전관리론,5,"중대재해 처벌 등에 관한 법률 상 중대시민재해에 대한 정의에서 (가), (나)에 들어갈 숫자를 바르게 연결한 것은?\n\n'중대시민재해'란 특정 원료 또는 제조물, 공중이용시설 또는 공중교통수단의 설계, 제조, 설치, 관리상의 결함을 원인으로 하여 발생한 재해로서 다음 각 목의 어느 하나에 해당하는 결과를 야기한 재해를 말한다. 다만, 중대산업재해에 해당하는 재해는 제외한다.\n가. 사망자가 1명 이상 발생\n나. 동일한 사고로 2개월 이상 치료가 필요한 부상자가 (가)명 이상 발생\n다. 동일한 원인으로 (나)개월 이상 치료가 필요한 질병자가 10명 이상 발생",,05월 03일,05월 06일,10월 03일,10월 06일,3
국가9급,2022,가,안전관리론,6,"다음은 시몬즈(R. H. Simonds) 방식의 재해손실비용 계산식이다. (가), (나)에 들어갈 내용을 바르게 연결한 것은?\n\n총 재해손실비용\n= 보험비용 + {(A × (가)) + (B × 통원상해건수) + (C × 응급조치건수) + (D × (나))}\n(단, A~D는 각 재해에 대한 평균 비보험비용이다)",,사망사고건수 - 휴업상해건수,사망사고건수 - 무상해사고건수,휴업상해건수 - 중대재해건수,휴업상해건수 - 무상해사고건수,4
국가9급,2022,가,안전관리론,7,가스 연소 시 발생되는 이상현상인 역화(Backfire)의 원인으로 옳지 않은 것은?,,버너 부분이 과열되었을 때,노즐의 부식 등으로 분출 구멍이 작아졌을 때,연소속도보다 연료와 공기 혼합가스의 분출속도가 느릴 때,연료와 공기 혼합가스의 공급 압력이 비정상적으로 낮을 때,2
국가9급,2022,가,안전관리론,8,식품안전기본법 상 사업자에 대한 설명에서 (가)에 해당하는 것만을 모두 고르면?\n\n'사업자'란 (가)에 해당하는 것의 생산·채취·제조·가공·수입·운반·저장·조리 또는 판매를 업으로 하는 자를 말한다.\n\nㄱ. 농약관리법에 따른 농약\nㄴ. 비료관리법에 따른 비료\nㄷ. 약사법 제85조에 따른 동물용 의약품,,"ㄱ, ㄴ","ㄱ, ㄷ","ㄴ, ㄷ","ㄱ, ㄴ, ㄷ",4
국가9급,2022,가,안전관리론,9,시설물의 안전 및 유지관리에 관한 특별법 상 제3종시설물의 지정·고시에 대한 설명에서 (가)에 해당하는 자만을 모두 고르면?\n\n(가)은/는 다중이용시설 등 재난이 발생할 위험이 높거나 재난을 예방하기 위하여 계속적으로 관리할 필요가 있다고 인정되는 제1종시설물 및 제2종시설물 외의 시설물을 대통령령으로 정하는 바에 따라 제3종시설물로 지정·고시하여야 한다.\n\nㄱ. 중앙행정기관의 장\nㄴ. 지방자치단체의 장\nㄷ. 민간관리주체,,ㄱ,ㄴ,"ㄱ, ㄴ","ㄱ, ㄴ, ㄷ",3
국가9급,2022,가,안전관리론,10,"불안전한 행동의 인적원인 중 하나인 크기 판단의 착오에 대한 설명에서 (가), (나)에 들어갈 내용을 바르게 연결한 것은?\n\n배경공간이 좁은 경우에는 배경공간이 넓은 경우보다 (가) 보인다.\n주위에 작은 것이 있는 경우에는 주위에 큰 것이 있는 경우보다 (나) 보인다.",,크게 - 크게,크게 - 작게,작게 - 크게,작게 - 작게,1
