Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
경비지도사2차,2017,1,소방학,1,화재발생 시 자위소방대가 수행해야 할 기능으로 옳지 않은 것은?,,비상연락,초기소화,화재조사,피난유도,3
경비지도사2차,2017,1,소방학,2,가연물에 점화원을 가했을 때 연소가 시작되는 최저온도를 무엇이라고 하는가?,,인화점,발화점,연소점,자연발화점,1
경비지도사2차,2017,1,소방학,3,"다음에서 설명하고 있는 것은?\n\n- 가연성 고체의 미분이 공기 중에 부유하고 있을 때에 착화원에 의해 폭발하는 현상이다.\n- 곡물을 압으키는 대표적인 물질에는 밀가루, 석탄가루, 건분, 금속분 등이 있다.",,훈소,소염,분진폭발,중합폭발,3
경비지도사2차,2017,1,소방학,4,목조건축물 화재의 진행과정을 순서대로 옳게 나열한 것은?,,화재원인→ 발염착화→ 무염착화→ 발화→ 최성기,화재원인→ 무염착화→ 발염착화→ 발화→ 최성기,화재원인→ 발염착화→ 무염착화→ 최성기→ 발화,화재원인→ 무염착화→ 발염착화→ 최성기→ 발화,2
경비지도사2차,2017,1,소방학,5,"건축법령상 소방안전에 관련된 용어의 설명으로 옳지 않은 것은? (단, 구조 및 재료는 국토교통부령으로 정하는 기준에 적합한 구조 및 재료이다.)",,내화구조: 화염의 확산을 막을 수 있는 성능을 가진 구조,난연재료: 불에 잘 타지 아니하는 성능을 가진 재료,불연재료: 불에 타지 아니하는 성질을 가진 재료,준불연재료: 불연재료에 준하는 성질을 가진 재료,1
경비지도사2차,2017,1,소방학,6,건축법상 건축물의 주요구조부에 해당하는 것은?,,차양,옥외 계단,내력벽,사이 기둥,3
경비지도사2차,2017,1,소방학,7,건축물 화재 시 연기제어의 기본방법이 아닌 것은?,,희석,배출,차연,복사,4
경비지도사2차,2017,1,소방학,8,위험물안전관리법령상 제3류 위험물에 해당하는 것은?,,유황,칼륨,적린,과산화수소,2
경비지도사2차,2017,1,소방학,9,건축물 방화구획의 방법에 해당되지 않는 것은?,,층별 구획,면적별 구획,용도별 구획,수용인원별 구획,4
경비지도사2차,2017,1,소방학,10,"방화구획의 용도로 화재 시 연기 및 열을 감지하여 자동 폐쇄되는 것으로서, 공항·체육관 등 넓은 공간에 부득이 하게 내화구조로 된 벽을 설치하지 못하는 경우에 사용하는 것은?",,배연설비,방화셔터,방화댐퍼,제연경계벽,2
